to,Fees burned,Regular Tx,to_def,Internal Tx,Internal Event (excluding Tx),group
cx96f98f59f1dc144709fd294d4b906c74f5d709b1,0.2127961874999978,96,EURD_Token_V2,96,0,EURD_Token_V2
cxd77007090899311f1afbcae86b49cfe817fc6810,0.9497207499999982,96,xCROWN,282,0,GangstaBet
hx8d28bc4d785d331eb4e577135701eb388e9a469d,0.12,96,upbit_hot_04,0,0,upbit
cxae3034235540b924dfcc1b45836c293dcc82bfb7,11.961064324999995,94,ICON USD Coin,754,9,ICON USD Coin
hxfdb57e23c32f9273639d6dda45068d85ee43fe08,0.115,92,upbit_hot_02,0,0,upbit
hx50e8e51177e5d291334be0b376a9c157e8cdf6c0,0.1125,90,unknown_hx,0,0,unknown_hx
cx5b5a03cb525a1845d0af3a872d525b18a810acb0,6.7656752374999956,89,btp-0x38.bsc-BTCB,439,1,BTP
hx45ad1c2560c69e8b05fa7621a7e9d504cf3e718f,0.11,88,unknown_hx,0,0,unknown_hx
hx85532472e789802a943bd34a8aeb86668bc23265,0.11,88,okx.com_01,0,0,okx.com_01
cx18403e24f5f5f7cf7a7bae8885d3e1d27ce5fd10,1.0039467249999987,88,OptimusStrategyICXMining,176,59,Optimus
cxc2f3ea1c84cac895b3ab05681705d472002bfb1f,56.8338673625,84,Mojos,24,0,Mojos
hx5cb84c5948a03d8aa1b2abc475fb42fcc1bd72c9,0.10250000000000001,82,unknown_hx,0,0,unknown_hx
cx9e3cadcc1a4be3323ea23371b84575abb32703ae,0.16637906249999998,81,MyID_1,0,81,MyID
hx0e2756108e96f9e265e2c3b77fc802975dd665d9,0.09875,79,unknown_hx,0,0,unknown_hx
hx6332c8a8ce376a5fc7f976d1bc4805a5d8bf1310,0.09625,77,upbit_hot_01,0,0,upbit
hx6b91c8dea3114de74ecfa85908b875778c2b599c,0.09375,75,bybit,0,0,bybit
hx9994eeff7490131f381ba2927aa0ff4298817076,0.0925,74,unknown_hx,0,0,unknown_hx
hx294c5d0699615fc8d92abfe464a2601612d11bf7,0.0925,74,crypto.com_hot_02,0,0,crypto.com_hot_02
hx8e957dff0fe7ec7464742f9b3e7b7be5db33a0ff,0.09125,73,unknown_hx,0,0,unknown_hx
hx4a01996877ac535a63e0107c926fb60f1d33c532,0.09125,73,upbit_hot_03,0,0,upbit
hx81d4f834b91569b43cde903ec241eb1fce64a171,0.09,72,unknown_hx,0,0,unknown_hx
hxf1fe3f33f8ae89b11de7067a0066085b1ccfe9ed,0.09,72,unknown_hx,0,0,unknown_hx
hxa10445db0a8bf2fbd80111248f42d82fe4e39319,0.08875,71,unknown_hx,0,0,unknown_hx
hxb17745d715f488307816fb9d2861bc2d08c39e5c,0.08875,71,unknown_hx,0,0,unknown_hx
hx1f378d31025968d5da6f1ba56852de71e3adee2f,0.08875,71,unknown_hx,0,0,unknown_hx
hxafe78a5786c8a6f39af2de6027125476e30d2b22,0.08875,71,unknown_hx,0,0,unknown_hx
hx538c18d6bad4291713739afdc8a57ce850dcde48,0.08875,71,unknown_hx,0,0,unknown_hx
hx64adf776e53d0f30d2c4e90461a043fcc58c04bf,0.08875,71,unknown_hx,0,0,unknown_hx
hxb70e481ee4806d83ff2e068a937b4e964417c50d,0.08875,71,unknown_hx,0,0,unknown_hx
hxc147caa988765c13eaa6ca43400c27a0372b9436,0.08875,71,unknown_hx,0,0,unknown_hx
hxc0a2c4b422657ff499640f07606b1516e9935b9b,0.08875,71,unknown_hx,0,0,unknown_hx
hxb33cf56ecd2e6ed4a615e17014a1161613b87670,0.08875,71,unknown_hx,0,0,unknown_hx
hxbc4a817910ee193b5bd5b7340406328dc394ae28,0.08750000000000001,70,unknown_hx,0,0,unknown_hx
cxed0f02a1a61b483bd366021d68af8469414b7be8,25.884908975,69,unknown_cx,1061,17,unknown_cx
hx5af8bd1b5cdc321a53ead7a836601ce8e2c938c9,0.0825,66,unknown_hx,0,0,unknown_hx
hx3770b6ac37402de04f6af4f5541cf68361fbf238,0.08125,65,unknown_hx,0,0,unknown_hx
