IRC Token,Amount,No. of Transactions
bnUSD,6734708.978147241,9871
sICX,3324643.4201445794,9575
OMM,3075526.7928904337,3911
BALN,635345.9379762522,3154
IUSDC,1306100.359978,2280
USDS,1416773.8082655834,1900
METX,1596362.3546502434,1775
CFT,260568.79658403937,624
IUSDT,13.316811,404
oICX,480342.829209323,285
obnUSD,1048399.7583472645,249
oIUSDC,274577.07721899997,232
oUSDS,354252.3365571937,179
GBET,26173.0,171
dIUSDC,138447.932554,111
dbnUSD,210112.76603720782,71
UP,7.664005622893806,58
TAP,2935357.871829758,54
dUSDS,68507.06790740725,49
LDX,7415.0,33
SEED,211.297674,17
ACT,300.0,3
EPX,0.0195,2
uTAP,45.73075816872248,1
