IRC Token,Amount,No. of Transactions
bnUSD,29535710.819265608,19783
sICX,52708129.8952427,15382
BALN,3369985.6430119723,6432
IUSDC,15024128.983653,6128
OMM,13974839.618021695,5008
USDS,5505223.1163032,3874
METX,9057739.228346983,2164
oICX,3192040.1459827167,900
dIUSDC,2398064.87683,672
oIUSDC,2941442.555685,375
obnUSD,3148156.617914589,314
dbnUSD,2155010.8168216893,274
oUSDS,1382274.7026284602,253
dUSDS,1283702.877539171,212
GBET,68977.0,185
CFT,1595750.6800378172,155
IUSDT,41731.590824,101
TAP,1823796.3656844636,47
UP,7.47663196341921,38
HGC,164000.0,9
LDX,5.0,3
ICXIOU,17638.74397,3
ACT,205.0,3
SEED,210.082252,2
