IRC Token,Amount,No. of Transactions
sICX,7419587.8397036465,4960
IWIN,26797.5952,4161
bnUSD,3739805.6589414245,3570
BALN,676679.5035178398,2547
OMM,1766392.940803741,1557
METX,7110850.645103545,1302
CFT,9028523.911147336,1052
GBET,707578.9867289648,960
IUSDC,332093.447422,547
USDS,411277.66683954006,509
FIN,18152.777151749055,388
finICX,1311175.415105775,247
oICX,703261.1508807685,210
oOMM,78263.81583515182,93
obnUSD,485424.8387310847,91
TAP,868824.2089310375,68
LDX,37857.67059492048,57
UP,5.628759908883512,54
oUSDS,117313.11205497672,48
oIUSDC,71415.601585,43
IAM,2213.5956202125967,40
dbnUSD,83838.79245801872,36
IUSDT,247928.590399,32
dUSDS,6790.8841228978545,21
dIUSDC,19294.112442,20
oBALN,64536.036426052786,14
dBALN,1507.4199697724387,6
HGC,40000.0,3
SEED,2.9709090000000002,2
ICXIOU,1000.0,1
