IRC Token,Amount,No. of Transactions
bnUSD,3964190.97313985,4981
sICX,5616651.668186007,4705
BALN,664256.5959474979,2598
OMM,5687135.380249626,2217
METX,4753051.129632006,1458
IUSDC,1114084.025336,1313
USDS,686279.6337586748,891
GBET,684844.6925156234,311
oICX,1264532.3781665089,181
oIUSDC,158865.00833399998,119
CFT,258289.88625969228,96
obnUSD,361898.93284263025,94
dIUSDC,132431.778153,93
dbnUSD,238208.91513125604,68
TAP,901727.2351677534,49
oUSDS,119515.00792396112,42
dUSDS,47907.201171543544,33
IUSDT,0.543593,33
UP,2.113575303813701,27
LDX,3800.0,27
LEND5,101.70699394,8
CRI10X,25.099999,4
HGC,3750.0,3
TESTRF,1.09,2
ACT,100.0,1
