IRC Token,Amount,No. of Transactions
BALN,776560.0754091642,5852
sICX,4882787.674387118,5216
OMM,11056286.35862139,5155
bnUSD,3461699.206189826,4434
LDX,406334.0,3237
GBET,1968567.6077804645,1262
METX,1016531.0675032017,1197
IUSDC,941041.901401,1067
USDS,1041857.003169733,765
CFT,3970966.192045243,366
oICX,342410.09756554366,161
oIUSDC,150240.931032,119
obnUSD,468000.52867241914,109
TAP,3555684.021883858,102
dIUSDC,30817.758842,72
UP,8.445443003639447,67
oUSDS,179773.06674461794,59
dbnUSD,68698.88238948844,42
IUSDT,625.805744,41
dUSDS,20396.07472098151,12
SEED,0.001052,1
