IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
sICX,987539.4615459369,1606.0,0.3051119040195225,301310.0454066948
bnUSD,249331.06335935442,1203.0,0.9985476034846433,248968.93579176112
FRMD,40453.210793418395,1107.0,0.021062346573629518,852.0395457470686
GBET,149272.35301205408,1088.0,0.016137006627216514,2408.8089498157196
METX,1313877.2991598812,782.0,0.000124235811351769,163.23061227779874
BALN,92858.97125100222,453.0,0.177430511415661,16476.014758597485
OMM,992701.6265045416,409.0,0.018232867025385756,18099.796751941463
$unknown,16320.660441736203,268.0,,
FIN,14780.839209890513,250.0,0.2900995910553967,4287.91541024481
CFT,1097941.6877642085,235.0,0.007204774912626483,7910.422727530348
CODE,579545.6011045635,158.0,,
IUSDC,6886.488118,131.0,0.9973895396831939,6868.511214045804
CROWN,590013.1830842014,124.0,,
USDS,16771.435627947038,101.0,1.0035269453116122,16830.58756420403
NPT,146.25,84.0,,
oICX,124779.88608799214,44.0,0.3051119040195225,38071.828627646406
obnUSD,12793.491267042395,23.0,0.9985476034846433,12774.910044906896
TAP,167112.8261418551,21.0,0.000949156427984222,158.6162131311515
UP,1.2421130860378522,20.0,0.8046663001799955,0.999486541347235
XCROWN,130850.95805349133,17.0,,
IUSDT,1078.051672,13.0,0.9876648962807996,1064.7537928112226
finOMM,2911.6725192177087,10.0,0.018232867025385756,53.08813786436643
oUSDS,1023.3257920791814,10.0,1.0035269453116122,1026.935006183807
dICX,19671.8779442037,8.0,0.3051119040195225,6002.1241351956405
oOMM,15561.61,8.0,0.018232867025385756,283.73276583091325
oIUSDC,27.037856,5.0,0.9973895396831939,26.967274749860483
IDOGE,14990.0,5.0,,
oBALN,587.9341035250926,4.0,0.177430511415661,104.31744866716535
IAM,520.4894767139372,3.0,0.027311481728620968,14.215338833212183
VOID,500.0,2.0,,
dIUSDC,99.852553,2.0,0.9973895396831939,99.59189187286172
dbnUSD,500.7284966666789,2.0,0.9985476034846433,500.00124034298045
finOICX,139.65232058030873,2.0,0.3051119040195225,42.60958543300274
finUSDS,2.6093417588771364,1.0,0.2900995910553967,0.7569689771740268
FinICX,1213.707557579091,1.0,0.2900995910553967,352.0960661145386
ICX,,,0.27085512,
