IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
sICX,915605.1701287535,1426,,
FRMD,44698.2776807611,1359,,
bnUSD,109767.35247687048,1179,,
GBET,699972.2163844593,866,,
OMM,3653456.197503798,384,,
BALN,221144.23832343295,310,,
$unknown,38684.221263206215,215,,
CFT,1393103.6220876698,204,,
FIN,19778.264855350004,178,,
CODE,875846.9081648954,158,,
IUSDC,4232.43337,124,,
CROWN,1263237.6540202345,119,,
USDS,2784.0751784113277,89,,
METX,7202459.989467967,60,,
NPT,121.875,56,,
BTCB,0.25015362173533023,47,,
oICX,76940.44034143821,32,,
UP,2.571924332953049,25,,
ETH,0.6583729884592174,24,,
oOMM,148526.04854413753,23,,
oIUSDC,1043.073145,22,,
XCROWN,40357.76610440546,14,,
VOID,5494.325224323976,13,,
obnUSD,13966.232718482637,13,,
TAP,113377.9464178379,13,,
oUSDS,527.0056248615188,10,,
IDOGE,13419680.628836256,8,,
finOMM,713.8475092602483,6,,
oBALN,574.5877167111744,5,,
dICX,999.0908560894056,4,,
dOMM,99404.32744542377,4,,
CLAW,1120000.0,2,,
dIUSDC,113.37913400000001,2,,
dbnUSD,55.77392767224634,2,,
IUSDT,0.209962,2,,
finOICX,43.24548979380345,1,,
FinICX,38883.46351098212,1,,
