IRC Token,Amount,No. of Transactions
bnUSD,8313946.779959246,13671
OMM,4219410.240761401,12768
sICX,15630859.732433993,11994
IUSDC,9352254.790686,9209
USDS,5732744.555103856,4831
BALN,824695.2022508152,4503
oIUSDC,2100394.555042,2669
CFT,5465649.498155159,1283
METX,871779.2426301963,824
oUSDS,1669896.4456952265,771
PGT,3000.0,710
oICX,2348459.4009070285,504
dIUSDC,1841957.695937,489
dUSDS,1057054.952081923,228
UP,22.172667027340893,95
TAP,653953.0008637367,60
SEED,568.680642,47
LDX,3801.0,14
ACT,400.0,4
IAM,19.607129032348922,4
HGC,8500.0,3
ICXIOU,757.23751,1
EPX,1.3,1
uMETX,0.0751055535681731,1
