IRC Token,Amount,No. of Transactions
OMM,5259565.524532128,30533
LDX,952523.7628125,20079
sICX,19496952.767225802,18518
IUSDC,14673624.460003,17164
bnUSD,5594668.9350283155,11938
USDS,15381176.880134366,7012
BALN,1201823.68133831,4757
oIUSDC,3551371.442132,3440
oUSDS,5061401.248063268,2081
PGT,3000.0970946831667,2078
oICX,4161538.4961907994,1416
METX,288685.4748262664,852
dUSDS,2392781.875581333,733
dIUSDC,1407133.559554,615
UP,6.180660822107399,75
TAP,1103143.5228185633,57
SEED,187.82319099999998,38
ICXIOU,3818.7292,6
EPX,7.734999999999999,6
ACT,600.0,6
IAM,722.0,3
