IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
sICX,8614365.322354596,2028.0,0.8056392809766243,6940071.084371723
bnUSD,969966.790706512,1683.0,0.9845633070937325,954993.7112290978
GBET,272617.8419714099,1286.0,0.10972408873413225,29912.744282978627
BALN,216481.2437782306,1067.0,0.5694291288343437,123270.72605361303
OMM,1748858.3317644498,883.0,0.06451644696877039,112830.12581717338
FIN,38805.97243178687,646.0,1.949651027507378,75658.10402505625
TAP,2356371.8382622916,373.0,0.0014478067294864888,3411.571004608594
UP,5.354191520596546,340.0,2.179606001114339,11.67002796940774
USDS,257414.07806103028,191.0,0.9847752798147374,253495.02075080376
IUSDC,81903.203214,177.0,0.987384709094766,80869.9704793849
CFT,1202948.42567921,148.0,0.03598090302733578,43283.1706512499
finOMM,12476.093641943318,129.0,1.949651027507378,24324.028788293057
oICX,3293396.516340017,108.0,0.8056392809766243,2653289.6013950906
METX,445122.8010321197,56.0,0.0005172048933145,230.2196908196689
IAM,11242.903225348145,41.0,,
obnUSD,263823.0004922259,36.0,0.9845633070937325,259750.44585201738
oOMM,23562.739999999998,26.0,0.06451644696877039,1520.1842656489246
oIUSDC,19066.046404,20.0,0.987384709094766,18825.52268220085
finICX,128553.68997494139,15.0,1.949651027507378,250634.8337495094
finOICX,1125528.493643381,12.0,1.949651027507378,2194387.784120649
dbnUSD,7728.915587661266,10.0,0.9845633070937325,7609.606691236075
dIUSDC,5233.88567,10.0,0.987384709094766,5167.858679708214
oUSDS,83589.22078808454,8.0,0.9847752798147374,82316.59829108181
IUSDT,0.052627,6.0,0.9852907254393695,0.0518528950076977
dUSDS,9.72269956888054,4.0,0.9847752798147374,9.57467418849896
oBALN,21656.28009037047,3.0,0.5694291288343437,12331.7167056522
dBALN,5.613435199161524,2.0,0.5694291288343437,3.196453515226587
HGC,7500.0,1.0,,
ICX,,,0.7362208,
