IRC Token,Amount,No. of Transactions
bnUSD,5266221.610120154,6719
sICX,2770596.9622499715,6302
OMM,2870019.6385694845,3325
BALN,509670.1520267366,2859
IUSDC,1112981.688271,2076
USDS,1400225.817113042,1717
METX,2217839.2862600433,1510
PGT,6000.0,1037
CFT,769482.5576884969,302
IUSDT,4587.269539,249
obnUSD,467218.0418675722,213
GBET,149102.0,212
oIUSDC,154427.158143,194
oICX,410898.6926754816,147
oUSDS,305938.3672215741,126
TAP,859855.7511358904,78
dbnUSD,445813.7452688808,73
dUSDS,235905.60802502994,58
UP,9.200286228404446,48
dIUSDC,85844.15510599999,43
ACT,820.0,10
LDX,2030.0,9
HGC,11000.0,2
