IRC Token,Amount,No. of Transactions
sICX,18205799.815743905,6041
bnUSD,10489396.03544395,5786
BALN,965956.4940130544,2759
OMM,2768109.147682561,2201
GBET,2029932.944785291,1733
IUSDC,1025542.574106,1360
METX,1306320.938745635,1153
USDS,697272.4280416889,719
oICX,4110878.7471916922,369
CFT,2588627.5917507517,224
dIUSDC,179561.164378,128
oOMM,39351.05447625764,120
obnUSD,1917328.7395005822,112
oUSDS,199983.8919930994,79
oIUSDC,80584.334208,72
TAP,2873698.117643886,61
dbnUSD,1389394.9569424146,54
dUSDS,149782.29756622584,46
IUSDT,557.953293,41
oBALN,31441.754448243893,32
UP,9.857389698819587,29
dBALN,1841.8934571750174,10
LDX,3750.0,3
HGC,3250.0,2
ICXIOU,97.901,1
SPORTS,38612992.0,1
