IRC Token,Amount,No. of Transactions
OMM,3136222.266137107,7578
sICX,8689777.740717309,5983
IUSDC,3479258.472393,5035
bnUSD,3123533.4481174992,4973
BALN,376352.0796606401,3195
USDS,5269479.6104763,2014
oIUSDC,858278.343647,1104
PGT,3000.0,724
oUSDS,1743833.791940272,497
oICX,1640205.0037573923,380
dIUSDC,359194.758012,241
dUSDS,1371684.1233782563,122
UP,0.5878707856090118,52
TAP,313949.83870001044,51
LDX,3011.0,34
CFT,20157520.002,27
SEED,54.647624,26
METX,40411.39565881125,11
ICXIOU,3266.0,4
EPX,2.325,4
ACT,300.0,3
IAM,2.3336354846642,2
