IRC Token,Amount,No. of Transactions
bnUSD,21972729.30786421,13596
sICX,11421237.448305028,8489
BALN,464263.2050544366,7406
IAM,32442.024165183368,2070
LDX,561148.5,1051
METX,713088.3174682076,989
IWIN,73550.61279999935,867
UP,94.82285378958817,657
TAP,7319685.063665294,214
SEED,1877.7835799999993,170
ACT,4937.0,103
SPORTS,177260744.0,22
SSX,15485.9,18
uMETX,7394.508291320076,3
uSEED,4.8142018787724e-05,3
IETH,4.272177777516757,2
uTAP,4779.907550417838,2
uETH,74.1576766296192,1
uUP,76.16592499454259,1
