IRC Token,Amount,No. of Transactions
OMM,3604688.707279902,23171
sICX,6494196.451834492,13715
IUSDC,24861500.615415998,12698
bnUSD,2645264.1350647486,8249
USDS,9413144.351166876,4896
IWIN,490642.935,4586
BALN,526232.4881229812,4130
oIUSDC,9266769.118833,3016
PGT,3001.899988580746,2078
oUSDS,3102975.8234477513,1323
oICX,1472533.0545847942,1071
dUSDS,2392685.089070847,475
dIUSDC,785018.359211,411
UP,9.872361178524764,86
TAP,1047681.3326923957,62
SEED,362.993001,48
LDX,357750.0,29
METX,492526.1327486965,22
ACT,1000.0,10
HGC,21000.0,5
IAM,9279.594438791955,2
uMETX,13.880263180748758,2
