address,name,country,city,logo
hx05493cc93caf332f46715411e12c927750d210b6,ICX Malta,MLT,Valletta,https://i.ibb.co/w72ppb6/icxmalta256.png
hxe886f81684bbecddd69a608093fb88624c94d20a,POCKET / FIGMENT,CAN,Montreal,https://p-rep.community/p-replogo/img-256.png
hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,NLD,Heerlen,88.99.165.21:32769/logo/logo_iconic_innovation_256.jpg
hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,SVN,Ljubljana,https://raw.githubusercontent.com/onelife9to5/icon-prep-about/master/logo/onelife9to5-flag-si-256.png
hx18a807c44b0efdc2e02ea503d7bc011cc4242318,RHYTHM (Australia),AUS,Brisbane,http://prep-registration-intense-mastiff.s3-website-ap-southeast-2.amazonaws.com/logo_256.png
hxd17cc393d0b0a59f0a03e4fb4ac1ab196743162f,Hermes Greece,GRC,Thessaloniki,http://prep-registration-relieved-gazelle.s3-website.us-east-2.amazonaws.com/.
hx704cf476389a2e3ab13ca33eeea9480ee172cf60,ICON Russia,RUS,Saint-Petersburg,http://ossuan.com/russia256.jpg
hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,BEL,Mechelen,
hxfa6714e4ec784ae2176c416c46dc2c98b6ec9074,Piconbello { You Pick We Build },GBR,London,https://www.piconbello.com/src/images/256.png
hxf6672e670d2b5816061da22231f3a90f0b5955b5,ICON Chicago,USA,Chicago,https://prep-details.s3-us-west-1.amazonaws.com/logo-256.jpg
hx0315df35eef97e1e73f1a72b1e78ff7f28ba3176,Blockheads Development,USA,Fresno,https://weareblockheads.tech/img/logo-256.png
hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,USA,ICON,
hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,CAN,Sudbury,
hxd00b8fe10deb49aa291a9b2cb460779fc622fa12,ICON4Education,USA,San Francisco,https://user-images.githubusercontent.com/58829210/79045523-92d87380-7bd9-11ea-80c0-4b5a370c98b2.png
hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,KOR,Seoul,http://prep-registration-chief-fowl.s3-website.us-east-2.amazonaws.com/logo_256.png
hx554ea6c0c56e6f30682dcaa79a326da3a364899f,UNBLOCK {ICX GROWTH INCUBATOR},JPN,Tokyo,https://www.unblock.casa/unblock256.png
hxf85e4d956f1dfad8d713421ab58b24863c28b28a,DRAICON BALL,KOR,Seoul,https://s3.ap-northeast-2.amazonaws.com/icon.world/img/draiconball_logo.png
hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,USA,Brooklyn,http://prep-registration-unique-katydid.s3-website.us-east-2.amazonaws.com/.
hx1be230522449d87274fa8f326fed22e3cacfe4c0,ICON Thailand,THA,Phuket,
hxf49551380a26055a26f4dffd3aa837e66877571b,Wetez,CHN,Bei Jing,https://oldofficial.wetez.io/IMG/Wetezlogo256.png
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Icon-4-Business,USA,Chattanooga,http://meta.icon.oaknode.com/icon4business.icon.oaknode.com.256.png
hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,USA,San Diego,http://prep-registration-assured-haddock.s3-website-us-west-2.amazonaws.com/.
hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,RUS,Moscow,http://prep-registration-renewing-mongrel.s3-website.eu-north-1.amazonaws.com/logo_256.png
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON-NYC,USA,New York City,/mnt/c/icon/logos/nyc.png
hxa615b432cb84c3f2ed22194b32df317b474ec2c9,HOLA ICON,ESP,Malaga,http://www.holaicon.com/img/img-256.png
hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,KOR,Seoul,
hx6deee24065b8fa75298b0a22c5a221e2587ba09d,Sunrise,CAN,Vancouver,
hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,USA,San Francisco,http://prep-registration-immune-crawfish.s3-website.us-east-2.amazonaws.com/.
hxd243919468353a59250114d3ea891de8486f37c0,Iconserve,NLD,Amsterdam,https://raw.githubusercontent.com/Iconserve/Iconserve/master/logo.png
hx02645148d0887cd1daf345e3eabf8871780398e5,ICONLEO,LVA,Riga,http://meta.icon.oaknode.com/iconleo.icon.oaknode.com.256.png
hxdcff7a1ab76ba34a9e3c85b0f1e7b2bf436ac024,Staked,USA,Boston,https://storage.googleapis.com/static-webapp-220401-prod/static/i/fav/apple-touch-icon.a348381cd490.png?v=gAa6AEel3x
hx11434d1fce3edecf0e84a9c992a712f0cebf6992,icon-node-NL,NLD,Dronten,https://icon.foundation/prep/logo256.png
hxdb0266079cb558e14b41ad7125b729c2c96b2d36,Midos,BGR,Varna,http://meta.icon.oaknode.com/midos.256.png
hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,GBR,London,http://prep-registration-comic-pup.s3-website.eu-west-2.amazonaws.com/logo.svg
hx77b13a82be3a1bd2a71dd389bdfa624a59e8ff2b,InfStones,USA,San Francisco,https://infinitystones.io/bp_info/image/logo_256.png
hx5ccbcb12e2248acfd420b9adb79ceb8f324107d6,Frontlines Media,USA,San Juan,http://prep-registration-clever-muskrat.s3-website-us-west-2.amazonaws.com/logo256.png
hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,AUS,Sydney,
hx475e37c2decf56f5bf678060e3937c944921ccba,ICON London,GBR,London,http://prep-registration-ideal-bluebird.s3-website-eu-west-1.amazonaws.com/logo256.png
hx35a0a985a9abd8cbbc71bec1aba74ca204369c8a,RemICX,THA,Bangkok,https://www.remicx.net/image/remicx256.png
hx004783f10b0bd56764535cf931650dfe6d42cd9e,DELIGHT,KOR,Seoul,https://de-light.io/image/DELIGHT-primary-symbol-256.png
hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,GRD,Grenada,http://prep-registration-charmed-goose.s3-website-eu-west-1.amazonaws.com/icon_256.png
hx6f09a1d35ea1f22467df4f0d04a78b4422dcd30e,FOCUS,USA,BOSTON,https://raw.githubusercontent.com/cristim20/FOCUS/master/focus256.png
hx468a3871c1e8d7e61581fae29258fcacf13e5150,ICX FREEZER,SGP,Singapore,https://freezer.foundation/layouts/xet_split/img/freezer_256.png
hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,GBR,London,http://prep-registration-exact-cougar.s3-website.eu-west-2.amazonaws.com/logo.png
hx5dff0f5953e8cb0d50aaabff041a524e27718bd2,DSNC,GBR,London,https://dsnc.s3.eu-west-2.amazonaws.com/dsnc/dsnc-256.png
hx2571420b7d3977611cea1d1646579aeef2fb6dfa,HypoICON,USA,New York,https://rush2vishu-2020.s3.amazonaws.com/HypoICON-JMD.PNG
hxa83c659bcebca1c6cbf9a94477a7005d09461569,ICXmerch,ARE,Dubai,http://meta.icon.oaknode.com/icxmerch.icon.oaknode.com.256.png
hxadad43bd60785979ed2ecea55df1eb8049162b04,Gilga Capital (NEW - LETS GROW ICON),CAN,Toronto,
hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,USA,New York City,https://github.com/loop57/icon-prep-assets/raw/master/loop57-256.png
hx8f0eca05fa5f8e0d3f8f440693b9a718ec31fae8,HASHRATE PLUS,CAN,Toronto,https://hashrateplus.com/icon/img/hash-logo-256.png
hx8e882ac085ca90e5ef19364ffda6646acceed3b8,Icon Panda,USA,San Jose,
hx9d068caab70c41f7ddf3ab3d9bcce8a8dbffa089,Noris [New Node],USA,San Francisco,https://noris.io/wp-content/uploads/2019/08/noris_logo-256v2.png
hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,KOR,Seoul,http://prep-registration-exotic-cowbird.s3-website-us-east-1.amazonaws.com/.
hx35760c56a8e3942a3e4e5cc2ba78b18502b4f421,FOMO MASTERNODE,KOR,Seoul,https://raw.githubusercontent.com/fomomasternode/preptestnet3/master/fomologo256.png
hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,SWE,Stockholm,https://zigsolution.com/logo/zigsolution-256.png
hxa19a398f4941abed1d0af82fb2f6081b76f29107,A_Block,KOR,Seoul,
hxecf2a15a708dde0cf35aedb22344bd0fe0f88f98,manifest-icon,CHE,"ZURICH,WARSAW",https://manifest-icon.com/wp-content/uploads/2019/10/logo_256.png
hxbb5355790905d790dff2aa04de5ff786a5211958,Xangle,SGP,Singapore,https://s3.ap-northeast-2.amazonaws.com/upload.xangle.io/images/logo/logo-256.png
hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,CHN,Shang Hai,https://nel-icx.oss-cn-hangzhou.aliyuncs.com/256.png
hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,CHN,Beijing,https://www.bitcat365.com/wp-content/uploads/cn/2019/09/05-12533755.png
hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,JPN,Tokyo,https://github.com/azaburesearch/prep/raw/master/azabu_research_256px.png
hx87d5c36add6d96c2c0dcc349223c528a99fb26f6,DFG Crypto,CHN,SHANGHAI,http://52.78.229.102/img/logo-256.png
hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,KOR,Seoul,https://ifnlife.com/json/256.png
hxfe9a226b2910584cebd9596e4effd8a8c0e3e039,Nodeasy.com,CHN,Hangzhou,
hx03b3f70f1a5acdd9cd5967460a665092c921411a,neo_icon,GBR,London,
hx4109ae2bda803171fac8b75e713b3a3f033e969b,MW node,CHN,Shanghai,
hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,CHN,Beijing,https://d.cobowallet.cn/public/cobo-logo/logo256.png
hx1f6da7d57810e812d030fbbd3144690e481e24fc,Common Computer Online,SGP,SGP,https://comcom.ai/logo_256x224.png
hx5b7cef0d8d9208a53df4cb5ca84ee3a9a530d5b7,iccc node,CHN,Shanghai,https://47.100.244.97/img/img-256.png
hxa5772c57dd9c67ed09578270847de6fc2bf73b53,mirai,SWE,karlshamn,https://raw.githubusercontent.com/mir41/prepinfo/master/logo.png
hx80a3bb927f9edc899f98eb46bd7a7c601da12980,Sesameseed,USA,SAN FRANCISCO,
