date,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2021-02-15,hxa16dc10855a6a7d1c455d324f9c7776ae1290133,247020.8932,100,10,1000.0,52139.877400000005,2000.0,2470.208932,0.40482%,21.10748%,0.80965%,1.00000%
2021-02-15,hx93f780635e8eceb569c8ac44cdcb88eb4c5c39b3,8200.0,100,10,9.999999999999638,3000.0,9.999999999999996,82.0,0.12195%,36.58537%,0.12195%,1.00000%
2021-02-15,hx2be8c1cf96fa6685d848d7798408a3e5941a8d82,15.149799999999981,100,10,0.0001,10.0,0.0001,0.1514979999999998,0.00066%,66.00747%,0.00066%,1.00000%
2021-02-15,hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,56214.47191539634,100,10,47.8926,3912.2277077999365,409.6999113671302,562.1447191539634,0.08520%,6.95947%,0.72882%,1.00000%
2021-02-15,hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,401394.41679999995,100,10,833.3333000000002,225522.4094,1500.0,4013.9441679999995,0.20761%,56.18474%,0.37370%,1.00000%
2021-02-15,hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,5102.000000000001,100,10,8.999999999999943,2015.000000000001,9.0,51.02000000000001,0.17640%,39.49432%,0.17640%,1.00000%
2021-02-15,hxb0d886f01ca2697ce9961232a754bb3923142128,17338.3267,100,10,17.938700000000207,2672.6088999999997,157.7947,173.38326700000002,0.10346%,15.41446%,0.91009%,1.00000%
2021-02-15,hx5ca7bf0204fe5a074ee9fc8eef5f1379f4ba2ca5,53513.86159999999,99,9,0.999999999996362,53390.9024,1.0,540.5440565656564,0.00187%,99.77023%,0.00187%,1.01010%
2021-02-15,hxfba1d468956f06d3bd09b05762c374a88f8b4d5c,5219.000000000002,99,9,1.0,5121.0,1.0,52.71717171717174,0.01916%,98.12225%,0.01916%,1.01010%
2021-02-15,hx14c5d80083258bca5146f7c1eecb780ad0c0f930,1724.3979,96,9,1.0,417.7802,5.0,17.962478125,0.05799%,24.22760%,0.28996%,1.04167%
2021-02-15,hx114049660809114582bfc83f66833560544bf877,1229.708700000001,88,8,0.0,19.1711,10.3066,13.663430000000012,0.00000%,1.55900%,0.83813%,1.11111%
2021-02-15,hx3162ddabdd7a774e7fa3366fb64e228da2609f10,20.80511999999999,77,7,0.2701963636363636,0.2701963636363637,0.2701963636363636,0.2701963636363635,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx96fdbd2bda734c6935653f26004462f317ccf391,12.800000000000002,77,7,0.16623376623376626,0.16623376623376626,0.16623376623376626,0.16623376623376626,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx31a511abea00e27919311a1c8278dae39d0443b5,213.13178605999772,77,7,2.7679452735064514,2.767945273506493,2.7679452735064656,2.767945273506464,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx2bde42f320f95ff3fb2bbe767dbf4df26c0a3f2c,19.000000000000025,77,7,0.24675324675324675,0.2467532467532468,0.24675324675324675,0.24675324675324709,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx9c57fef4b5282df2897381f41385a4b011d994c8,6243.118884109996,77,7,81.0794660274026,81.0794660274026,81.0794660274026,81.07946602740255,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx89544de3be6943239dbeaa9f02f93c081d2c8262,883.3480708100002,77,7,11.472052867662336,11.472052867662336,11.472052867662336,11.47205286766234,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx8c2b14be00d9f4fbe45a4d3e9182ba6fdf17b773,75.00000000000014,77,7,0.974025974025974,0.9740259740259741,0.9740259740259741,0.9740259740259759,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx8e668003439f2c9cb6a0bea0964b6f7caaf45738,452.5573140900006,77,7,5.877367715454545,5.877367715454545,5.877367715454545,5.877367715454553,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx8cd42bdd4d43f0df5c652ae6c15d695a39e059b7,13.980000000000015,77,7,0.18155844155844159,0.1815584415584416,0.18155844155844159,0.18155844155844175,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx33592a0fe14f231620b7e761ac0d7f06f96ea447,1304.999999999998,77,7,16.948051948051948,16.948051948051948,16.948051948051948,16.948051948051923,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx9e983f946f418f7d5487e30ae900c847a09a26d5,144.0,77,7,1.87012987012987,1.87012987012987,1.87012987012987,1.87012987012987,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hxacf0568aa89dca5eeda093d0c74e2a25e142112b,15098.939407500002,77,7,196.09012217532464,196.09012217532464,196.09012217532464,196.0901221753247,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hxac52af2aed0ee49d9ca63d78b8f9d868da26fb5b,112.99999999999984,77,7,1.4675324675324675,1.4675324675324675,1.4675324675324675,1.4675324675324655,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx218e2fbff7d2fc40deee8355f8a1dfbcaf2a8f1e,199.98000000000033,77,7,2.597142857142857,2.597142857142857,2.597142857142857,2.5971428571428614,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hxa2d94ca5821a2d9d006d3d677c4b1ade8d23d697,89.79908999999985,77,7,1.166221948051948,1.166221948051948,1.166221948051948,1.166221948051946,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hxa27e0324a109159acc918c845e792f1ca58a13e9,27.00000000000003,77,7,0.35064935064935066,0.35064935064935066,0.35064935064935066,0.35064935064935104,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hxa000265b6f0ba5bb9bb0fc1cf1e1d8f19b112005,109.6715200000002,77,7,1.4243054545454543,1.4243054545454543,1.4243054545454543,1.4243054545454572,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx29c25b866304b8dcf430ef721913d8d82375006b,21.510849999999998,77,7,0.2793616883116883,0.2793616883116884,0.2793616883116883,0.2793616883116883,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx2a391d3ff0f463ff889a7a7bc939d429ff192b24,301.5858489400001,77,7,3.916699336883117,3.916699336883124,3.916699336883119,3.916699336883118,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hxa3888012842cc68a0527bcf3730ce09a6ac0c424,218.99999999999983,77,7,2.8441558441558437,2.844155844155844,2.8441558441558437,2.844155844155842,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hxa73b2805c03de3cddcc88dff65b3cd5dcfe617fa,1790.7902074999968,77,7,23.257015681818174,23.257015681818174,23.257015681818174,23.25701568181814,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx5ec425851e7f636c62f0271098ae90244af4d535,103.79999999999988,77,7,1.348051948051948,1.348051948051948,1.348051948051948,1.3480519480519466,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx695b282775671ce523762ddba3c4318219bf14fa,29592.49644278002,77,7,384.31813562051946,384.31813562051946,384.31813562051946,384.31813562051974,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx5b342404d31847992c2f2abbf8d7fb409e16f0d8,48.98999999999995,77,7,0.6362337662337663,0.6362337662337663,0.6362337662337663,0.6362337662337656,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx46587fb61613835e91713daf2e472672d4677598,109.28385917999985,77,7,1.4192708984415583,1.4192708984415585,1.4192708984415583,1.4192708984415565,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx575b4f31e40cb4399ccbd8f69a7cd55d0f22e8ed,80.44857680000003,77,7,1.0447867116883116,1.0447867116883116,1.0447867116883116,1.044786711688312,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx6d90c9f5dcb32b6d85cc80931b49dd6c0d475505,2674.9600000000023,77,7,34.73974025974026,34.73974025974026,34.73974025974026,34.73974025974029,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hxfb233093b014a3bc50135f3d34fa23a783257508,324.7228990200001,77,7,4.217180506753247,4.217180506753247,4.217180506753247,4.217180506753248,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hxf931656323c0f817f1a11eb07f66081d77402461,96.79999999999993,77,7,1.2571428571428571,1.2571428571428571,1.2571428571428571,1.2571428571428562,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hxdde56c760ce0e6de37d436cac9a1ea3058c13f12,75.36811200000001,77,7,0.9788066493506493,0.9788066493506494,0.9788066493506493,0.9788066493506495,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hxcf684ff97dc9b6f024eb6716837adfad88c707d9,1.0000000000000002,77,7,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.01298701298701299,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hxd39271b3413f225d1e83e33c29b5c6afb6165050,245.99999999999972,77,7,3.1948051948051948,3.1948051948051948,3.1948051948051948,3.194805194805191,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx0beb6f60a1c3132c207fc7eab28f0ea46a6ebd08,479.99999999999994,77,7,6.233766233766234,6.233766233766234,6.233766233766234,6.233766233766233,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hxba39893feb54ad2ab9f010ce2465d8db1d339ef5,64.99999999999994,77,7,0.8441558441558441,0.8441558441558442,0.8441558441558441,0.8441558441558434,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hxebacc23476668842b8e5c1b6a0ea6e529d9062f0,29.000000000000046,77,7,0.37662337662337664,0.37662337662337664,0.37662337662337664,0.37662337662337725,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx1fa5780ca6fc49bfb409b8daf2dd4e18eb3eaf53,790.9410849999988,77,7,10.271962142857141,10.271962142857143,10.271962142857141,10.271962142857127,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx1d72eebfdf8fdc6be8592c88b519b4a84563c224,11.921705000000001,77,7,0.15482733766233764,0.1548273376623377,0.15482733766233764,0.15482733766233767,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hxed2a995afbd2f2845b7a293d24b4896f92a861c7,4995.0,77,7,64.87012987012987,64.87012987012987,64.87012987012987,64.87012987012987,1.29870%,1.29870%,1.29870%,1.29870%
2021-02-15,hx8b0f1b791d79dd119dc85c78658e7af5b1bc8d83,42.98000000000003,76,7,0.5655263157894737,0.5655263157894737,0.5655263157894737,0.5655263157894741,1.31579%,1.31579%,1.31579%,1.31579%
2021-02-15,hxbb822ec30a0840b068a5b8faabe8f1de2ba0c3af,98.96463499999994,76,7,1.30216625,1.30216625,1.30216625,1.3021662499999993,1.31579%,1.31579%,1.31579%,1.31579%
2021-02-15,hx5e221d7dad8bf894898b7153bb78ec137452b469,33.99999999999999,75,7,0.4533333333333332,0.4533333333333334,0.4533333333333332,0.45333333333333325,1.33333%,1.33333%,1.33333%,1.33333%
2021-02-15,hxa24bf1e97a8cc716d95581b915dbc30675ff9bdd,14.161277499999986,75,7,0.1888170333333333,0.18881703333333336,0.1888170333333333,0.18881703333333316,1.33333%,1.33333%,1.33333%,1.33333%
2021-02-15,hxa8460d783bab1321378963d1a0da7a89617b99f9,73.93999999999998,75,7,0.9858666666666664,0.9858666666666668,0.9858666666666664,0.9858666666666664,1.33333%,1.33333%,1.33333%,1.33333%
2021-02-15,hx7718e35cf0bdfafb23247237ddf9dfe07a74bcc1,67.99999999999999,75,7,0.9066666666666664,0.9066666666666668,0.9066666666666664,0.9066666666666665,1.33333%,1.33333%,1.33333%,1.33333%
2021-02-15,hx91a96b35dc34010c9c732c0cfb3b1c44167ebfb2,170.0000000000002,75,7,2.2666666666666666,2.266666666666667,2.2666666666666666,2.2666666666666693,1.33333%,1.33333%,1.33333%,1.33333%
2021-02-15,hx87ba3eb23afc92db4ab4f3ba57cbff1ec8469805,8.900000000000002,75,7,0.11866666666666666,0.11866666666666673,0.11866666666666666,0.1186666666666667,1.33333%,1.33333%,1.33333%,1.33333%
