IRC Token,Amount,No. of Transactions
OMM,3818367.894205302,17289
IUSDC,12204532.840087,10889
sICX,49597663.35222944,10511
bnUSD,4297137.982911875,7249
BALN,566476.8195451882,3959
USDS,2372781.558012762,3035
oIUSDC,3397673.5239419998,2766
IWIN,140807.669,1646
METX,284591.7391900594,827
oICX,4284182.490919814,747
oUSDS,776352.4233797699,635
dIUSDC,3036001.107282,356
dUSDS,434590.1185629076,245
UP,1.1766090585310502,66
TAP,363415.87376241904,57
SEED,137.119272,34
ACT,900.0,9
LDX,2150.0,7
HGC,16750.0,3
EPX,2.99,3
uMETX,0.1039576348090278,1
