week,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2020-39,hxaa60ebb314e4002f369cb07465712faa91ac112b,10185.759700000002,19,1,308.7678,1202.3863000000001,428.1903,536.0926157894738,3.03137%,11.80458%,4.20381%,5.26316%
2020-39,hx81f933da3f0ef5fe89887e06cb3b2f80aba4010b,5295.977,18,1,200.0,500.0,300.0,294.22094444444446,3.77645%,9.44113%,5.66468%,5.55556%
2020-39,hx85c203bb27226345baffa75c0d3ef6d0a3132e6b,156275.1699,18,1,1399.2755999999977,26921.625099999997,5676.27905,8681.953883333334,0.89539%,17.22707%,3.63223%,5.55556%
2020-39,hx6c6cbea1f364be1be5a56f9d5b5675a3f9828366,10057.7652,18,1,2.0,2030.5377,500.38385000000005,558.7647333333333,0.01989%,20.18876%,4.97510%,5.55556%
2020-39,hx5d8f854d72bb8ff9f3f8425f7cd035924b4dedde,18.999999999,18,1,1.0555555554999998,1.0555555555000007,1.0555555555,1.0555555555,5.55556%,5.55556%,5.55556%,5.55556%
2020-39,hx26907c177186f27613f85431237f3d68cf303528,41081.8502,18,1,1474.4764,3697.2509,2364.66005,2282.325011111111,3.58912%,8.99972%,5.75597%,5.55556%
2020-39,hx179358d62f45c8327fab772dfc3bf08b8d5c1259,1227.5342000000003,18,1,24.3919,126.7698,61.01734999999999,68.19634444444446,1.98706%,10.32719%,4.97073%,5.55556%
2020-39,hxcaf3a1285478520ad520d34d470aed54d49c4774,14966.830600000003,18,1,169.0919,3338.438,748.46425,831.4905888888891,1.12978%,22.30558%,5.00082%,5.55556%
2020-39,hx1be8a72295d2a3d802c5dddc153477dafdf966c0,62.308146266033376,18,1,0.4341228560543908,10.682292025518196,1.8420046144680757,3.4615636814462984,0.69674%,17.14429%,2.95628%,5.55556%
2020-39,hx1cd1e371a8f885f68799aa837e287c5c442e9adb,44882.76689999999,18,1,200.0,9221.8106,2222.0705000000003,2493.4870499999993,0.44561%,20.54644%,4.95083%,5.55556%
2020-39,hx13c863c2f8839574d795c3c6cce1aab0bd4fcae4,101577.5162,17,1,608.5790999999999,16549.084,4772.5541,5975.148011764706,0.59913%,16.29207%,4.69844%,5.88235%
2020-39,hxc30aabbc541d3ad4019aa5675fc553549852130e,8788.5989,17,1,188.5989,1000.0,500.0,516.976405882353,2.14595%,11.37838%,5.68919%,5.88235%
2020-39,hx5203a1c4db4ce125e32d81205a8bff763ff579f1,74522.20663417186,16,1,331.1250163557178,15420.543183956905,3825.9612691723705,4657.637914635741,0.44433%,20.69255%,5.13399%,6.25000%
2020-39,hxa4223229cf2bacc2fbb861563bb6e2b9cbc56a3e,19142.084099999993,15,1,230.7947999999999,15056.856099999999,282.927,1276.1389399999996,1.20569%,78.65839%,1.47804%,6.66667%
2020-39,hx602d61e653c7bc72581e076ede13a18f5ab2f1b0,13155.135300000002,15,1,102.16489999999999,2370.6985,786.4944,877.0090200000001,0.77662%,18.02109%,5.97861%,6.66667%
2020-39,hxd8586c788a27ae85153bd4f3dbd7dd18e61e4994,4480.0842999999995,15,1,20.5475,835.1339,348.6351,298.67228666666665,0.45864%,18.64103%,7.78189%,6.66667%
2020-39,hxdd3e1988cb579476efba6206819f7cd6af43f38d,62634.9039,15,1,4000.0,5000.0,4000.0,4175.66026,6.38622%,7.98277%,6.38622%,6.66667%
2020-39,hx49e57e5fed70ed214b39435032f7f84bc36eb8b2,15057.9334,15,1,999.9999999999998,1057.9334,1000.0,1003.8622266666666,6.64102%,7.02575%,6.64102%,6.66667%
2020-39,hxad9a11d1d6a37c499284b9ce23e38f1e9b3e0894,49743.60970000001,15,1,0.0,10417.7685,1741.1822,3108.9756062500005,0.00000%,20.94293%,3.50031%,6.25000%
2020-39,hx86224a68a3a332e7f334efa0fe8bd13bbac28d70,6920.181100000001,15,1,333.0958,519.9188,519.9186,461.3454066666667,4.81340%,7.51308%,7.51308%,6.66667%
2020-39,hx8816f9995eb3bba5c93a9f954f36e816b9f1df8f,1294.1159000000002,15,1,5.3816,257.4011,53.534,86.27439333333335,0.41585%,19.89011%,4.13672%,6.66667%
2020-39,hx250858a62cd9fec535459cd61ca7b1d89984c8a9,537.1549,15,1,4.178999999999999,50.0,50.0,35.81032666666667,0.77799%,9.30830%,9.30830%,6.66667%
2020-39,hx91449e6edfd99af685c9c376024db63fca65e236,10537.535999999996,15,1,165.46640000000002,7691.4551,198.0066,702.5023999999997,1.57026%,72.99102%,1.87906%,6.66667%
2020-39,hx9624f97052215bc50da22b8b0c3d68ddf9acfe34,59765.848399999995,15,1,3615.2999,4260.1058,4159.541300000001,3984.389893333333,6.04911%,7.12799%,6.95973%,6.66667%
2020-39,hx5949b6be475b9d1417b1330ad55e9308d5e05bfb,11726.766500000002,14,1,582.9703,1399.1292,641.2674,837.6261785714287,4.97128%,11.93107%,5.46841%,7.14286%
2020-39,hxf21441902d03b9d6d761f9522a3e73edb86309b6,3.906800000000211,14,1,0.09999999999979536,2.0,0.10000000000001408,0.27905714285715794,2.55964%,51.19279%,2.55964%,7.14286%
2020-39,hx53c974aa02514313dc3e5371d3703051e4825f3b,86575.8303,14,1,1575.8303,10000.000000000002,6250.0,6183.987878571429,1.82017%,11.55057%,7.21910%,7.14286%
