IRC Token,Amount,No. of Transactions
sICX,4817399.857072322,3521
bnUSD,2015472.518757458,3088
BALN,436333.1722367761,2278
OMM,1866360.6239444856,1753
GBET,1567136.988387718,1312
METX,3130438.2426429093,1113
IUSDC,300534.407684,617
USDS,180363.61811998882,442
oICX,530023.1107290235,232
oOMM,45540.43323020227,93
oIUSDC,82150.274289,77
CFT,873436.6996997455,75
obnUSD,355506.1997308454,64
dUSDS,24908.42858164574,52
TAP,837295.9804157495,41
oUSDS,25763.103643359507,37
dIUSDC,9073.608074,36
IUSDT,97.549803,34
UP,2.037609834899849,29
dbnUSD,47988.265909015856,28
oBALN,62745.14129434972,12
LDX,7755.0,9
dBALN,21.954223214783955,4
HGC,42500.0,2
IETH,0.4995,2
uMETX,233.03316286285184,1
