IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
bnUSD,5181145.9130336465,11030.0,0.9782882403483671,5068654.118249821
FIN,51076.838595042034,7207.0,,
sICX,15051097.83938242,7179.0,0.9412729131105974,14167190.708788108
BALN,598213.1134607256,3536.0,1.139946620607169,681931.0170924471
GBET,1269293.6215204608,2165.0,0.1612599463483401,204686.2213066798
METX,12025915.145841064,1563.0,0.001897892278525255,22823.89149749167
OMM,6278694.737753665,1474.0,0.14010058583232018,879648.8110215944
CFT,12771831.506557321,920.0,0.08604266992752997,1098922.4826887394
IUSDC,2723597.90333,685.0,0.9879751078710367,2690846.932339786
USDS,249286.82221750185,556.0,0.9814133030844125,244653.40360789522
IWIN,872.634,278.0,,
finICX,1919570.458906459,265.0,0.9412729131105974,1806839.6777759288
oICX,2305481.9817184946,230.0,0.9412729131105974,2170087.7410561605
obnUSD,494027.50321521034,151.0,0.9782882403483671,483301.2968041054
dbnUSD,163931.63004663252,91.0,0.9782882403483671,160372.38589575965
IAM,1239.6728504502291,82.0,,
oIUSDC,1241556.100164,80.0,0.9879751078710367,1226626.5219874715
IUSDT,80758.38063,67.0,1.0210084272656161,82454.98719555429
UP,9.183220740159184,62.0,2.4689344929097747,22.67277044138344
oOMM,40494.37530510297,62.0,0.14010058583232018,5673.2857031587655
TAP,372766.2221344914,40.0,0.0026602181431589593,991.6394672789969
oUSDS,64032.55974935831,37.0,0.9814133030844125,62842.40596856774
dIUSDC,21785.961577000002,25.0,0.9879751078710367,21523.98773911084
LDX,21300.7485,22.0,,
oBALN,7911.614131748635,17.0,1.139946620607169,9018.817793034777
dBALN,55.158344378410376,6.0,1.139946620607169,62.87756827245534
CHKN,10.0,6.0,,
dUSDS,8364.996057749495,5.0,0.9814133030844125,8209.518411324021
OMMWT,20.0,2.0,0.14010058583232018,2.802011716646404
SPORTS,61767053.43,1.0,,
SPORT,55314452.0,1.0,,
HGC,2500.0,1.0,,
uTAP,0.47430005619889,1.0,0.0026602181431589593,0.0012617416148016012
ICX,,,0.87623089,
