IRC Token,Amount,No. of Transactions
bnUSD,5091464.983866764,9891
sICX,4428104.039973036,9040
OMM,5637749.219500469,5631
IUSDC,94118651.426447,4506
USDS,26615846.30801345,3599
BALN,415112.2157449511,2718
METX,4079040.509812961,2358
GBET,1318609.0,882
CFT,122276.32916680905,710
PGT,3000.007776265822,613
dIUSDC,14925238.372927,479
oUSDS,8690541.409344502,445
oIUSDC,30498123.418156,400
oICX,1159332.491117568,381
dUSDS,8088173.718998373,214
UP,2.4757144567248486,104
TAP,622623.1863932336,69
SEED,461.26923899999997,52
LDX,4536.0,12
ACT,300.0,3
HGC,8750.0,3
uMETX,92.09053085157099,3
ICXIOU,327.91046,1
