IRC Token,Amount,No. of Transactions
OMM,5199670.63268869,22314
sICX,21222193.618916363,15515
IUSDC,10196876.68205,14982
bnUSD,11502657.578314966,12355
BALN,1397433.2480532315,5295
USDS,15184211.402383298,5150
oIUSDC,1826566.852936,2983
IWIN,232056.0958,2410
oUSDS,4971851.310966327,1192
PGT,3000.0,1176
oICX,3223340.6920561027,1121
dUSDS,3821492.146273254,727
METX,792503.2283468302,631
dIUSDC,1791994.89369,615
UP,8.859068043398999,99
TAP,488568.12653589895,61
SEED,469.386879,49
LDX,182065.83924170688,29
ACT,500.0,5
uTAP,67.58765332497963,5
ICXIOU,321.05,4
uMETX,5022.972550213037,2
IAM,27.0758838574298,1
HGC,1000.0,1
EPX,1.3,1
