P-Reps,stagnant_voter_count,total_voter_count,stagnant_votes,prep_total_votes,included_network_total_votes,current_network_total_votes,prep_ranking,extraction_date
ICON Foundation,1662,6013,20834302.82581909,48569012.83740116,306328292.80758744,316827517.1688375,1,2020-10-05
ICX_Station,1415,4903,4433963.818917325,20231695.91675543,306328292.80758744,316827517.1688375,2,2020-10-05
VELIC,1186,3908,3915896.705556122,17868119.241280545,306328292.80758744,316827517.1688375,3,2020-10-05
Ubik Capital,1121,3777,2363612.483153908,14416613.613845319,306328292.80758744,316827517.1688375,4,2020-10-05
ICONation,1089,4073,1996252.2067279583,14130040.661350684,306328292.80758744,316827517.1688375,5,2020-10-05
RHIZOME,836,3130,1410533.1372385544,12089725.51622882,306328292.80758744,316827517.1688375,6,2020-10-05
ICON Hyperconnect,146,1347,380071.53980335535,11569146.772551151,306328292.80758744,316827517.1688375,7,2020-10-05
ICONbet Community,68,631,1014745.5622261832,9155189.643663267,306328292.80758744,316827517.1688375,8,2020-10-05
Symmetry SLC,253,949,7573061.768215793,9016061.449493783,306328292.80758744,316827517.1688375,9,2020-10-05
Mineable,364,1733,1056537.7612423564,7136273.428577835,306328292.80758744,316827517.1688375,11,2020-10-05
Everstake,234,1039,2269581.230346889,6445010.949659316,306328292.80758744,316827517.1688375,12,2020-10-05
weBloc asia,392,1486,1668729.517129402,6347748.383749941,306328292.80758744,316827517.1688375,13,2020-10-05
ICON DAO,165,907,1500019.0186702372,6323041.349775211,306328292.80758744,316827517.1688375,14,2020-10-05
Stakin,342,1137,776064.2477080583,5959891.15344757,306328292.80758744,316827517.1688375,15,2020-10-05
ReliantNode,92,567,1207198.9575458907,5367066.882102709,306328292.80758744,316827517.1688375,16,2020-10-05
block42,145,749,241702.02374983992,5267404.7899906775,306328292.80758744,316827517.1688375,17,2020-10-05
iBriz - ICONOsphere,70,357,1593226.8168168683,5203692.357727777,306328292.80758744,316827517.1688375,18,2020-10-05
ICONVIET,255,993,801744.4001156021,5201283.101642944,306328292.80758744,316827517.1688375,19,2020-10-05
ICONPLUS,38,461,274803.9525745354,5044949.32627883,306328292.80758744,316827517.1688375,20,2020-10-05
Citadel.one,325,1040,1974416.4105489843,4408987.338210438,306328292.80758744,316827517.1688375,21,2020-10-05
Blockmove,89,465,532613.9459701071,4255934.368319014,306328292.80758744,316827517.1688375,22,2020-10-05
PARROT9,46,303,1368405.2630318434,4219886.205615968,306328292.80758744,316827517.1688375,23,2020-10-05
Icon Pilipinas,20,303,92521.27096937306,3639549.7738873633,306328292.80758744,316827517.1688375,24,2020-10-05
InterBlock,91,288,1807931.558799999,3521487.4466323424,306328292.80758744,316827517.1688375,25,2020-10-05
Sharpn,117,501,442450.7901888718,3086664.512187106,306328292.80758744,316827517.1688375,26,2020-10-05
Insight,110,396,128592.59077527821,3051970.876221297,306328292.80758744,316827517.1688375,27,2020-10-05
Deblock with STAYGE,163,418,973686.4783980135,3008808.382585235,306328292.80758744,316827517.1688375,28,2020-10-05
ICON Forge,13,139,1046435.1721,2795726.5916500166,306328292.80758744,316827517.1688375,29,2020-10-05
Catalyst,51,177,33254.81060957334,2728805.581221066,306328292.80758744,316827517.1688375,30,2020-10-05
ICONologist,35,179,38772.188404423,2262936.196622589,306328292.80758744,316827517.1688375,31,2020-10-05
ICONTROL,7,68,403450.4011,2157507.950391338,306328292.80758744,316827517.1688375,32,2020-10-05
Bara-Node,12,41,15195.492198,1890029.1382094698,306328292.80758744,316827517.1688375,34,2020-10-05
