P-Reps,stagnant_voter_count,total_voter_count,stagnant_votes,prep_total_votes,included_network_total_votes,current_network_total_votes,prep_ranking,extraction_date
ICON Foundation,3246,6013,29309913.37698423,48569012.83740116,316823080.9053377,316827517.1688375,1,2020-10-05
ICX_Station,2675,4903,9821938.60215076,20231695.91675543,316823080.9053377,316827517.1688375,2,2020-10-05
VELIC,2208,3908,11358986.892602488,17868119.241280545,316823080.9053377,316827517.1688375,3,2020-10-05
Ubik Capital,2113,3777,6475041.828944151,14416613.613845319,316823080.9053377,316827517.1688375,4,2020-10-05
ICONation,2200,4073,5286831.3284189245,14130040.661350684,316823080.9053377,316827517.1688375,5,2020-10-05
RHIZOME,1637,3130,4914414.948677991,12089725.51622882,316823080.9053377,316827517.1688375,6,2020-10-05
ICON Hyperconnect,495,1347,1901472.1012977036,11569146.772551151,316823080.9053377,316827517.1688375,7,2020-10-05
ICONbet Community,204,631,1824053.6327829342,9155189.643663267,316823080.9053377,316827517.1688375,8,2020-10-05
Symmetry SLC,509,949,7955215.765261802,9016061.449493783,316823080.9053377,316827517.1688375,9,2020-10-05
NEOPLY,48,228,7907722.754900439,8511408.673066685,316823080.9053377,316827517.1688375,10,2020-10-05
Mineable,832,1733,2979619.685474231,7136273.428577835,316823080.9053377,316827517.1688375,11,2020-10-05
Everstake,522,1039,3188483.8770415103,6445010.949659316,316823080.9053377,316827517.1688375,12,2020-10-05
weBloc asia,803,1486,3623154.616703743,6347748.383749941,316823080.9053377,316827517.1688375,13,2020-10-05
ICON DAO,386,907,2229193.875861302,6323041.349775211,316823080.9053377,316827517.1688375,14,2020-10-05
Stakin,669,1137,3723057.930993354,5959891.15344757,316823080.9053377,316827517.1688375,15,2020-10-05
ReliantNode,216,567,1909150.1891614061,5367066.882102709,316823080.9053377,316827517.1688375,16,2020-10-05
block42,346,749,1726343.9838013265,5267404.7899906775,316823080.9053377,316827517.1688375,17,2020-10-05
iBriz - ICONOsphere,153,357,2037298.40715869,5203692.357727777,316823080.9053377,316827517.1688375,18,2020-10-05
ICONVIET,496,993,1441026.9878811282,5201283.101642944,316823080.9053377,316827517.1688375,19,2020-10-05
ICONPLUS,137,461,925023.1381771289,5044949.32627883,316823080.9053377,316827517.1688375,20,2020-10-05
Citadel.one,604,1040,3217928.360684979,4408987.338210438,316823080.9053377,316827517.1688375,21,2020-10-05
Blockmove,203,465,1899110.0301692667,4255934.368319014,316823080.9053377,316827517.1688375,22,2020-10-05
PARROT9,130,303,1687855.2038527182,4219886.205615968,316823080.9053377,316827517.1688375,23,2020-10-05
Icon Pilipinas,82,303,499886.4515600862,3639549.7738873633,316823080.9053377,316827517.1688375,24,2020-10-05
InterBlock,141,288,1893067.2268638904,3521487.4466323424,316823080.9053377,316827517.1688375,25,2020-10-05
Sharpn,241,501,889701.8427357763,3086664.512187106,316823080.9053377,316827517.1688375,26,2020-10-05
Insight,203,396,280290.7365820584,3051970.876221297,316823080.9053377,316827517.1688375,27,2020-10-05
Deblock with STAYGE,261,418,1232174.9513561602,3008808.382585235,316823080.9053377,316827517.1688375,28,2020-10-05
ICON Forge,51,139,1139135.4545720487,2795726.5916500166,316823080.9053377,316827517.1688375,29,2020-10-05
Catalyst,99,177,93954.63626562909,2728805.581221066,316823080.9053377,316827517.1688375,30,2020-10-05
ICONologist,86,179,1120502.9012665735,2262936.196622589,316823080.9053377,316827517.1688375,31,2020-10-05
ICONTROL,19,68,473299.1199615305,2157507.950391338,316823080.9053377,316827517.1688375,32,2020-10-05
Transform Group,10,52,465420.60106698045,1969626.7083449871,316823080.9053377,316827517.1688375,33,2020-10-05
Bara-Node,25,41,16508.561324619997,1890029.1382094698,316823080.9053377,316827517.1688375,34,2020-10-05
MouseBelt | Multi.io,106,189,1213446.7997675186,1826899.93629242,316823080.9053377,316827517.1688375,35,2020-10-05
MinerGate,91,160,1440459.0959190608,1826247.740562498,316823080.9053377,316827517.1688375,36,2020-10-05
Orangebloc,23,42,1769305.361898463,1778682.0857984633,316823080.9053377,316827517.1688375,37,2020-10-05
Midos,15,76,31739.916516134734,1742873.7950447144,316823080.9053377,316827517.1688375,38,2020-10-05
Iconoscope,56,95,28812.839801633843,1679646.3903016336,316823080.9053377,316827517.1688375,39,2020-10-05
Piconbello,87,170,110748.8502119748,1674390.664543386,316823080.9053377,316827517.1688375,40,2020-10-05
Hourglass,18,46,1570150.8139999998,1586350.6424789336,316823080.9053377,316827517.1688375,41,2020-10-05
Cardinal,27,47,1487195.1510259996,1552845.1955869214,316823080.9053377,316827517.1688375,42,2020-10-05
ICON Sweden,325,502,946955.2743229865,1534483.534959487,316823080.9053377,316827517.1688375,43,2020-10-05
DEMOS,72,135,927225.3658999999,1369152.5141118052,316823080.9053377,316827517.1688375,44,2020-10-05
OneLife 9to5,21,42,25761.539172880442,1222650.349234557,316823080.9053377,316827517.1688375,45,2020-10-05
Yudus Lab,6,18,188110.0519,1192102.4935995252,316823080.9053377,316827517.1688375,46,2020-10-05
ICON Labs,89,191,391715.84509027796,1083417.8492326234,316823080.9053377,316827517.1688375,47,2020-10-05
StakingTeam,96,184,464547.3903024207,1067209.550591221,316823080.9053377,316827517.1688375,48,2020-10-05
Chainode Tech,120,222,343601.61305391096,1057962.7041857599,316823080.9053377,316827517.1688375,49,2020-10-05
Silicon Valley ICON,69,148,220148.01117346832,1048936.3104976492,316823080.9053377,316827517.1688375,50,2020-10-05
Newroad,155,265,648570.6996524325,956801.020131064,316823080.9053377,316827517.1688375,51,2020-10-05
ICONNECT-Global,84,146,745139.0725596151,928674.9706432823,316823080.9053377,316827517.1688375,52,2020-10-05
Metanyx,66,152,637346.5383083664,923010.9420604977,316823080.9053377,316827517.1688375,53,2020-10-05
Blockchain at Berkeley,178,316,515546.55006798427,897354.8447898891,316823080.9053377,316827517.1688375,54,2020-10-05
ICX_Stratos,25,47,797283.1722210908,892591.7930743322,316823080.9053377,316827517.1688375,55,2020-10-05
ICX Australia,266,400,646355.88532343,865697.488247857,316823080.9053377,316827517.1688375,56,2020-10-05
HOLA ICON,39,104,244521.51682989261,779646.8502501571,316823080.9053377,316827517.1688375,57,2020-10-05
