P-Reps,prep_ranking,stagnant_votes_30_days,stagnant_votes_60_days,stagnant_votes_90_days
ICON Foundation,1,29309913.37698423,23276451.940744158,20834302.82581909
ICX_Station,2,9821938.60215076,6293943.081147973,4433963.818917325
VELIC,3,11358986.892602488,4773887.165326709,3915896.705556122
Ubik Capital,4,6475041.828944151,3435687.6521840016,2363612.483153908
ICONation,5,5286831.3284189245,2799475.6910273414,1996252.2067279583
RHIZOME,6,4914414.948677991,2059451.0020382453,1410533.1372385544
ICON Hyperconnect,7,1901472.1012977036,554126.301449478,380071.53980335535
ICONbet Community,8,1824053.6327829342,1162145.086826183,1014745.5622261832
Symmetry SLC,9,7955215.765261802,7644735.443778819,7573061.768215793
NEOPLY,10,7907722.754900439,2589.0514000000003,0.0
Mineable,11,2979619.685474231,1407346.3432377833,1056537.7612423564
Everstake,12,3188483.8770415103,2574359.8502032156,2269581.230346889
weBloc asia,13,3623154.616703743,2137583.3641998256,1668729.517129402
ICON DAO,14,2229193.875861302,1697878.1257668354,1500019.0186702372
Stakin,15,3723057.930993354,1066257.3314249036,776064.2477080583
ReliantNode,16,1909150.1891614061,1452822.1186583093,1207198.9575458907
block42,17,1726343.9838013265,517407.8713072696,241702.02374983992
iBriz - ICONOsphere,18,2037298.40715869,1712229.4425168685,1593226.8168168683
ICONVIET,19,1441026.9878811282,877109.7408016941,801744.4001156021
ICONPLUS,20,925023.1381771289,406287.2984146945,274803.9525745354
Citadel.one,21,3217928.360684979,2264825.8493746174,1974416.4105489843
Blockmove,22,1899110.0301692667,563895.8145864564,532613.9459701071
PARROT9,23,1687855.2038527182,1384823.0929848552,1368405.2630318434
Icon Pilipinas,24,499886.4515600862,255193.54844293592,92521.27096937306
InterBlock,25,1893067.2268638904,1834146.787999999,1807931.558799999
Sharpn,26,889701.8427357763,604382.8963524866,442450.7901888718
Insight,27,280290.7365820584,169694.8610752781,128592.59077527821
Deblock with STAYGE,28,1232174.9513561602,1108682.7720980134,973686.4783980135
ICON Forge,29,1139135.4545720487,1051638.2082,1046435.1721
Catalyst,30,93954.63626562909,43885.40305723204,33254.81060957334
ICONologist,31,1120502.9012665735,114721.29960442302,38772.188404423
ICONTROL,32,473299.1199615305,405612.34270000004,403450.4011
Transform Group,33,465420.60106698045,0.0,0.0
Bara-Node,34,16508.561324619997,15206.416898,15195.492198
MouseBelt | Multi.io,35,1213446.7997675186,997166.9075675184,598281.2330675184
MinerGate,36,1440459.0959190608,1412764.5116747173,1197749.8920747172
Orangebloc,37,1769305.361898463,1765129.797,1434409.1997999998
Midos,38,31739.916516134734,16469.769,13160.004400000002
Iconoscope,39,28812.839801633843,13755.161575440308,11468.868875440308
Piconbello,40,110748.8502119748,57580.96256815653,48711.12486815652
Hourglass,41,1570150.8139999998,1565384.9495,1236965.5858
Cardinal,42,1487195.1510259996,1485648.0422999999,1196292.5814
ICON Sweden,43,946955.2743229865,666315.7848333904,611489.8037264509
DEMOS,44,927225.3658999999,923582.2021999998,886079.6119999998
OneLife 9to5,45,25761.539172880442,11347.5069,11299.860999999999
Yudus Lab,46,188110.0519,184015.5392,15.9992
