P-Reps,stagnant_voter_count,total_voter_count,stagnant_votes,prep_total_votes,included_network_total_votes,current_network_total_votes,prep_ranking,extraction_date
ICON Foundation,2132,6013,23276451.940744158,48569012.83740116,314853454.1969927,316827517.1688375,1,2020-10-05
ICX_Station,1789,4903,6293943.081147973,20231695.91675543,314853454.1969927,316827517.1688375,2,2020-10-05
VELIC,1468,3908,4773887.165326709,17868119.241280545,314853454.1969927,316827517.1688375,3,2020-10-05
Ubik Capital,1425,3777,3435687.6521840016,14416613.613845319,314853454.1969927,316827517.1688375,4,2020-10-05
ICONation,1403,4073,2799475.6910273414,14130040.661350684,314853454.1969927,316827517.1688375,5,2020-10-05
RHIZOME,1049,3130,2059451.0020382453,12089725.51622882,314853454.1969927,316827517.1688375,6,2020-10-05
ICON Hyperconnect,227,1347,554126.301449478,11569146.772551151,314853454.1969927,316827517.1688375,7,2020-10-05
ICONbet Community,106,631,1162145.086826183,9155189.643663267,314853454.1969927,316827517.1688375,8,2020-10-05
Symmetry SLC,331,949,7644735.443778819,9016061.449493783,314853454.1969927,316827517.1688375,9,2020-10-05
NEOPLY,4,228,2589.0514000000003,8511408.673066685,314853454.1969927,316827517.1688375,10,2020-10-05
Mineable,493,1733,1407346.3432377833,7136273.428577835,314853454.1969927,316827517.1688375,11,2020-10-05
Everstake,319,1039,2574359.8502032156,6445010.949659316,314853454.1969927,316827517.1688375,12,2020-10-05
weBloc asia,497,1486,2137583.3641998256,6347748.383749941,314853454.1969927,316827517.1688375,13,2020-10-05
ICON DAO,214,907,1697878.1257668354,6323041.349775211,314853454.1969927,316827517.1688375,14,2020-10-05
Stakin,438,1137,1066257.3314249036,5959891.15344757,314853454.1969927,316827517.1688375,15,2020-10-05
ReliantNode,118,567,1452822.1186583093,5367066.882102709,314853454.1969927,316827517.1688375,16,2020-10-05
block42,193,749,517407.8713072696,5267404.7899906775,314853454.1969927,316827517.1688375,17,2020-10-05
iBriz - ICONOsphere,95,357,1712229.4425168685,5203692.357727777,314853454.1969927,316827517.1688375,18,2020-10-05
ICONVIET,312,993,877109.7408016941,5201283.101642944,314853454.1969927,316827517.1688375,19,2020-10-05
ICONPLUS,62,461,406287.2984146945,5044949.32627883,314853454.1969927,316827517.1688375,20,2020-10-05
Citadel.one,397,1040,2264825.8493746174,4408987.338210438,314853454.1969927,316827517.1688375,21,2020-10-05
Blockmove,121,465,563895.8145864564,4255934.368319014,314853454.1969927,316827517.1688375,22,2020-10-05
PARROT9,66,303,1384823.0929848552,4219886.205615968,314853454.1969927,316827517.1688375,23,2020-10-05
Icon Pilipinas,37,303,255193.54844293592,3639549.7738873633,314853454.1969927,316827517.1688375,24,2020-10-05
InterBlock,108,288,1834146.787999999,3521487.4466323424,314853454.1969927,316827517.1688375,25,2020-10-05
Sharpn,157,501,604382.8963524866,3086664.512187106,314853454.1969927,316827517.1688375,26,2020-10-05
Insight,143,396,169694.8610752781,3051970.876221297,314853454.1969927,316827517.1688375,27,2020-10-05
Deblock with STAYGE,190,418,1108682.7720980134,3008808.382585235,314853454.1969927,316827517.1688375,28,2020-10-05
ICON Forge,19,139,1051638.2082,2795726.5916500166,314853454.1969927,316827517.1688375,29,2020-10-05
Catalyst,67,177,43885.40305723204,2728805.581221066,314853454.1969927,316827517.1688375,30,2020-10-05
ICONologist,49,179,114721.29960442302,2262936.196622589,314853454.1969927,316827517.1688375,31,2020-10-05
ICONTROL,9,68,405612.34270000004,2157507.950391338,314853454.1969927,316827517.1688375,32,2020-10-05
Bara-Node,13,41,15206.416898,1890029.1382094698,314853454.1969927,316827517.1688375,34,2020-10-05
MouseBelt | Multi.io,73,189,997166.9075675184,1826899.93629242,314853454.1969927,316827517.1688375,35,2020-10-05
MinerGate,62,160,1412764.5116747173,1826247.740562498,314853454.1969927,316827517.1688375,36,2020-10-05
Orangebloc,17,42,1765129.797,1778682.0857984633,314853454.1969927,316827517.1688375,37,2020-10-05
Midos,10,76,16469.769,1742873.7950447144,314853454.1969927,316827517.1688375,38,2020-10-05
Iconoscope,38,95,13755.161575440308,1679646.3903016336,314853454.1969927,316827517.1688375,39,2020-10-05
Piconbello,55,170,57580.96256815653,1674390.664543386,314853454.1969927,316827517.1688375,40,2020-10-05
Hourglass,12,46,1565384.9495,1586350.6424789336,314853454.1969927,316827517.1688375,41,2020-10-05
Cardinal,18,47,1485648.0422999999,1552845.1955869214,314853454.1969927,316827517.1688375,42,2020-10-05
ICON Sweden,231,502,666315.7848333904,1534483.534959487,314853454.1969927,316827517.1688375,43,2020-10-05
DEMOS,54,135,923582.2021999998,1369152.5141118052,314853454.1969927,316827517.1688375,44,2020-10-05
OneLife 9to5,12,42,11347.5069,1222650.349234557,314853454.1969927,316827517.1688375,45,2020-10-05
Yudus Lab,2,18,184015.5392,1192102.4935995252,314853454.1969927,316827517.1688375,46,2020-10-05
ICON Labs,53,191,139100.3980339997,1083417.8492326234,314853454.1969927,316827517.1688375,47,2020-10-05
StakingTeam,61,184,128159.09329193698,1067209.550591221,314853454.1969927,316827517.1688375,48,2020-10-05
Chainode Tech,88,222,202103.4325882976,1057962.7041857599,314853454.1969927,316827517.1688375,49,2020-10-05
Silicon Valley ICON,39,148,150237.31208298728,1048936.3104976492,314853454.1969927,316827517.1688375,50,2020-10-05
