IRC Token,Amount,No. of Transactions
BALN,756047.8486288396,3221
sICX,5379380.168949934,2923
IWIN,131187.5756,2179
bnUSD,2085110.0970856252,2062
PGT,3000.0,2031
METX,372678.95784214465,716
USDS,2358642.3216834613,598
IUSDC,6729321.860121,567
oICX,1483778.2355880742,378
oUSDS,802693.3112350923,275
dUSDS,748434.4429028861,268
oIUSDC,2217598.666972,197
UP,820.2317777164611,176
dIUSDC,1473380.1673360001,152
SEED,1502.518046,88
TAP,709012.0986469649,86
ACT,2400.0,24
OMM,1700000.0,12
LDX,1501086.25,6
HGC,48000.0,5
uTAP,138.07719415774937,3
IAM,90.0,2
uMETX,50.0580205439121,2
uSEED,1.3785268152300001e-05,2
IETH,1.0248391959e-06,1
ICXIOU,2.0,1
uUP,0.0001445314138609,1
