IRC Token,Amount,No. of Transactions
OMM,1865169.754753394,7001
BALN,753236.5767478409,6764
sICX,3560493.234496176,6742
bnUSD,5436765.350335093,6578
LDX,590522.3509604569,3229
IUSDC,3970048.406591,2201
USDS,1149485.5938128287,2147
METX,2179723.3956584376,2085
CFT,2279266.4554486233,739
IUSDT,25662.739537,703
GBET,115653.0,328
obnUSD,927833.6680068763,234
oIUSDC,2173275.620757,226
oICX,525058.3818963408,217
oUSDS,393048.2458632382,217
UP,6.582562080847778,129
dIUSDC,148811.670981,107
TAP,2015558.5802567108,69
SEED,232.04057999999998,66
dbnUSD,179508.79381519044,55
dUSDS,72820.42352048267,45
ICXIOU,15069.25870961,28
ACT,500.0,5
