IRC Token,holders,liquidity,Amount,No. of Transactions,Price in USD,Value Transferred in USD
bnUSD,9955.0,852505.218192031,140180.3275601822,893.0,0.9854720761922422,138143.79844204133
BST,368.0,907.4017515507657,145.64287477317674,670.0,1.1129408118873276,162.09189929566372
FRMD,949.0,18147.06777202181,32208.62568364767,565.0,0.011521333634197986,371.086322400303
sICX,12140.0,850995.5112050094,395517.9112713108,555.0,0.3346371670657627,132354.99335159914
$unknown,,,3005.7527375224126,155.0,,
BALN,16476.0,272672.0610002996,154474.53097725616,123.0,0.10451572646010203,16145.017824671462
USDS,5450.0,5681.152153348436,3229.5673450303407,114.0,0.8734695823744204,2820.9288401137173
CODE,253.0,0.9963028426695321,550223.5976300952,113.0,9.516431999952255e-06,5.236165451615891
GBET,2907.0,6987.781471182888,25264.999215070835,105.0,0.002624629864816577,66.3112714744423
CROWN,1252.0,10207.740750877321,126838.11986869674,74.0,0.0032902477593206767,417.32883969442685
IUSDC,5604.0,40513.48821347977,8398.350073,66.0,1.0503247221155305,8820.99470665267
OMM,13904.0,22242.009659751933,366138.5215820639,62.0,0.003426159243540861,1254.4488801347734
FIN,2270.0,9311.137668092098,5953.7826679496675,56.0,0.056675126555603604,337.4313861906067
BTCB,159.0,18498.24493651058,0.017013377711761632,39.0,44582.46576331148,758.4983293528995
CFT,19422.0,65763.38068676546,187971.3006023189,34.0,0.004740791288749932,891.1327044304683
ETH,148.0,2208.0609944716066,0.6731967494337341,15.0,2388.658280273735,1608.0369897882517
sARCH,58.0,58338.50780201916,40008.63276006232,14.0,0.2334393674400725,9339.589923651109
METX,11419.0,1151.7543697274748,1440849.4326233189,10.0,5.577357768023604e-05,80.36132775594069
oIUSDC,5604.0,40513.48821347977,3198.300892,8.0,1.0503247221155305,3359.254495631754
VOID,158.0,766.6977707870824,1186.7254466459372,7.0,0.021046740321774064,24.97670230879838
oUSDS,5450.0,5681.152153348436,1156.086668948759,6.0,0.8734695823744204,1009.8065399153074
XCROWN,1252.0,10207.740750877321,7647.257598346994,4.0,0.0032902477593206767,25.161372177909218
oICX,12140.0,850995.5112050094,7126.695274106017,4.0,0.3346371670657627,2384.8571170677965
dUSDS,5450.0,5681.152153348436,319.3129924802979,2.0,0.8734695823744204,278.9101861884923
finMICX,12140.0,850995.5112050094,0.001822360870523511,2.0,0.3346371670657627,0.0006098296790834849
obnUSD,9955.0,852505.218192031,3018.2317802305197,2.0,0.9854720761922422,2974.3831388931776
NPT,465.0,0.9930414652112489,82.875,1.0,0.00019177634455494708,0.01589346455499124
finIUSDC,5604.0,40513.48821347977,2358.993243,1.0,1.0503247221155305,2477.708922426389
ICX,,,,,0.2714,
