IRC Token,Amount,No. of Transactions
bnUSD,3031889.583418148,4935
sICX,3492328.422432075,4604
METX,19297310.974097013,3316
OMM,1711638.1303840391,2963
BALN,429394.1165693102,2370
USDS,869963.256384492,2248
IUSDC,2648326.245404,2046
CFT,297839.79350117134,677
IUSDT,20.983878999999998,496
oIUSDC,697241.01071,248
oICX,1207891.89278468,220
GBET,33180.0,163
obnUSD,708964.7563618737,144
oUSDS,246142.09188883958,125
UP,4.713667770600502,95
dIUSDC,781169.267813,90
dbnUSD,160132.15180882713,71
TAP,655592.7577406117,50
dUSDS,79207.51152477562,46
ICXIOU,5410.957144,5
ACT,400.0,4
LDX,1750.0,3
IAM,144.16740106394076,1
HGC,2000.0,1
