delegator,biweek,how_many_prep_voted,raffle_tickets,prize_type,turn,winnings ($ICX),tx
hx5f17ec6cd602e7edcf521360467ba093e9ec632c,2021-07 & 2021-08,45,4,grand_prize,grand,200,https://tracker.icon.foundation/transaction/0x03ff87287ed32bae3dc72d57578e85064829052e8063f5999234ae76cb6427d5
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-07 & 2021-08,100,10,small_prize,first,32,https://tracker.icon.foundation/transaction/0x963bc5754f6701e71857734ed2db741b24834210a3c5468061d1f5f191c541e6
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-07 & 2021-08,100,10,small_prize,first,30,https://tracker.icon.foundation/transaction/0x2abb3294f9fd2175647830aeaa12f62cea89cca18d49b243e177a2892e4fd526
hxf9ded7784b54f15cbdf265e05bb339fe3124bf5c,2021-07 & 2021-08,99,9,small_prize,first,28,https://tracker.icon.foundation/transaction/0xb300fd1b4c460c1441e0d87d7bee93c806a3549c788d365bfa94b0e9929469c8
hx8e668003439f2c9cb6a0bea0964b6f7caaf45738,2021-07 & 2021-08,77,7,small_prize,first,26,https://tracker.icon.foundation/transaction/0xcaad067b828f94eeff6f768edfb8da1ecde7f9efcef633cf14752505fae65fbd
hxdd2f840e4c2ace04e937aff9590a522523fc6a70,2021-07 & 2021-08,60,6,small_prize,first,22,https://tracker.icon.foundation/transaction/0x1ec6531c651a745347f9488c31891fab40b78d4bc73265b309ae58c0272ecf54
hxd76608230d7d7616c21f1f4369a2e01ff24d828e,2021-07 & 2021-08,59,5,small_prize,first,18,https://tracker.icon.foundation/transaction/0x2d644727b1432e5e29a989e65361e90c395e75b5caa124df0cc007e2c1029fc8
hxc9e7e71df091699cc86a783b304f7d563f9dd363,2021-07 & 2021-08,45,4,small_prize,first,14,https://tracker.icon.foundation/transaction/0x89c24983e5679243254d80d2c165b131114bbc912bf72c9165057a5ee958c01f
hxd2b801100a49fb8cdca2df399e14f06b96acafa8,2021-07 & 2021-08,31,3,small_prize,first,12,https://tracker.icon.foundation/transaction/0x20195a1ff555958262e89c46d08ed90c4093534298954f3544bde825595a09e3
hxbd80528745cf75e700c37f6235ffa4c6c16ef3b1,2021-07 & 2021-08,20,2,small_prize,first,10,https://tracker.icon.foundation/transaction/0xf9977d693ba0b6c9798f2e26a7a22f9d5c5f47e0f213392720292eb93b46434c
hxa958a5f7df4a4188fa21e3ecee692cf9d156e74e,2021-07 & 2021-08,19,1,small_prize,first,8,https://tracker.icon.foundation/transaction/0x0941e99ba9df38c1bd9aa49ebce39561e83925e21592283d51fc6855eea66ffb
