biweek,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,Qualified
,,,,,min,max,median,mean,min,max,median,mean,
2021-07 & 2021-08,hxa86f80d65c1916326947e7ecb7ce0d8905c89f4c,10.425966310005693,59,5,0.0,0.17671129339000105,0.1767112933899442,0.1681607469355757,0.00000%,1.69492%,1.69492%,1.61290%,not_enough
2021-07 & 2021-08,hx6941e235b1ce51efdb8139d46a34335d2c0c5541,206.77700000000016,59,5,3.5046949152542366,3.5046949152542366,3.5046949152542366,3.50469491525424,1.69492%,1.69492%,1.69492%,1.69492%,yes
2021-07 & 2021-08,hx97eec3c626a224841e5c6c55c8f688184b8a837c,223.00845526000018,59,5,0.0,3.7798043264406775,3.779804326440677,3.4308993116923103,0.00000%,1.69492%,1.69492%,1.53846%,yes
2021-07 & 2021-08,hx55df89bae4a02bdcea7947c64041a754699dc615,358.0305799999999,59,5,0.0,6.068314915254236,6.068314915254236,5.869353770491801,0.00000%,1.69492%,1.69492%,1.63934%,yes
2021-07 & 2021-08,hx54ecc12f1160dcb4b0cefd70f5bbd1559a30df55,50.24604742000005,59,5,0.8516279223728812,0.8516279223728812,0.8516279223728812,0.8516279223728822,1.69492%,1.69492%,1.69492%,1.69492%,not_enough
2021-07 & 2021-08,hxe13dffb42a8d4301072692d1cb29cf40579e4b59,759.5273726500006,59,5,0.0,12.873345299152545,12.873345299152541,11.86761519765626,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hxe20d9f59df718f550dc382bb619ca3484ff26558,815.5897829099999,59,5,0.0,13.823555642542376,13.823555642542372,12.743590357968749,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hx3ff7b7d108fa047834f7764e5943866b92480ad6,758.0718426000005,59,5,0.0,12.848675298305086,12.848675298305084,12.427407255737714,0.00000%,1.69492%,1.69492%,1.63934%,yes
2021-07 & 2021-08,hx06312df7c1281a95143586c8bd69b117cae80697,28117.085554469973,59,5,0.0,476.560772109661,476.560772109661,439.32946178859333,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hx54bcc7a4244a07cd0c9c4dbcb83e13f43c2b373b,1199.4984041399982,59,5,0.0,20.3304814261017,20.330481426101695,19.34674845387094,0.00000%,1.69492%,1.69492%,1.61290%,yes
2021-07 & 2021-08,hx411deeb9a46efccb8e9d7dbcb66483276235d90b,833011.6622924992,59,5,14118.841733771185,14118.841733771185,14118.841733771185,14118.841733771173,1.69492%,1.69492%,1.69492%,1.69492%,yes
2021-07 & 2021-08,hx3db65b5f49357c48dd12e811c6540a715318f2b1,26.124539129999707,59,5,0.0,0.4427887988135662,0.442788798813552,0.4354089854999951,0.00000%,1.69492%,1.69492%,1.66667%,not_enough
2021-07 & 2021-08,hx413ac0e53bbe786ce52b6ebc794776e781fdc51f,318.7048375000004,59,5,5.40177690677966,5.401776906779661,5.401776906779661,5.401776906779667,1.69492%,1.69492%,1.69492%,1.69492%,yes
2021-07 & 2021-08,hxe772f75fa2c90fd95ba8fca65906b5b48cdf30ea,634.5341981399996,59,5,0.0,10.754816917627117,10.754816917627117,9.914596845937494,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hx4174aaa61f24d3ff91852b6ee95e9d9fb0b77111,10.952076700000015,59,5,0.1856284186440678,0.18562841864406784,0.1856284186440678,0.18562841864406807,1.69492%,1.69492%,1.69492%,1.69492%,not_enough
2021-07 & 2021-08,hxe84aa2a782e792b6d1d78966611fe2c7d594caf3,7486.139476550004,59,5,0.0,126.88371994152543,126.88371994152543,116.9709293210938,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hxe8df691bcb2f08f71257f7ab626d47089a42e0be,1368.3975448699996,59,5,0.0,23.193178726610174,23.19317872661017,16.486717408072284,0.00000%,1.69492%,1.69492%,1.20482%,yes
2021-07 & 2021-08,hxe95e3276527c54b912f13c83f058a8e74c9d0540,223.91999999999993,59,5,3.795254237288136,3.795254237288136,3.795254237288136,3.7952542372881344,1.69492%,1.69492%,1.69492%,1.69492%,yes
2021-07 & 2021-08,hxe973947b229f0c4633ae6ca5b235847495133705,5.1307274900031405,59,5,0.0,0.08696148288152017,0.08696148288140648,0.08016761703129907,0.00000%,1.69492%,1.69492%,1.56250%,not_enough
2021-07 & 2021-08,hx76853e0499cbbadd34ab1972abee043f222dd702,1250.5271296300016,59,5,0.0,21.195375078474576,21.195375078474576,20.500444748032812,0.00000%,1.69492%,1.69492%,1.63934%,yes
2021-07 & 2021-08,hxeac7c2476bb4c361ecac225af248e7bdb41bbd55,320.76842473000016,59,5,5.436752961525424,5.436752961525424,5.436752961525424,5.436752961525427,1.69492%,1.69492%,1.69492%,1.69492%,yes
2021-07 & 2021-08,hx55f17afa654e03edbc7099096783e11c37ab93f5,565.6578506000006,59,5,0.0,9.587421196610169,9.587421196610169,8.83840391562501,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hx43433f4b6fc0b1637c0d343f7b5cb809d10312c3,1006.999999999999,59,5,17.06779661016949,17.06779661016949,17.06779661016949,17.067796610169474,1.69492%,1.69492%,1.69492%,1.69492%,yes
2021-07 & 2021-08,hxd5e98da2c300e068d27cdbe5d6578f8a1b009a16,122.40654999999997,59,5,2.0746872881355927,2.0746872881355927,2.0746872881355927,2.0746872881355927,1.69492%,1.69492%,1.69492%,1.69492%,yes
2021-07 & 2021-08,hxd5fb71581d2a350b72092e3bd4df62d2dd817d5a,1040.093866650001,59,5,0.0,17.62870960423729,17.628709604237287,16.251466666406266,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hxd6182d21c01ba50091ce76670b39542fe3e9870f,245.99999999999977,59,5,4.169491525423728,4.169491525423728,4.169491525423728,4.169491525423725,1.69492%,1.69492%,1.69492%,1.69492%,yes
2021-07 & 2021-08,hxd68a52bf105106f4f33b99459e2f34035d0e9be3,778.9203459999994,59,5,13.202039762711864,13.202039762711864,13.202039762711864,13.202039762711856,1.69492%,1.69492%,1.69492%,1.69492%,yes
