IRC Token,Amount,No. of Transactions
sICX,5677626.974340486,6984
bnUSD,3341490.92948277,6735
OMM,2942381.300806364,3710
BALN,735280.6731014857,3263
IUSDC,5775510.087862,2615
USDS,1616316.5950383495,1799
METX,1157771.8537303396,1627
CFT,71575.28057670416,555
IUSDT,11219.086089,527
GBET,105150.0,296
oUSDS,494888.1398632215,290
oIUSDC,1985837.426857,273
oICX,1390799.611937269,217
dIUSDC,615752.70021,178
LDX,14935.625,142
IWIN,335.5575,133
UP,4.757792092537589,89
dUSDS,250664.12173849667,53
TAP,1196915.5109426111,49
SEED,266.124057,46
ACT,500.0,5
ICXIOU,908.8948378,3
CHKN,2.0,2
HGC,750.0,1
IORC,0.999,1
