IRC Token,Amount,No. of Transactions
bnUSD,2448322.7683449867,3567
sICX,3662679.3868395207,3147
BALN,571789.0398159018,2109
OMM,2288087.740446107,1700
GBET,1384172.025008196,1213
METX,1048021.2567798814,1062
IUSDC,488525.306199,679
USDS,361845.49359776714,546
oICX,253412.8201712324,139
obnUSD,428139.97828136326,132
oIUSDC,141473.289235,86
oOMM,54709.588609581166,83
CFT,161861.9365489361,62
dbnUSD,25519.998823874746,62
oUSDS,101400.82597469905,58
TAP,1674287.9503415618,56
dUSDS,25393.608922558975,53
dIUSDC,29548.632097,38
oBALN,99474.74021157165,37
IUSDT,237.29997,35
UP,4.132151197035604,35
dBALN,5104.377447661611,13
finICX,859.3823275158431,7
LDX,3250.0,3
HGC,7500.0,1
SEED,11.055569,1
