IRC Token,Amount,No. of Transactions
sICX,11452010.862033121,4895
bnUSD,4974917.9099605,4093
IWIN,541377.126,3771
BALN,1013035.7943565224,2795
OMM,3427667.7005045605,1891
METX,1575675.6252387734,1217
IUSDC,1934878.765248,1030
GBET,810011.9878398242,862
finICX,1884159.922617259,548
USDS,254007.8396336662,492
FIN,18162.49450834828,422
oICX,1280198.1187215266,221
CFT,1461394.0969704182,186
obnUSD,417521.8155829753,140
oIUSDC,453810.638829,131
oOMM,174163.93117798702,110
dbnUSD,184046.87435055443,79
oUSDS,38124.30441915122,62
TAP,1135955.786227546,60
IUSDT,32213.197451,49
dIUSDC,99907.474389,43
UP,5.663187442371824,32
oBALN,74732.26203334022,23
dBALN,44421.699429388966,14
dUSDS,712.0970526079494,13
LDX,4100.0,7
HGC,187000.0,6
IAM,11.760383872378988,1
SEED,14.767901,1
