delegator,week,how_many_prep_voted,raffle_tickets
hx67b63aeec61162dd93a0906e1900bdcdcd9c0cba,2021-05,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05,100,10
hx10d24cae4bcc94bb8e8249c94dc23a0375958c0d,2021-05,100,10
hx10d24cae4bcc94bb8e8249c94dc23a0375958c0d,2021-05,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05,100,10
hx10d24cae4bcc94bb8e8249c94dc23a0375958c0d,2021-05,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05,100,10
hx67b63aeec61162dd93a0906e1900bdcdcd9c0cba,2021-05,100,10
hx67b63aeec61162dd93a0906e1900bdcdcd9c0cba,2021-05,100,10
hx67b63aeec61162dd93a0906e1900bdcdcd9c0cba,2021-05,100,10
hx67b63aeec61162dd93a0906e1900bdcdcd9c0cba,2021-05,100,10
hx67b63aeec61162dd93a0906e1900bdcdcd9c0cba,2021-05,100,10
hx67b63aeec61162dd93a0906e1900bdcdcd9c0cba,2021-05,100,10
hx10d24cae4bcc94bb8e8249c94dc23a0375958c0d,2021-05,100,10
hx10d24cae4bcc94bb8e8249c94dc23a0375958c0d,2021-05,100,10
hx5ca7bf0204fe5a074ee9fc8eef5f1379f4ba2ca5,2021-05,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-05,100,10
hx5ca7bf0204fe5a074ee9fc8eef5f1379f4ba2ca5,2021-05,100,10
hx5ca7bf0204fe5a074ee9fc8eef5f1379f4ba2ca5,2021-05,100,10
hx5ca7bf0204fe5a074ee9fc8eef5f1379f4ba2ca5,2021-05,100,10
hx5ca7bf0204fe5a074ee9fc8eef5f1379f4ba2ca5,2021-05,100,10
hx5ca7bf0204fe5a074ee9fc8eef5f1379f4ba2ca5,2021-05,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-05,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-05,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-05,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-05,100,10
hx10d24cae4bcc94bb8e8249c94dc23a0375958c0d,2021-05,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-05,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-05,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-05,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-05,100,10
