IRC Token,holders,liquidity,Amount,No. of Transactions,Price in USD,Value Transferred in USD
sICX,12137.0,789006.4559140853,382091.9440811327,1161.0,0.3038211295864488,116087.60605661197
bnUSD,9950.0,807289.5159165873,151653.8632107589,1020.0,0.9816432187686652,148869.98642091223
BST,364.0,731.8652291591764,439.71499906666264,695.0,1.1082898274760016,487.3316604542017
FRMD,947.0,15547.309998495097,23149.94361208485,569.0,0.009475907270790897,219.36671899215412
BALN,16470.0,244701.32377024897,215584.3155023255,266.0,0.087476445557006,18858.549637983582
$unknown,,,1814.5003942325422,251.0,,
CFT,19421.0,51488.393910011684,4251647.912550929,179.0,0.003027381195888949,12871.358941997185
sARCH,24.0,47851.26777570641,540342.1905471829,149.0,0.184332043745537,99602.38030550261
GBET,2905.0,7309.333697328012,344755.7328333405,147.0,0.002881791324419187,993.5140799228997
CODE,252.0,0.18032176243991468,555958.030097323,116.0,8.423159352031034e-06,4.682923080551017
CROWN,1250.0,11744.067797550118,119089.50878939731,62.0,0.0036043595422647415,429.241407388685
FIN,2268.0,9460.619279989363,3359.75065246453,49.0,0.05923282541306566,199.00752382886495
OMM,13903.0,20137.260194907594,390183.8074197268,30.0,0.0029081151528808215,1134.6994427660397
IUSDC,5603.0,39333.50691830195,346.57793,29.0,1.0297858190087894,356.90103749542084
BTCB,159.0,15132.810152136792,0.00480710539272612,27.0,41996.09068687974,201.87963401431477
USDS,5449.0,5361.892755547477,248.2796290361234,22.0,0.8675261129310649,215.38906149767487
VOID,158.0,627.4374291405404,1383.5200821534936,7.0,0.01609082042805109,22.261973200534356
NPT,465.0,0.9920349256505818,297.375,5.0,0.00019103123538518463,0.05680791362266928
finMICX,12137.0,789006.4559140853,401.83941891838106,4.0,0.3038211295864488,122.08730616814474
oIUSDC,5603.0,39333.50691830195,4.343317,4.0,1.0297858190087894,4.4726862540597985
oUSDS,5449.0,5361.892755547477,1.804260144284959,4.0,0.8675261129310649,1.5652427896879728
dUSDS,5449.0,5361.892755547477,107.48339250679228,2.0,0.8675261129310649,93.24464970606145
IDOGE,1768.0,73.71896746323593,7486440.067317473,2.0,2.614484574264846e-07,1.9573182072159807
ICX,,,,,0.246800005,
