IRC Token,Amount,No. of Transactions
sICX,4488455.957412701,3748
bnUSD,1859923.7847217626,3039
BALN,542740.8417375842,2464
GBET,534157.3974795851,1904
OMM,1690478.4498930539,1423
METX,4718989.191765072,1384
IWIN,218257.6705,1311
IUSDC,277990.866699,544
FIN,15676.006941352836,515
CFT,1818900.6748160087,356
USDS,179721.5442118886,295
LDX,40548.80114987224,192
finICX,650750.7540468887,140
obnUSD,338185.5281114957,104
oOMM,39567.14963839673,103
oICX,927964.0393068352,95
oIUSDC,41790.609976,78
TAP,626267.4153448622,67
dbnUSD,152143.83490331503,44
dIUSDC,22821.479298,43
UP,4.979119015939992,37
IUSDT,4.582785,37
oUSDS,61435.44172938459,19
IAM,191.8720002542438,18
oBALN,32326.41798289239,15
dBALN,713.0203727111797,8
dUSDS,7550.3731114378415,8
HGC,410500.0,7
IETH,0.0020115764771588,4
CHKN,2.0,1
