IRC Token,Amount,No. of Transactions
OMM,2028158.3728937355,8153
sICX,4372690.009197973,7627
bnUSD,5251856.815811761,7444
IUSDC,5370441.764035,5876
BALN,625206.6572890286,3314
USDS,2874376.045087239,2602
oIUSDC,1713730.239658,2503
CFT,327410.66803244944,885
PGT,3000.0,649
METX,14664340.465491029,427
oUSDS,931721.7571820332,376
oICX,400393.3046803719,262
dIUSDC,1252312.766907,177
dUSDS,629920.8696666994,93
UP,4.429793275691723,65
TAP,975087.5014632082,55
LDX,3913.0,45
SEED,213.381879,31
EPX,55547.43,15
ICXIOU,8493.0550894,12
uMETX,0.8951865816989222,2
ACT,10.0,1
HGC,2500.0,1
uUP,2.34318849036e-05,1
