IRC Token,holders,liquidity,Amount,No. of Transactions,Price in USD,Value Transferred in USD
bnUSD,9956.0,769148.1771582107,104491.90718714599,738.0,0.9353987502789654,97741.599397122
CROWN,1268.0,9740.910492145078,33034.65856216669,694.0,0.003150728826045769,104.08325099039826
BST,377.0,853.8214617765568,1068.898855496578,694.0,1.036441879029659,1107.8515382835253
sICX,12140.0,759243.0575281926,345641.2835595202,583.0,0.2965101219280623,102486.13913160529
BALN,16479.0,227923.97929177934,402900.99138914054,214.0,0.08552211968953044,34456.94680861255
$unknown,,,1516.4168536308687,208.0,,
FRMD,951.0,13987.218560318035,33852.91971314111,206.0,0.007328458450739257,248.08971555396658
GBET,2908.0,5892.357119794939,1118639.195074036,146.0,0.0019598983116183894,2192.419069735757
CODE,253.0,2.4352925563712784,583053.5869206571,115.0,2.8832336208587223e-05,16.81079704571912
IUSDC,5605.0,20387.890106070692,29019.14347,79.0,0.4302732951060684,12486.162481992647
CFT,19423.0,51603.1709384123,5274887.9215259785,73.0,0.0031677849393925693,16709.71051479377
FIN,2270.0,8944.62172118653,8432.561421653243,67.0,0.05542067551499435,467.3382503097038
OMM,13906.0,16839.75127205169,1223243.3830630616,53.0,0.002894878729473628,3541.141250598618
BTCB,159.0,17029.84820567572,0.013844414167024251,46.0,41315.95824522093,571.9952376543191
USDS,5451.0,4774.17267127492,281.38227753865186,41.0,0.7213557330441314,202.97671907952144
IAM,4066.0,9.619258711588447,844.5263461495902,10.0,0.010806287019733114,9.12619409221895
VOID,158.0,732.7891697012689,1177.9339437241788,7.0,0.019032441817510876,22.418959248801563
METX,11420.0,915.3023089883923,1396809.9239234077,6.0,4.537900403558471e-05,63.38584317466509
sARCH,60.0,57301.39844136893,13806.067988880626,5.0,0.23206946071979537,3203.9667528403565
XCROWN,1268.0,9740.910492145078,3368.2637756615873,4.0,0.003150728826045769,10.612485771702723
finMICX,12140.0,759243.0575281926,4424.31751093342,4.0,0.2965101219280623,1311.8549246153295
CLAW,542.0,1288.4233030300704,1224868.651957509,2.0,3.664453532700046e-05,44.88474258759237
oIUSDC,5605.0,20387.890106070692,2.20808,2.0,0.4302732951060684,0.9500778574578074
oUSDS,5451.0,4774.17267127492,0.8321375670115234,2.0,0.7213557330441314,0.6002672046451575
finOMM,2270.0,8944.62172118653,1.5048516354921204,1.0,0.05542067551499435,0.08339989418881735
ICX,,,,,0.24009192,
