validator_name,sum_votes_by_prep,prep_ranking,60_days,90_days
ICON Foundation,49031645.26771052,1,25971664.07222837,22420680.72758944
ICX_Station,20584555.91530126,2,7940347.84601383,5793059.799395415
VELIC,18857961.89423002,3,5773348.62425531,4346714.898386207
ICONation,14674381.881312063,4,3983907.2439137585,2314829.5877423855
Ubik Capital,14327589.191032704,5,5267057.608689149,3080001.664869009
RHIZOME,12620991.010477083,6,3448464.1971649574,1859594.7867043468
ICON Hyperconnect,12317383.828236952,7,1219723.7703423332,485340.86392308795
ICONbet Community,10186988.925225975,8,1322366.0113649466,1070942.0605261836
Symmetry SLC,9025859.03888017,9,7844398.341539931,7617416.882271281
NEOPLY,8612525.8445809,10,7895969.8225722145,3138.7965000000004
Stakin,7886809.537751622,11,2790355.4754870953,922109.6417647094
Mineable,7155087.970399975,12,2162228.7954981406,1356520.0807948092
weBloc asia,6430959.231433701,13,2990920.009690712,1977485.9377457614
ICON DAO,6234046.174706449,14,3853927.870711753,1606580.856165023
Everstake,6082172.009466649,15,2689080.791767362,2381490.388981108
ReliantNode,5620698.061409681,16,1625252.8768025977,1434666.8058160841
ICONPLUS,5448217.0025618365,17,539174.6556056914,429450.2734146945
Staky.io (ex Sharpn),5327279.010785776,18,648176.407444941,477971.5786524867
block42,5195774.1125246305,19,2410729.75432047,546183.6751072697
iBriz - ICONOsphere,5194471.022627142,20,1808641.747670012,1687635.1495168682
ICONVIET,5178447.317709395,21,1161210.5059252882,876509.4130504332
ICON Pinas (Pilipinas),4478738.954208931,22,310158.1148066866,269452.55625592225
PARROT9,4380113.16915171,23,1356650.3030180214,1229973.7174848553
Citadel.one,3752111.5885792095,24,998448.3170485017,643530.1997726928
Blockmove,3480199.121954052,25,1018646.0234086988,344187.99408645654
InterBlock,3132803.5430701715,26,1761939.2610044568,1715285.0019999992
Deblock with STAYGE,3001228.0963091427,27,1698967.5194291133,651178.8445735583
Catalyst,2727646.747653565,28,83533.78717725031,44454.91295723204
ICON Forge,2621319.5048018605,29,1124201.116733881,1060184.2475999997
ICONologist,2333306.1007616688,30,668915.6510653392,87016.05980442301
ICONTROL,2085209.8561300156,31,1454317.1940000004,154810.4513
Transform Group,2081243.349692459,32,545154.6344394499,0.0
Insight,2060432.6559385236,33,191011.6171047487,116034.1396752782
Bara-Node,1920905.4196270187,34,15832.30144172,15560.130997999999
Midos,1868718.1143054336,35,270001.36725316924,13568.939400000001
Orangebloc,1778583.0583984633,36,1767126.4778999998,1763994.7909
MinerGate,1719605.5247728212,37,1450686.7882941451,1410878.6598260493
ICONoscope,1698776.0785016336,38,25451.732275440307,13977.584175440308
