validator,validator_name,rank,delegation,bond,power
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,1,36002088.891536646,2000000.0,38002088.891536646
hxfba37e91ccc13ec1dab115811f73e429cde44d48,Lydia Labs,2,22747315.800053507,1156415.4028,23128308.056
hx3c58970034d5a923aa95058365450feed28979a2,GangstaBet,3,19290970.49937284,1134020.1914,20424990.69077284
hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,Binance Node,4,14563513.013514396,1000000.01,15563513.023514396
hxf680ae11372c48afebbce77c9d8de455e1acc18a,ICONFi,5,18676964.553356875,909034.3644,18180687.288
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,Everstake,6,15041363.276102183,883691.713,15925054.989102183
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON Asset Management,7,11959966.723514244,615105.513,12302110.26
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,ICONOsphere,8,16171503.771769358,600822.1366,12016442.732
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,9,12310113.429184305,589770.1472,11795402.944
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,10,14710064.665224701,430000.0,8600000.0
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,11,7091577.9085142845,421706.8438,7513284.752314284
hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,Protokol7,12,7269553.499632993,387348.0052,7656901.504832992
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi.io,13,4916237.888415763,364082.1361,5280320.024515763
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,14,6430702.070669055,359086.405,6789788.475669055
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,sudoblock,15,5353960.365119406,325000.0,5678960.365119406
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Spartan Node,16,9970293.952877626,323396.3701,6467927.402
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,17,5375254.936707066,319997.9963,5695252.933007066
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,18,5830608.447187132,288350.0,5767000.0
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,19,5809493.673871268,285516.2815,5710325.63
hx0a72c03881451a6270d4895f756085470fc311e4,ICON Pinas,20,5637190.0599496635,280882.0,5617640.0
hx3499cbe7a9c81b412243cac8c4e163d2e4ccb20c,Trustseers,21,4750067.740196643,272734.221,5022801.961196643
hx6f89b2c25c15f6294c79810221753131067ed3f8,Staky.io (ex Sharpn),22,5409757.408579253,268544.6114,5370892.228
hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,Stakin,23,9546237.635766238,234000.0,4680000.0
hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,Ubik Capital,24,3133442.3417161107,227621.1457,3361063.4874161105
hx15686bf1f501115a2b5de381a20edc1963cb2ec3,ICONbet,25,3796872.733897817,200000.0,3996872.733897817
hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,Mineable,26,3268558.515511962,195649.3107,3464207.8262119624
hxb11448743cbb63fcf29609401cdc5782793be211,GPS Gaming,27,3012335.142522576,175006.4363,3187341.5788225755
hx099b1e6b271bc6cd67d930a1c62ee5f3ed0e2c7d,NEOPLY,28,3174248.4228162677,162080.0,3241600.0
hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,29,2257836.7710828963,160575.2962,2418412.0672828965
hx31c429608c74501de13df5fea30bf1674460be50,Hugobyte,30,3714427.916185222,150000.0,3000000.0
hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,InterBlock,31,1393097.1796201053,147293.6825,1540390.8621201054
hx80a3bb927f9edc899f98eb46bd7a7c601da12980,Unifi Protocol,32,1682771.3007004305,130000.0,1812771.3007004305
hxe8767c80a009c7bb8344d81c430144463cbb325e,ICONTROL,33,2494060.3684660518,113617.9789,2272359.578
hxaf6f61827901d7c4674cf5d2ddbbca2bdae72faf,ICONoscope,34,380142.3334306585,105065.6299,485207.9633306585
hx1cb5883939f2fd478e92da1260438aa1f03440ca,ICON Sweden,35,1177009.2752329365,63377.1084,1240386.3836329365
hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,36,1313223.1732353182,60000.0,1200000.0
hx3ec5c0c906e857de231a7ae16e49ab92c5708699,ICX_Stratos,37,802099.2642276051,54998.0,857097.2642276051
hxc97bc2b6863b5f0094de7f0e5bcf82a404c4199b,Silicon Valley ICON,38,682769.6669153604,50000.0,732769.6669153604
hx18a807c44b0efdc2e02ea503d7bc011cc4242318,RHYTHM (Australia),39,614086.568194345,43107.598,657194.166194345
hxf6672e670d2b5816061da22231f3a90f0b5955b5,ICON Chicago,40,764226.3892226141,42062.8021,806289.1913226141
hx30af89a52479d8ce8ac6682651203750d639a20f,ICONologist,41,548382.1076964653,35000.0,583382.1076964653
hx5b97bbec2e555289351806103833a465b7fbbd47,Blockmove,42,420976.2529624824,30100.0,451076.2529624824
hx55f2cc3244350085734f4e405f761ecf3d2095b3,Staked Tech,43,242156.71219264448,30000.0,272156.7121926445
hx5dff0f5953e8cb0d50aaabff041a524e27718bd2,DSNC,44,466061.949072142,25000.0,491061.949072142
hx35a0a985a9abd8cbbc71bec1aba74ca204369c8a,RemICX,45,331136.33062921057,25000.0,356136.33062921057
hxfa6714e4ec784ae2176c416c46dc2c98b6ec9074,PiconbelloDAO,46,303397.44208439975,20333.0017,323730.4437843998
hx9fa9d224306b0722099d30471b3c2306421aead7,Espanicon,47,339060.84025732725,20000.0,359060.84025732725
hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,48,299608.2192772707,20000.0,319608.2192772707
hx69d49e8365659d7771f7e721d7f9b04367212557,ICON 4 ALL,49,295932.43733993726,20000.0,315932.43733993726
hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,50,254269.7436304877,15495.892,269765.6356304877
hxca60d4371ad90d624dc7119f81009d799c168aa1,devshack,51,251135.81108105904,15000.0,266135.81108105904
hx3aa778e1f00c77d3490e9e625f1f83ed26f90133,Citadel.one,52,1831085.7467900913,13563.9615,271279.23
hx554ea6c0c56e6f30682dcaa79a326da3a364899f,UNBLOCK {ICX GROWTH INCUBATOR},53,217282.75479136012,10098.2054,201964.108
