rank,name,address,delegation,bond,power
80,ICON4Education,hxd00b8fe10deb49aa291a9b2cb460779fc622fa12,317190.0993982099,0.0,0.0
81,ICON USA,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,305333.07721870305,0.0,0.0
82,ICON London,hx475e37c2decf56f5bf678060e3937c944921ccba,292182.8041118906,0.0,0.0
83,Coda Labs,hx6fefe6d0174357ba1c8f086a54ab1b277064e65f,303790.4809927064,0.0,0.0
84,Transform Group,hxec5e4136ddbf8e9aa119694b95d1baeecf947ee9,270467.66495071613,0.0,0.0
85,ICONNECT-Global,hx3571351614f64721081996247e53f6436ed05e55,263593.3917706585,0.0,0.0
86,loop57,hxe0df49d9382805d4dfa24487e8ef31165fe782c0,255398.14318431358,0.0,0.0
87,Staked,hxdcff7a1ab76ba34a9e3c85b0f1e7b2bf436ac024,253395.37506244757,0.0,0.0
88,POCKET / FIGMENT,hxe886f81684bbecddd69a608093fb88624c94d20a,251551.17660391182,0.0,0.0
89,Signal9,hxc93a0be07e8a74d9a86d8b12e569b91154681bc8,246698.59608311366,0.0,0.0
90,ICON Slovenia,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,243558.11854622007,0.0,0.0
91,ICON France,hxf0e7b39f0d43591c9a5c823eb19b90462fa51c30,243321.1556422266,0.0,0.0
92,DELIGHT,hx004783f10b0bd56764535cf931650dfe6d42cd9e,240776.8469801928,0.0,0.0
93,ICX Malta,hx05493cc93caf332f46715411e12c927750d210b6,240501.90229415236,0.0,0.0
94,icon-node-NL,hx11434d1fce3edecf0e84a9c992a712f0cebf6992,224104.66233462133,0.0,0.0
95,Chainode Tech,hxd2de5d155251ff62bf2f6c2aa616da6472886165,214705.3722298644,0.0,0.0
96,ICON Spark,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,204489.30459501984,0.0,0.0
97,ICONLEO (TOP 5 Voters receive bonus 80% of prep daily rewards),hx02645148d0887cd1daf345e3eabf8871780398e5,196282.4318829441,0.0,0.0
98,ICON BOOM,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,192268.6134428252,0.0,0.0
99,ICON WHALE,hx5f4e22b12f50da1927660eaafb87aa8a1bc91610,185998.28256899098,0.0,0.0
100,Bara-Node,hxfbddc0f1c0ab85e59578de4b883cdcf94ab33694,183330.62424826715,0.0,0.0
