rank,name,address,delegation,bond,power
1,ICON Foundation,hx0b047c751658f7ce1b2595da34d57a0e7dad357d,37577433.38524848,2000000.0,39577433.38524848
2,Lydia Labs,hxfba37e91ccc13ec1dab115811f73e429cde44d48,22271743.40967661,1156415.4028,23128308.056
3,GangstaBet,hx3c58970034d5a923aa95058365450feed28979a2,19659633.346963946,1134020.1914,20793653.53836395
4,ICONFi,hxf680ae11372c48afebbce77c9d8de455e1acc18a,19115939.551000927,1009034.3607,20124973.911700927
5,Binance Node,hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,19691343.928999364,1000000.01,20000000.2
6,Everstake,hx8e6dcffdf06f850af5d372ac96389135e17d56d3,16710046.775221838,937691.713,17647738.48822184
7,ICONOsphere,hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,16290442.770173777,685406.8057,13708136.114
8,ICON Asset Management,hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,11610095.23025042,615105.513,12225200.74325042
9,ICON DAO,hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,12204724.154271519,589770.1472,11795402.944
10,PARROT9,hx28c08b299995a88756af64374e13db2240bc3142,14926164.878988476,430000.0,8600000.0
11,Protokol7,hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,7355545.764775851,389239.4485,7744785.213275851
12,ReliantNode,hxe4c008b838e8a9a7c065f20f393974de4c86f917,6951875.746408086,421706.8438,7373582.590208086
13,ICONation,hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,6337504.805757888,359086.405,6696591.210757888
14,VELIC,hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,5695604.306254172,319997.9963,6015602.3025541715
15,Staky.io (ex Sharpn),hx6f89b2c25c15f6294c79810221753131067ed3f8,5510914.678127878,468444.6114,5979359.289527878
16,RHIZOME,hx4a43790d44b07909d20fbcc233548fc80f7a4067,5722719.301232581,297735.7649,5954715.298
17,Metanyx,hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,5715695.854691958,288350.0,5767000.0
18,ICON Pinas,hx0a72c03881451a6270d4895f756085470fc311e4,6067208.192199117,280882.0,5617640.0
19,sudoblock,hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,4992196.4570712,325000.0,5317196.4570712
20,MouseBelt | Multi.io,hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,4587216.501942027,364082.1361,4951298.638042027
21,Stakin,hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,10568713.74555629,234000.0,4680000.0
22,Trustseers,hx3499cbe7a9c81b412243cac8c4e163d2e4ccb20c,4402007.5802229075,272734.221,4674741.801222907
25,ICONbet,hx15686bf1f501115a2b5de381a20edc1963cb2ec3,3898910.923333012,200000.0,4000000.0
26,Plan-P,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,3713220.1510343156,192496.7743,3849935.486
27,Mineable,hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,3248338.077062798,195649.3107,3443987.3877627985
23,NEOPLY,hx099b1e6b271bc6cd67d930a1c62ee5f3ed0e2c7d,3180138.082464958,162080.0,3241600.0
28,GPS Gaming,hxb11448743cbb63fcf29609401cdc5782793be211,2881274.034403307,175006.4363,3056280.470703307
29,Hugobyte,hx31c429608c74501de13df5fea30bf1674460be50,3724439.6288597924,150000.0,3000000.0
30,ICONTROL,hxe8767c80a009c7bb8344d81c430144463cbb325e,2501696.476676502,118652.1586,2373043.172
31,InterBlock,hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,1769518.219309115,152028.5202,1921546.739509115
32,Unifi Protocol,hx80a3bb927f9edc899f98eb46bd7a7c601da12980,1678338.6553187105,130000.0,1808338.6553187105
33,FOMOmental,hx437e3ce53016ffc71be609a4d1194e41a5d89678,1656087.302227382,85253.9298,1705078.596
24,ICX Belgium,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,1294125.364006146,65000.0,1300000.0
34,ICON Sweden,hx1cb5883939f2fd478e92da1260438aa1f03440ca,1193330.1446482367,63377.1084,1256707.2530482367
35,Ubik Capital,hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,3066626.16586378,50166.2256,1003324.512
36,ICX_Stratos,hx3ec5c0c906e857de231a7ae16e49ab92c5708699,835120.9892166146,54998.0,890118.9892166146
37,ICON Chicago,hxf6672e670d2b5816061da22231f3a90f0b5955b5,858908.4380165951,44247.8835,884957.67
38,ICONoscope,hxaf6f61827901d7c4674cf5d2ddbbca2bdae72faf,660910.8495266449,105065.6299,765976.479426645
39,Silicon Valley ICON,hxc97bc2b6863b5f0094de7f0e5bcf82a404c4199b,692045.5140196431,50000.0,742045.5140196431
40,ICONologist,hx30af89a52479d8ce8ac6682651203750d639a20f,535575.2665767175,30000.0,565575.2665767175
41,DSNC,hx5dff0f5953e8cb0d50aaabff041a524e27718bd2,478875.62646199437,26000.0,504875.62646199437
42,Blockmove,hx5b97bbec2e555289351806103833a465b7fbbd47,438581.35021815886,30100.0,468681.35021815886
43,Studio Mirai,hx5da9e862b4e26e5ac486c1d70d9d63927ce35e1c,1082246.0001726963,22000.0,440000.0
44,Espanicon,hx9fa9d224306b0722099d30471b3c2306421aead7,352234.5489463369,20000.0,372234.5489463369
45,PiconbelloDAO,hxfa6714e4ec784ae2176c416c46dc2c98b6ec9074,347235.71002073714,20333.0017,367568.7117207371
46,RemICX,hx35a0a985a9abd8cbbc71bec1aba74ca204369c8a,342059.6831753867,25000.0,367059.6831753867
47,Transcranial Solutions,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,306860.8942281124,20000.0,326860.8942281124
48,ICON 4 ALL,hx69d49e8365659d7771f7e721d7f9b04367212557,292891.19049075234,20000.0,312891.19049075234
49,ICON Guide Star,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,266896.38159217394,15495.892,282392.27359217394
50,Staked Tech,hx55f2cc3244350085734f4e405f761ecf3d2095b3,248865.82131859253,30000.0,278865.8213185925
51,Citadel.one,hx3aa778e1f00c77d3490e9e625f1f83ed26f90133,1834721.3933392556,13563.9615,271279.23
52,Arcade Node,hx8d7f98f88560fc957d410afb53c5b269bebc8799,2537382.9085564427,13070.1213,261402.426
53,UNBLOCK {ICX GROWTH INCUBATOR},hx554ea6c0c56e6f30682dcaa79a326da3a364899f,224751.33858036977,10539.3824,210787.648
54,A_Block,hxa19a398f4941abed1d0af82fb2f6081b76f29107,249362.65809767437,5000.0,100000.0
55,FOMO MASTERNODE,hx35760c56a8e3942a3e4e5cc2ba78b18502b4f421,181949.92753504158,3912.8015,78256.03
56,Spartan Node,hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,7564952.144543969,0.0,0.0
57,Atomic Wallet,hx5cb1e6d96eb1db986cee37a0a23a796de802a4bc,4123917.4094892675,0.0,0.0
58,ICON Forge,hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,2525568.1967894705,0.0,0.0
59,Danal,hxa69031aef1bbb11ea0ee3647b278c158ecdab767,2309510.7328423006,0.0,0.0
60,Band Protocol,hx3911d68483684abee3bf0be488aaac7bbaf8d4d2,2305347.0878971303,0.0,0.0
61,ICON Hyperconnect,hxd5059fec8665bc7b769f4893aef65cf00049377a,1878486.4328359524,0.0,0.0
62,ICONPLUS,hxd6f20327d135cb0227230ab98792173a5c97b03e,1522737.4642859094,0.0,0.0
63,weBloc asia,hxf75bfd0df8d96ee0963965135af2485cee6d5000,1429974.969955609,0.0,0.0
64,Alice,hx48b3ed0161c639a4b9ec8f2277cc5ab338af7c9a,1056655.0715846196,0.0,0.0
65,MinerGate,hxfac9169f5ee9d3c85c190cfa1208ca45540dcf38,990208.8284761558,0.0,0.0
66,TNTXT,hx863e16bd18ceaa7d498b4b275e36cd58818b1f25,858252.8325698272,0.0,0.0
67,block42,hx168d2cfe6d73acb8cb690d3abda54d3af266addf,718350.5050373514,0.0,0.0
68,DEMOS,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,635029.9756940384,0.0,0.0
69,RHYTHM (Australia),hx18a807c44b0efdc2e02ea503d7bc011cc4242318,628624.7665500214,0.0,0.0
70,Foundry Box Media,hxc5e0b88cb9092bbd8b004a517996139334752f62,583770.1801572021,0.0,0.0
71,Catena,hx9cdb5bd98a1d757ce195a99c6273833b80b51c28,531980.7924047101,0.0,0.0
72,Blockchain at Berkeley,hx2cf560d42b3b505314c526336dad5d1f624bdb1f,464133.40683795896,0.0,0.0
73,ICX Australia,hx040b667627bbd02619e89439fab48b053e71c666,462635.98823893047,0.0,0.0
74,Symmetry SLC,hxab751d4e83b6fda412a38cb5f7f96860396b1327,448773.3024602376,0.0,0.0
75,HOLA ICON,hxa615b432cb84c3f2ed22194b32df317b474ec2c9,419058.08778097417,0.0,0.0
76,Deblock with STAYGE,hx4adc5a79b2fb3631790f6dca22d7b6e4912e6e85,398160.261460715,0.0,0.0
77,ICON Labs,hx50040d39a04b7bc9197e9784779f07f9a6887811,373427.6486782302,0.0,0.0
78,ICXburners  (We burn our node rewards!),hx60ad5da1c0eb80f52ef7be5b07e590108078a96e,370572.46807998745,0.0,0.0
79,Oasis,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,354167.5366685259,0.0,0.0
80,ICON4Education,hxd00b8fe10deb49aa291a9b2cb460779fc622fa12,353764.5452112891,0.0,0.0
81,Newroad,hx9571df0bd727ce18adc177e8fd6bc45f885b3382,349094.9140018487,0.0,0.0
82,ICONLEO (TOP 5 Voters receive bonus 80% of prep daily rewards),hx02645148d0887cd1daf345e3eabf8871780398e5,337382.661735533,0.0,0.0
83,ICON USA,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,337169.0383744228,0.0,0.0
84,StakingTeam,hx19ccfc00b5af79ac75aaae9676b1f9ed5c9b5ca3,335723.68858541717,0.0,0.0
85,Coda Labs,hx6fefe6d0174357ba1c8f086a54ab1b277064e65f,330270.43611237284,0.0,0.0
86,Transform Group,hxec5e4136ddbf8e9aa119694b95d1baeecf947ee9,304994.8347691044,0.0,0.0
