validator,validator_name,rank,delegation,bond,power
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,1,36025364.75023493,2000000.0,38025364.75023493
hx3c58970034d5a923aa95058365450feed28979a2,GangstaBet,2,19228725.58969833,1133900.1914,20362625.78109833
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,3,23087761.075949337,1111000.2696,22220005.392
hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,Binance Node,4,14346648.04413254,1000000.01,15346648.05413254
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON Asset Management,5,14205882.077165525,939049.6874,15144931.764565526
hxf680ae11372c48afebbce77c9d8de455e1acc18a,ICONFi,6,17274696.631798636,909034.3644,18180687.288
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,Everstake,7,11701649.03123695,883691.713,12585340.74423695
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,ICONOsphere,8,18023156.769230545,595822.7382,11916454.764
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,9,12181408.193096297,579865.5848,11597311.696
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,10,14402047.38656633,553600.4238,11072008.476
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,11,7227758.08061343,421706.8438,7649464.92441343
hxb11448743cbb63fcf29609401cdc5782793be211,ICONbet Community,12,6359966.03306778,375000.0,6734966.03306778
hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,Protokol7,13,6972939.920193557,371798.7335,7344738.653693557
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi.io,14,6389129.7385640675,364082.1361,6753211.874664067
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,15,6677183.506138914,359086.405,7036269.911138914
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Spartan Node,16,9125799.917768475,354759.4729,7095189.458
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,Geometry Labs,17,6874141.72060143,325000.0,6500000.0
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,18,5361224.508680754,319997.9963,5681222.504980755
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,19,5907535.888454468,310205.7649,6204115.298
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,20,6835304.9725261,288350.0,5767000.0
hx0a72c03881451a6270d4895f756085470fc311e4,ICON Pinas,21,5546679.119067309,280882.0,5617640.0
hx3499cbe7a9c81b412243cac8c4e163d2e4ccb20c,Trustseers,22,6112438.255797045,272734.221,5454684.42
hx6f89b2c25c15f6294c79810221753131067ed3f8,Staky.io (ex Sharpn),23,5374181.464353192,268544.6114,5370892.228
hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,Stakin,24,7014906.4594026385,256000.0,5120000.0
