validator,validator_name,rank,delegation,bond,power
hxf75bfd0df8d96ee0963965135af2485cee6d5000,weBloc asia,62,1330438.7549977677,0.0,0.0
hxd6f20327d135cb0227230ab98792173a5c97b03e,ICONPLUS,63,1306098.7118787703,0.0,0.0
hx48b3ed0161c639a4b9ec8f2277cc5ab338af7c9a,Alice,64,963489.5855363022,0.0,0.0
hxfac9169f5ee9d3c85c190cfa1208ca45540dcf38,MinerGate,65,807773.7702939323,0.0,0.0
hx863e16bd18ceaa7d498b4b275e36cd58818b1f25,TNTXT,66,765832.0024360885,0.0,0.0
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,block42,67,626083.8105662391,0.0,0.0
hxc5e0b88cb9092bbd8b004a517996139334752f62,Inanis Invictus,68,599892.1101462654,0.0,0.0
hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,69,541745.4839332569,0.0,0.0
hx18a807c44b0efdc2e02ea503d7bc011cc4242318,RHYTHM (Australia),70,535730.9412677978,0.0,0.0
hx9cdb5bd98a1d757ce195a99c6273833b80b51c28,Catena,71,429327.2188224865,0.0,0.0
hx2cf560d42b3b505314c526336dad5d1f624bdb1f,Blockchain at Berkeley,72,378068.8047896415,0.0,0.0
hx040b667627bbd02619e89439fab48b053e71c666,ICX Australia,73,373425.69870376383,0.0,0.0
hxf5a52d659df00ef0517921647516daaf7502a728,binance node,74,358541.67395779,0.0,0.0
hxab751d4e83b6fda412a38cb5f7f96860396b1327,Symmetry SLC,75,346923.39862284163,0.0,0.0
hxa615b432cb84c3f2ed22194b32df317b474ec2c9,HOLA ICON,76,328399.6777530046,0.0,0.0
hx4adc5a79b2fb3631790f6dca22d7b6e4912e6e85,Deblock with STAYGE,77,304509.6805724307,0.0,0.0
hx50040d39a04b7bc9197e9784779f07f9a6887811,ICON Labs,78,275970.8655575451,0.0,0.0
hx60ad5da1c0eb80f52ef7be5b07e590108078a96e,ICXburners  (We burn our node rewards!),79,261416.56677070702,0.0,0.0
hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,Oasis,80,260545.5821020267,0.0,0.0
hx9571df0bd727ce18adc177e8fd6bc45f885b3382,Newroad,81,257514.66251962518,0.0,0.0
hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,82,246533.1559261054,0.0,0.0
hx19ccfc00b5af79ac75aaae9676b1f9ed5c9b5ca3,StakingTeam,83,242717.0780194471,0.0,0.0
hxd00b8fe10deb49aa291a9b2cb460779fc622fa12,ICON4Education,84,242306.45796803187,0.0,0.0
hx02645148d0887cd1daf345e3eabf8871780398e5,ICONLEO (TOP 5 Voters receive bonus 80% of prep daily rewards),85,238120.65151207658,0.0,0.0
hx6fefe6d0174357ba1c8f086a54ab1b277064e65f,Coda Labs,86,217954.86543445403,0.0,0.0
hxec5e4136ddbf8e9aa119694b95d1baeecf947ee9,Transform Group,87,211781.23852078695,0.0,0.0
hx11434d1fce3edecf0e84a9c992a712f0cebf6992,icon-node-NL,88,194700.30432194454,0.0,0.0
hxdcff7a1ab76ba34a9e3c85b0f1e7b2bf436ac024,Staked,89,194368.34702368392,0.0,0.0
hxe886f81684bbecddd69a608093fb88624c94d20a,POCKET / FIGMENT,90,189952.6449678683,0.0,0.0
hx05493cc93caf332f46715411e12c927750d210b6,ICX Malta,91,189384.42919967882,0.0,0.0
hx475e37c2decf56f5bf678060e3937c944921ccba,ICON London,92,178783.93245917684,0.0,0.0
hx004783f10b0bd56764535cf931650dfe6d42cd9e,DELIGHT,93,177082.36376714575,0.0,0.0
hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,ICON Slovenia,94,174309.417633173,0.0,0.0
hxc93a0be07e8a74d9a86d8b12e569b91154681bc8,Signal9,95,169505.02194707005,0.0,0.0
hx3571351614f64721081996247e53f6436ed05e55,ICONNECT-Global,96,161707.6044012816,0.0,0.0
hxd2de5d155251ff62bf2f6c2aa616da6472886165,Chainode Tech,97,157231.64871681738,0.0,0.0
hxaf6f61827901d7c4674cf5d2ddbbca2bdae72faf,ICONoscope,98,148056.04704394215,0.0,0.0
hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,99,135521.8828301399,0.0,0.0
hxf0e7b39f0d43591c9a5c823eb19b90462fa51c30,ICON France,100,132883.55094801905,0.0,0.0
hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,101,132563.32749992,0.0,0.0
hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,102,126952.96976561585,0.0,0.0
hxadad43bd60785979ed2ecea55df1eb8049162b04,Gilga Capital (NEW - LETS GROW ICON),103,113192.65217979,0.0,0.0
hxecf2a15a708dde0cf35aedb22344bd0fe0f88f98,manifest-icon,104,102705.96338948,0.0,0.0
hxd243919468353a59250114d3ea891de8486f37c0,Iconserve,105,97731.09459828,0.0,0.0
hxc1717a36b5288b92586b93d3c20f247b2bab1a26,ICONPool,106,90682.44851292,0.0,0.0
hx2571420b7d3977611cea1d1646579aeef2fb6dfa,HypoICON,107,89540.43827175,0.0,0.0
hx42805d6c22012d5bd56cdab423da9fde5850622f,Noris,108,87057.4507,0.0,0.0
hx8e882ac085ca90e5ef19364ffda6646acceed3b8,Icon Panda,109,86845.95820608,0.0,0.0
hx0315df35eef97e1e73f1a72b1e78ff7f28ba3176,Blockheads Development,110,76726.81193542,0.0,0.0
hx704cf476389a2e3ab13ca33eeea9480ee172cf60,ICON Russia,111,64733.53941359,0.0,0.0
hx6f09a1d35ea1f22467df4f0d04a78b4422dcd30e,FOCUS,112,60226.85762956,0.0,0.0
hx5f4e22b12f50da1927660eaafb87aa8a1bc91610,ICON WHALE,113,60224.31405309,0.0,0.0
hxfe9a226b2910584cebd9596e4effd8a8c0e3e039,Nodeasy.com,114,56273.30325907,0.0,0.0
hx1be230522449d87274fa8f326fed22e3cacfe4c0,ICON Thailand,115,55627.08222153,0.0,0.0
hxf85e4d956f1dfad8d713421ab58b24863c28b28a,DRAICON BALL,116,55601.26471426,0.0,0.0
hx0d0882a489794eeb9d176bcc80b664ff9d54e616,CCBR_POSTECH,117,53874.1632,0.0,0.0
hxa1c5965588ea0615e64313a770c20b069033db7b,OZYS node,118,52677.23105076,0.0,0.0
hx3ec5c0c906e857de231a7ae16e49ab92c5708699,ICX_Stratos,119,52246.35109645,0.0,0.0
hxfbddc0f1c0ab85e59578de4b883cdcf94ab33694,Bara-Node,120,49172.46330202,0.0,0.0
hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,121,40636.72723004,0.0,0.0
hx6deee24065b8fa75298b0a22c5a221e2587ba09d,Sunrise,122,39669.70592584,0.0,0.0
hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,123,39224.87971167,0.0,0.0
hxa83c659bcebca1c6cbf9a94477a7005d09461569,ICXmerch,124,38845.44260821,0.0,0.0
hx29fbc9cfb184d75d74cab33c70820a696998b596,VOTE for PREP DEVSHACK,125,37746.78794467,0.0,0.0
hx77b13a82be3a1bd2a71dd389bdfa624a59e8ff2b,InfStones,126,34959.60559636,0.0,0.0
hx55d5b995fca77274cab59c850803f9ec3e00421f,Orangebloc,127,34393.68828547,0.0,0.0
hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,128,33558.65036172,0.0,0.0
hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,129,30343.76781142,0.0,0.0
hxc7a057d0cbb75606352ec8cc698267b7247cc100,Cardinal,130,29401.66289896,0.0,0.0
hx352a4b557e9035f89b237fe85d6bb92f517fdbd7,Hourglass,131,25325.89080548,0.0,0.0
hxa224bb59e9ba930f3919b57feef7656f1139d24b,Catalyst,132,22746.68367776,0.0,0.0
hx9d068caab70c41f7ddf3ab3d9bcce8a8dbffa089,Noris [New Node],133,21097.78263333,0.0,0.0
hx958eb3e5e9e41e53d000f684af78fd7384f2fe12,Yudus Lab,134,19347.4365,0.0,0.0
hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,135,19100.38594704,0.0,0.0
hxdb0266079cb558e14b41ad7125b729c2c96b2d36,Midos / EPICX,136,18691.22957817,0.0,0.0
hx03b3f70f1a5acdd9cd5967460a665092c921411a,neo_icon,137,18575.1884,0.0,0.0
hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,138,18467.8404515,0.0,0.0
hxbb5355790905d790dff2aa04de5ff786a5211958,Xangle,139,18119.28917774,0.0,0.0
hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,140,16647.29069193,0.0,0.0
hxa5772c57dd9c67ed09578270847de6fc2bf73b53,Wiz node,141,14722.9935923,0.0,0.0
hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,142,13819.66129164,0.0,0.0
hx468a3871c1e8d7e61581fae29258fcacf13e5150,ICX FREEZER,143,13725.6232642,0.0,0.0
hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,144,13521.9063,0.0,0.0
hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,145,13458.08452178,0.0,0.0
hxd17cc393d0b0a59f0a03e4fb4ac1ab196743162f,Hermes Greece,146,11481.90021557,0.0,0.0
hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,147,11015.8965706,0.0,0.0
hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,148,10607.34065904,0.0,0.0
hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,149,10197.93212241,0.0,0.0
hx38c8507ed599b3d51a825d6a37e165bc5303daa1,Red Hot ICE ,150,9388.1652,0.0,0.0
hx8f0eca05fa5f8e0d3f8f440693b9a718ec31fae8,HASHRATE PLUS,151,9365.99983203,0.0,0.0
hx5ccbcb12e2248acfd420b9adb79ceb8f324107d6,Frontlines Media,152,7772.42147942,0.0,0.0
hx87d5c36add6d96c2c0dcc349223c528a99fb26f6,DFG Crypto,153,7378.21200334,0.0,0.0
