IRC Token,Amount,No. of Transactions
sICX,5370665.83115864,5240
bnUSD,3873289.8668730226,5219
IWIN,638871.6024999999,2987
BALN,499283.8807341229,2485
GBET,2478821.6766564045,2235
OMM,1824773.8136514793,1702
METX,2060422.2417453947,1130
IUSDC,560065.32201,524
USDS,1026130.5972696622,497
oICX,748715.6522917064,171
obnUSD,471630.7101628351,109
CFT,842321.0982316751,85
oOMM,61538.15406764226,85
oUSDS,346421.8545409226,66
oIUSDC,214848.39887,64
dbnUSD,82095.79175597295,48
TAP,2630829.8524780916,44
dUSDS,232087.2681959042,37
IUSDT,183.040113,28
UP,7.871188171677719,20
oBALN,62921.690102596185,9
dBALN,1697.7335936496588,6
dIUSDC,50163.368982,5
LDX,3500.0,3
HGC,20000.0,2
IAM,4430.911296059432,2
