IRC Token,Amount,No. of Transactions
bnUSD,3896195.9687975883,3941
sICX,4158150.1225527152,3692
BALN,952203.7070258921,2372
OMM,1604773.9554884352,1590
METX,1383560.1643090674,1125
IUSDC,408607.363244,754
USDS,883706.5998254332,695
PGT,3000.0,478
GBET,1236515.017946869,411
obnUSD,431278.5513116916,143
oIUSDC,182009.547516,141
oICX,230580.79973653232,130
CFT,191861.93900861035,110
oUSDS,273606.97915337974,70
LDX,11604.0,61
dbnUSD,84540.02748361802,53
IUSDT,10667.38771,49
TAP,2154996.352102677,46
dUSDS,139936.7543202132,45
UP,4.9214576267041785,32
dIUSDC,13327.483656,31
LEND5,1444.3,6
ACT,500.0,5
CRI10X,205.0,3
HGC,22500.0,2
IETH,0.004765338781859,1
uMETX,133.51100946864756,1
