IRC Token,Amount,No. of Transactions
bnUSD,9881496.749679115,10793
sICX,5317158.36415998,10637
BALN,724268.9379810612,4681
OMM,1957586.2387431823,4110
IUSDC,3997137.276399,2398
USDS,2302026.8162412667,2142
METX,2570467.799453491,2073
CFT,975711.8465511596,1162
IUSDT,20.706772,644
oICX,1192090.1591761552,286
oIUSDC,1280756.108235,280
obnUSD,1445530.4595878406,208
oUSDS,823236.1077371802,188
GBET,22663.0,87
dbnUSD,655977.6420093946,83
dIUSDC,1113365.8523270001,78
dUSDS,406791.2295318018,71
TAP,504424.00469409116,41
UP,288.33303107303595,33
LDX,224213.58924170688,29
ACT,800.0,8
SEED,201.62031,1
HGC,750.0,1
uUP,231.71097535888887,1
