IRC Token,holders,liquidity,Amount,No. of Transactions,Price in USD,Value Transferred in USD
bnUSD,10023.0,1372329.7352457175,930851.4034704295,2094.0,0.997828303534734,928829.8767678248
sICX,12196.0,1329059.1551420775,2353179.429940745,1311.0,0.33879224061094393,797238.9316292087
BST,436.0,11.911110409517443,187.666969767745,710.0,1.1251260140473085,211.1489896631197
FRMD,975.0,21268.17901748406,80730.32110522255,528.0,0.012311367828569265,993.9006780449033
GBET,2914.0,6370.191398872835,1065644.838785014,515.0,0.002446667146290174,2607.278216668983
$unknown,,,47947.44011890884,487.0,,
CROWN,1281.0,7918.980764417149,4501725.632296635,457.0,0.0021576199235464524,9713.01291458297
BALN,16523.0,358132.71217603615,248103.78822837785,251.0,0.2429725689330117,60282.41478786087
CODE,256.0,0.5549358505991209,555554.0,101.0,1.6842106231266647e-06,0.9356699485205111
FIN,2278.0,5122.1636310545455,52471.871608135836,73.0,0.02015423297506799,1057.530325028225
CFT,19452.0,43473.04765411813,5757450.0654349765,54.0,0.0031591810541241818,18188.827166788207
OMM,13916.0,18038.581437217817,204755.47066840026,51.0,0.004643954074734428,950.8750023346831
IUSDC,5613.0,24300.53559517284,770.3001820000001,50.0,0.6550005747157163,504.5470619136209
BTCB,164.0,11421.34465190976,0.051496495268963084,46.0,66775.9619486649,3438.7280085698812
sARCH,106.0,65788.83820663075,32289.56923689782,28.0,0.1987016771538823,6415.991561948
USDS,5457.0,2111.2876591292124,138.9329130879222,23.0,0.22240013237227277,30.898698261619366
AVAX,6.0,56420.09856787849,225.5107090829904,18.0,59.827262150422705,13491.688310035777
XCROWN,1281.0,7918.980764417149,505675.35604137206,18.0,0.0021576199235464524,1091.0552230413102
ETH,162.0,3053.202385062142,0.4691974988956103,17.0,3705.880044585072,1738.7896481264686
archUSDC,20.0,11.618413517432316,73659.85,12.0,1.1148592052507935,82120.36182989267
METX,11421.0,972.8348830200904,418880.4654158118,11.0,5.3792344922707843e-05,22.532562477031743
VOID,160.0,793.4071678884947,3238.1019262611126,11.0,0.022057838450219355,71.42552917481173
BNB,6.0,17064.556917299724,6.87846967191977,8.0,526.3463479914199,3620.457391584711
NPT,466.0,0.6332187581716783,360.75,5.0,7.701315819746528e-05,0.0277824968197356
oIUSDC,5613.0,24300.53559517284,1.132223,4.0,0.6550005747157163,0.7416067157063524
oUSDS,5457.0,2111.2876591292124,0.6359991615642966,4.0,0.22240013237227277,0.14144629772055406
IDOGE,1786.0,78.61266857048837,2211327.84914685,4.0,2.889427475329176e-07,0.6389471444285479
finMICX,12196.0,1329059.1551420775,723.2310526488944,3.0,0.33879224061094393,245.0250688063305
TAP,9237.0,7.909650092065409,12122.202380744424,2.0,0.000263990825675441,3.2001502154975174
IAM,4067.0,12.929582019958985,55.82713066282458,2.0,0.009921005511272788,0.5538612709844287
BUSD,68.0,2.7698004084385945,0.07534914304723392,2.0,0.7236580998776029,0.05452701768496699
ICX,,,,,0.270833,
