IRC Token,Amount,No. of Transactions
bnUSD,8066330.338623586,13537
sICX,4657552.325885599,13341
IWIN,860982.1838,9070
OMM,2568456.4360043593,8286
IUSDC,1872198.166719,6448
BALN,604441.2372908175,3525
USDS,960575.7242996015,2759
oIUSDC,409143.896054,2481
GBET,5206797.04,2299
METX,10989377.338374345,1669
CFT,1878391.0268673927,915
PGT,3000.0,636
oICX,430008.9323581571,385
oUSDS,251221.034766674,227
dIUSDC,209810.689815,132
UP,10.727542868006545,115
SEED,1493.249503,59
TAP,500308.88217541866,46
dUSDS,35784.70233555289,39
LDX,183824.83924170688,6
ACT,400.0,4
HGC,26000.0,4
uMETX,20061.32284650926,2
ICXIOU,1.0,1
uSEED,5.77046996721e-05,1
uTAP,149.82098800120272,1
