IRC Token,Amount,No. of Transactions
IWIN,1203791.0671,6485
bnUSD,4643610.968798658,5738
sICX,2816144.16729594,4895
OMM,2212527.708174909,3804
BALN,561669.7576329607,3255
USDS,1427543.986357923,2716
IUSDC,1620395.665288,2544
METX,959227.2148451239,1967
CFT,618382.9954347318,833
IUSDT,44232.865054,698
oIUSDC,454622.101526,284
GBET,35209.0,221
oICX,502765.225077984,208
obnUSD,739226.2609293233,204
oUSDS,328845.0576440946,173
dIUSDC,154136.606191,117
dbnUSD,262723.82700516185,99
dUSDS,175803.64241587307,93
TAP,1011185.3721761265,61
UP,78.83524457402012,38
LDX,2535.0,21
ACT,800.0,8
SEED,5.616867,2
HGC,8500.0,2
IAM,3.0,1
IETH,0.006,1
ICXIOU,191.3663994,1
