validator,validator_name,cum_votes_update
hx60ad5da1c0eb80f52ef7be5b07e590108078a96e,ICXburners  (We burn our node rewards!),436406.2953419
hx6fefe6d0174357ba1c8f086a54ab1b277064e65f,Coda Labs,413924.06515087
hx55f2cc3244350085734f4e405f761ecf3d2095b3,Staked Tech,402881.38264029
hx475e37c2decf56f5bf678060e3937c944921ccba,ICON London,384447.72962063
hxf0e7b39f0d43591c9a5c823eb19b90462fa51c30,ICON France,381840.96417599
hx69d49e8365659d7771f7e721d7f9b04367212557,ICON 4 ALL,373032.39096865
hxfa6714e4ec784ae2176c416c46dc2c98b6ec9074,PiconbelloDAO,371737.6938085
hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,371624.36965216
hx35a0a985a9abd8cbbc71bec1aba74ca204369c8a,RemICX,360672.65856545
hxec5e4136ddbf8e9aa119694b95d1baeecf947ee9,Transform Group,346549.65907558
hx11434d1fce3edecf0e84a9c992a712f0cebf6992,icon-node-NL,338337.21335119
hxe886f81684bbecddd69a608093fb88624c94d20a,POCKET / FIGMENT,330844.79672484
hxdcff7a1ab76ba34a9e3c85b0f1e7b2bf436ac024,Staked,330177.47474949
hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,328624.57764521
hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,326091.41183014
hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,322832.16385124
hxc93a0be07e8a74d9a86d8b12e569b91154681bc8,Signal9,314163.31789829
hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,ICON Slovenia,313909.20351285
hx004783f10b0bd56764535cf931650dfe6d42cd9e,DELIGHT,313645.86281444
hx05493cc93caf332f46715411e12c927750d210b6,ICX Malta,308280.67805953
hxd2de5d155251ff62bf2f6c2aa616da6472886165,Chainode Tech,297145.91849788
hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,280605.44590058
hx554ea6c0c56e6f30682dcaa79a326da3a364899f,UNBLOCK {ICX GROWTH INCUBATOR},280416.58833834
hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,267811.7367018
hx5f4e22b12f50da1927660eaafb87aa8a1bc91610,ICON WHALE,259642.33605613
hxfbddc0f1c0ab85e59578de4b883cdcf94ab33694,Bara-Node,257220.41490724
hx55d5b995fca77274cab59c850803f9ec3e00421f,Orangebloc,208609.9626259
hxd00b8fe10deb49aa291a9b2cb460779fc622fa12,ICON4Education,180299.14571074
hx2571420b7d3977611cea1d1646579aeef2fb6dfa,HypoICON,101866.07482743
hx3571351614f64721081996247e53f6436ed05e55,ICONNECT-Global,100575.08132441
hxd243919468353a59250114d3ea891de8486f37c0,Iconserve,99871.08822707
hx8e882ac085ca90e5ef19364ffda6646acceed3b8,Icon Panda,96862.45521479
hxadad43bd60785979ed2ecea55df1eb8049162b04,Gilga Capital (NEW - LETS GROW ICON),95096.28688888
hx38c8507ed599b3d51a825d6a37e165bc5303daa1,Red Hot ICE ,94862.57268737
hx35760c56a8e3942a3e4e5cc2ba78b18502b4f421,FOMO MASTERNODE,90482.93455649
hx42805d6c22012d5bd56cdab423da9fde5850622f,Noris,87057.4507
hxc1717a36b5288b92586b93d3c20f247b2bab1a26,ICONPool,85968.79253615
hxf85e4d956f1dfad8d713421ab58b24863c28b28a,DRAICON BALL,81195.13747638
hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,69801.92066881
hxecf2a15a708dde0cf35aedb22344bd0fe0f88f98,manifest-icon,66765.41735614
hx6f09a1d35ea1f22467df4f0d04a78b4422dcd30e,FOCUS,64074.76964573
hx704cf476389a2e3ab13ca33eeea9480ee172cf60,ICON Russia,61081.97283063
hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,59845.91330041
hx1be230522449d87274fa8f326fed22e3cacfe4c0,ICON Thailand,58254.83270465
hx0d0882a489794eeb9d176bcc80b664ff9d54e616,CCBR_POSTECH,53907.9632
hxfe9a226b2910584cebd9596e4effd8a8c0e3e039,Nodeasy.com,52688.39078764
hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,Binance Node,46565.50686053
hxa1c5965588ea0615e64313a770c20b069033db7b,OZYS node,45927.71445076
hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,45059.04236527
hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,41948.14783004
hxa19a398f4941abed1d0af82fb2f6081b76f29107,A_Block,41773.20799582
hx6deee24065b8fa75298b0a22c5a221e2587ba09d,Sunrise,34066.30682584
hx77b13a82be3a1bd2a71dd389bdfa624a59e8ff2b,InfStones,33997.42117488
hxc7a057d0cbb75606352ec8cc698267b7247cc100,Cardinal,33839.00823149
hx29fbc9cfb184d75d74cab33c70820a696998b596,VOTE for PREP DEVSHACK,33714.59630849
hxbb5355790905d790dff2aa04de5ff786a5211958,Xangle,32517.69382311
hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,32188.09829193
hxdb0266079cb558e14b41ad7125b729c2c96b2d36,Midos / EPICX,30475.88610703
hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,29017.9546688
hxa224bb59e9ba930f3919b57feef7656f1139d24b,Catalyst,26253.33164443
hxd17cc393d0b0a59f0a03e4fb4ac1ab196743162f,Hermes Greece,25931.96291557
hx352a4b557e9035f89b237fe85d6bb92f517fdbd7,Hourglass,22419.21877133
hxa5772c57dd9c67ed09578270847de6fc2bf73b53,Wiz node,21777.38541491
hxa83c659bcebca1c6cbf9a94477a7005d09461569,ICXmerch,20976.56038094
hx958eb3e5e9e41e53d000f684af78fd7384f2fe12,Yudus Lab,19327.1036
hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,19161.211
hx03b3f70f1a5acdd9cd5967460a665092c921411a,neo_icon,19116.724
hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,17639.40262178
hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,16718.92674704
hx9d068caab70c41f7ddf3ab3d9bcce8a8dbffa089,Noris [New Node],16627.6596
hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,15689.41098907
hx468a3871c1e8d7e61581fae29258fcacf13e5150,ICX FREEZER,14930.5941642
hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,14456.25819468
hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,12067.00945904
hx8f0eca05fa5f8e0d3f8f440693b9a718ec31fae8,HASHRATE PLUS,10974.51903203
hx5ccbcb12e2248acfd420b9adb79ceb8f324107d6,Frontlines Media,10622.19976211
hx87d5c36add6d96c2c0dcc349223c528a99fb26f6,DFG Crypto,9769.06810354
hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,9345.66458497
hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,8680.5043706
hx4109ae2bda803171fac8b75e713b3a3f033e969b,MW node,5905.58362505
hx364b02bc9ec8a8823e44330874539b419e0bc889,Cypher Core,5599.9744
hx5b7cef0d8d9208a53df4cb5ca84ee3a9a530d5b7,iccc node,4648.80712857
hx5c6713beb2ff74c9b9d64e0216f33a79929ab4b6,StakeBowl,4648.51222857
hx1f6da7d57810e812d030fbbd3144690e481e24fc,Common Computer Online,3312.41278832
hx5796d7fb3442759bee4aaeaa4e6618a034f630b1,Gilga Capital,2826.5819
hxf49551380a26055a26f4dffd3aa837e66877571b,Wetez,1627.47700217
hx9abc22e349dbd659f7c36ad443b1553220bb649e,Common Computer,0
hx49aff6baa1d2a69730d935068ce8f64eb8d508ef,ParaState,0
