rank,name,address,delegation,bond,power
62,Alice,hx48b3ed0161c639a4b9ec8f2277cc5ab338af7c9a,963578.7399582934,0.0,0.0
63,MinerGate,hxfac9169f5ee9d3c85c190cfa1208ca45540dcf38,808647.8069143245,0.0,0.0
64,TNTXT,hx863e16bd18ceaa7d498b4b275e36cd58818b1f25,765525.9410928444,0.0,0.0
65,block42,hx168d2cfe6d73acb8cb690d3abda54d3af266addf,628031.3675421868,0.0,0.0
66,DEMOS,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,541688.2781381109,0.0,0.0
67,RHYTHM (Australia),hx18a807c44b0efdc2e02ea503d7bc011cc4242318,535495.61198819,0.0,0.0
68,Foundry Box Media,hxc5e0b88cb9092bbd8b004a517996139334752f62,492621.7232679411,0.0,0.0
69,Catena,hx9cdb5bd98a1d757ce195a99c6273833b80b51c28,439376.2434428787,0.0,0.0
70,Blockchain at Berkeley,hx2cf560d42b3b505314c526336dad5d1f624bdb1f,377731.88854496606,0.0,0.0
71,ICX Australia,hx040b667627bbd02619e89439fab48b053e71c666,373667.46005805884,0.0,0.0
72,Symmetry SLC,hxab751d4e83b6fda412a38cb5f7f96860396b1327,350556.7861432339,0.0,0.0
73,HOLA ICON,hxa615b432cb84c3f2ed22194b32df317b474ec2c9,327960.6893906758,0.0,0.0
74,Deblock with STAYGE,hx4adc5a79b2fb3631790f6dca22d7b6e4912e6e85,305072.622092823,0.0,0.0
75,ICXburners  (We burn our node rewards!),hx60ad5da1c0eb80f52ef7be5b07e590108078a96e,281158.4335910992,0.0,0.0
76,ICON Labs,hx50040d39a04b7bc9197e9784779f07f9a6887811,279442.8120830655,0.0,0.0
77,Oasis,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,261421.20116038152,0.0,0.0
78,Newroad,hx9571df0bd727ce18adc177e8fd6bc45f885b3382,257267.3662400174,0.0,0.0
79,ICON USA,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,243796.93704809662,0.0,0.0
80,StakingTeam,hx19ccfc00b5af79ac75aaae9676b1f9ed5c9b5ca3,241968.83953983933,0.0,0.0
81,Coda Labs,hx6fefe6d0174357ba1c8f086a54ab1b277064e65f,240130.79625644523,0.0,0.0
82,ICON4Education,hxd00b8fe10deb49aa291a9b2cb460779fc622fa12,238659.7441900231,0.0,0.0
83,ICONLEO (TOP 5 Voters receive bonus 80% of prep daily rewards),hx02645148d0887cd1daf345e3eabf8871780398e5,231714.68813246881,0.0,0.0
84,Transform Group,hxec5e4136ddbf8e9aa119694b95d1baeecf947ee9,211847.42914277816,0.0,0.0
85,Staked,hxdcff7a1ab76ba34a9e3c85b0f1e7b2bf436ac024,198679.54868043974,0.0,0.0
86,POCKET / FIGMENT,hxe886f81684bbecddd69a608093fb88624c94d20a,190000.97248985953,0.0,0.0
87,ICX Malta,hx05493cc93caf332f46715411e12c927750d210b6,189344.22822167006,0.0,0.0
88,icon-node-NL,hx11434d1fce3edecf0e84a9c992a712f0cebf6992,187174.04874233677,0.0,0.0
89,ICON London,hx475e37c2decf56f5bf678060e3937c944921ccba,178008.48116528336,0.0,0.0
90,DELIGHT,hx004783f10b0bd56764535cf931650dfe6d42cd9e,177133.34078753798,0.0,0.0
91,ICON Slovenia,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,174356.1946535652,0.0,0.0
92,Signal9,hxc93a0be07e8a74d9a86d8b12e569b91154681bc8,169365.70936906128,0.0,0.0
93,ICONNECT-Global,hx3571351614f64721081996247e53f6436ed05e55,168473.56122327282,0.0,0.0
94,Chainode Tech,hxd2de5d155251ff62bf2f6c2aa616da6472886165,158071.0507372096,0.0,0.0
95,ICX_Stratos,hx3ec5c0c906e857de231a7ae16e49ab92c5708699,141377.8316603752,0.0,0.0
96,ICON France,hxf0e7b39f0d43591c9a5c823eb19b90462fa51c30,137881.47216841127,0.0,0.0
97,ICON Spark,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,134859.2857521311,0.0,0.0
98,ICON BOOM,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,126780.65578760709,0.0,0.0
