validator,validator_name,cum_votes_update
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,39113940.80801068
hxfba37e91ccc13ec1dab115811f73e429cde44d48,Lydia Labs,21466998.56624441
hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,Binance Node,19687279.50748592
hxf680ae11372c48afebbce77c9d8de455e1acc18a,ICONFi,19139064.82124106
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,Everstake,18551943.03604433
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,ICONOsphere,15372612.85481409
hx3c58970034d5a923aa95058365450feed28979a2,GangstaBet,15314905.07954251
hxca60d4371ad90d624dc7119f81009d799c168aa1,FRĀMD,14378833.74328784
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,13878116.60925658
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,13166036.65336834
hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,Stakin,11939582.34123585
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON Asset Management,10842425.7182354
hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,Protokol7,7650922.24273382
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,6375545.93290712
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,6303252.84368105
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,sudoblock,6245292.32458343
hx0a72c03881451a6270d4895f756085470fc311e4,ICON Pinas,6119055.0852186
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi.io,5827547.76927728
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,5592383.08624183
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Spartan Node,5434695.95937337
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,5302796.26733292
hx6f89b2c25c15f6294c79810221753131067ed3f8,Staky.io (ex Sharpn),4979478.32191963
hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,4683787.28595839
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,4609186.22068445
hx3499cbe7a9c81b412243cac8c4e163d2e4ccb20c,Trustseers,4284052.62679888
hx31c429608c74501de13df5fea30bf1674460be50,Hugobyte,4231202.47283905
hx5cb1e6d96eb1db986cee37a0a23a796de802a4bc,Atomic Wallet,3724278.99152821
hx099b1e6b271bc6cd67d930a1c62ee5f3ed0e2c7d,NEOPLY,3084325.54155541
hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,Mineable,3038954.58360094
hxb11448743cbb63fcf29609401cdc5782793be211,GPS Gaming,2979990.70365755
hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,Ubik Capital,2926801.94694531
hxe8767c80a009c7bb8344d81c430144463cbb325e,ICONTROL,2445571.79133349
hx8d7f98f88560fc957d410afb53c5b269bebc8799,Arcade Node,2432030.54960596
hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,2427617.42623635
hxa69031aef1bbb11ea0ee3647b278c158ecdab767,Danal,2214855.17952746
hx3911d68483684abee3bf0be488aaac7bbaf8d4d2,Band Protocol,2187168.36916276
hx437e3ce53016ffc71be609a4d1194e41a5d89678,FOMOmental,1889182.91732209
hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,InterBlock,1882732.03575989
hx15686bf1f501115a2b5de381a20edc1963cb2ec3,ICONbet,1848434.74140859
hx3aa778e1f00c77d3490e9e625f1f83ed26f90133,Citadel.one,1767810.35149558
hxd5059fec8665bc7b769f4893aef65cf00049377a,ICON Hyperconnect,1702082.91076856
hx80a3bb927f9edc899f98eb46bd7a7c601da12980,Unifi Protocol,1542781.33809182
hxd6f20327d135cb0227230ab98792173a5c97b03e,ICONPLUS,1361376.63676463
hxf75bfd0df8d96ee0963965135af2485cee6d5000,weBloc asia,1328794.40953124
hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,1209052.79885989
hx1cb5883939f2fd478e92da1260438aa1f03440ca,ICON Sweden,1091991.21256934
hx48b3ed0161c639a4b9ec8f2277cc5ab338af7c9a,Alice,961905.87496978
hxfac9169f5ee9d3c85c190cfa1208ca45540dcf38,MinerGate,806193.53792741
hxf6672e670d2b5816061da22231f3a90f0b5955b5,ICON Chicago,796987.82607375
hx863e16bd18ceaa7d498b4b275e36cd58818b1f25,TNTXT,764113.84226957
hx5da9e862b4e26e5ac486c1d70d9d63927ce35e1c,Studio Mirai,757999.55234615
hxc97bc2b6863b5f0094de7f0e5bcf82a404c4199b,Silicon Valley ICON,649896.89017707
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,block42,622066.06849972
hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,540165.94456673
hx18a807c44b0efdc2e02ea503d7bc011cc4242318,RHYTHM (Australia),534021.58200127
hxc5e0b88cb9092bbd8b004a517996139334752f62,Foundry Box Media,494785.8672197
hx5dff0f5953e8cb0d50aaabff041a524e27718bd2,DSNC,467108.88842345
hx9cdb5bd98a1d757ce195a99c6273833b80b51c28,Catena,426781.86465596
hx30af89a52479d8ce8ac6682651203750d639a20f,ICONologist,425009.6667717
hx2cf560d42b3b505314c526336dad5d1f624bdb1f,Blockchain at Berkeley,376297.25862312
hx040b667627bbd02619e89439fab48b053e71c666,ICX Australia,372998.7049453
hxf5a52d659df00ef0517921647516daaf7502a728,binance node,358544.57245779
hxab751d4e83b6fda412a38cb5f7f96860396b1327,Symmetry SLC,345334.47605632
hx5b97bbec2e555289351806103833a465b7fbbd47,Blockmove,342181.23275036
hxa615b432cb84c3f2ed22194b32df317b474ec2c9,HOLA ICON,326818.82108648
hx4adc5a79b2fb3631790f6dca22d7b6e4912e6e85,Deblock with STAYGE,302843.19575136
hx50040d39a04b7bc9197e9784779f07f9a6887811,ICON Labs,273852.12169102
hx60ad5da1c0eb80f52ef7be5b07e590108078a96e,ICXburners  (We burn our node rewards!),259562.36720418
hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,Oasis,258968.8927355
hx9fa9d224306b0722099d30471b3c2306421aead7,Espanicon,256184.32089759
hx9571df0bd727ce18adc177e8fd6bc45f885b3382,Newroad,256022.5969531
hx35a0a985a9abd8cbbc71bec1aba74ca204369c8a,RemICX,246347.44687237
hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,244931.46655958
hx19ccfc00b5af79ac75aaae9676b1f9ed5c9b5ca3,StakingTeam,241140.38865292
hxd00b8fe10deb49aa291a9b2cb460779fc622fa12,ICON4Education,240549.49120151
hx02645148d0887cd1daf345e3eabf8871780398e5,ICONLEO (TOP 5 Voters receive bonus 80% of prep daily rewards),232881.76841222
hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,223779.9588809
