rank,name,address,delegation,bond,power,prep_type
18.0,ICON Pinas (Pilipinas),hx0a72c03881451a6270d4895f756085470fc311e4,5936879.438527233,280882.0,5617640.0,main
19.0,Stakin,hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,13982786.695650963,234000.0,4680000.0,main
20.0,Hugobyte,hx31c429608c74501de13df5fea30bf1674460be50,4211722.292682487,213583.4887,4271669.774,main
21.0,RHIZOME,hx4a43790d44b07909d20fbcc233548fc80f7a4067,6018369.363138523,174858.3997,3497167.994,main
23.0,Metanyx,hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,3225828.2570247515,188350.0,3414178.2570247515,main
24.0,NEOPLY,hx099b1e6b271bc6cd67d930a1c62ee5f3ed0e2c7d,3054492.984519453,162080.0,3216572.984519453,main
25.0,Ubik Capital,hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,2728093.78249531,165027.5869,2893121.36939531,main
26.0,FOMOmental,hx437e3ce53016ffc71be609a4d1194e41a5d89678,2567608.9522524443,138266.0088,2705874.9610524448,sub
27.0,GPS Gaming,hxb11448743cbb63fcf29609401cdc5782793be211,2512689.755616086,175006.4363,2687696.1919160862,sub
28.0,Inanis Invictus,hxc5e0b88cb9092bbd8b004a517996139334752f62,2518829.1793650603,162522.4404,2681351.6197650605,sub
29.0,ICONTROL,hxe8767c80a009c7bb8344d81c430144463cbb325e,2427426.1896337885,127899.9434,2555326.1330337888,sub
30.0,Mineable,hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,2325553.8556762678,115700.0,2314000.0,sub
31.0,CODE METAL,hxe872d22ad693279cd7ff33f51583f4117a4610b3,2532882.9253490563,106548.3067,2130966.134,sub
32.0,InterBlock,hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,1407777.6808328724,159634.2856,1567411.9664328722,sub
33.0,Eye on ICON,hx2e7db537ca3ff73336bee1bab4cf733a94ae769b,1086927.3730977327,67749.0,1154676.3730977327,sub
34.0,ICON Sweden,hx1cb5883939f2fd478e92da1260438aa1f03440ca,1088205.5170980473,63377.1084,1151582.6254980473,sub
35.0,ICX Belgium,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,1020696.3410302073,52000.0,1040000.0,sub
36.0,MouseBelt | Multi.io,hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,322730.020660482,364082.1361,686812.156760482,sub
37.0,Silicon Valley ICON,hxc97bc2b6863b5f0094de7f0e5bcf82a404c4199b,558858.3165585715,50000.0,608858.3165585715,sub
38.0,DSNC,hx5dff0f5953e8cb0d50aaabff041a524e27718bd2,465907.5323192178,26150.3715,492057.9038192178,sub
39.0,Blockmove,hx5b97bbec2e555289351806103833a465b7fbbd47,403733.06755686266,30100.0,433833.06755686266,sub
40.0,PiconbelloDAO,hxfa6714e4ec784ae2176c416c46dc2c98b6ec9074,260113.25009744664,20333.0017,280446.25179744663,sub
41.0,Citadel.one,hx3aa778e1f00c77d3490e9e625f1f83ed26f90133,1671999.033610859,13563.9615,271279.23,sub
42.0,RemICX,hx35a0a985a9abd8cbbc71bec1aba74ca204369c8a,232368.1479983226,25000.0,257368.1479983226,sub
22.0,Transcranial Solutions,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,220364.52434218285,20000.0,240364.52434218285,main
43.0,Espanicon,hx9fa9d224306b0722099d30471b3c2306421aead7,199180.8832573261,20000.0,219180.8832573261,sub
44.0,ICON 4 ALL,hx69d49e8365659d7771f7e721d7f9b04367212557,157924.40340316686,20000.0,177924.40340316686,sub
45.0,ICON Guide Star,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,158906.53348510753,15495.892,174402.42548510752,sub
46.0,Staked Tech,hx55f2cc3244350085734f4e405f761ecf3d2095b3,129732.4290060089,30000.0,159732.4290060089,sub
47.0,A_Block,hxa19a398f4941abed1d0af82fb2f6081b76f29107,135267.46991646648,5000.0,100000.0,sub
48.0,FOMO MASTERNODE,hx35760c56a8e3942a3e4e5cc2ba78b18502b4f421,64917.5506594598,3912.8015,68830.3521594598,sub
49.0,VELIC,hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,5048802.2513638865,0.0,0.0,sub
50.0,Spartan Node,hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,4689642.217770636,0.0,0.0,sub
51.0,Atomic Wallet,hx5cb1e6d96eb1db986cee37a0a23a796de802a4bc,3710414.4912065356,0.0,0.0,sub
52.0,ICONPool,hxc1717a36b5288b92586b93d3c20f247b2bab1a26,3136061.5372011117,0.0,0.0,sub
53.0,ICON Forge,hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,2409128.9841437275,0.0,0.0,sub
54.0,Danal,hxa69031aef1bbb11ea0ee3647b278c158ecdab767,2183009.404089264,0.0,0.0,sub
55.0,Band Protocol,hx3911d68483684abee3bf0be488aaac7bbaf8d4d2,2134801.953342487,0.0,0.0,sub
56.0,ICONbet,hx15686bf1f501115a2b5de381a20edc1963cb2ec3,1653178.255711248,0.0,0.0,sub
57.0,ICON Hyperconnect,hxd5059fec8665bc7b769f4893aef65cf00049377a,1648629.2941526063,0.0,0.0,sub
58.0,Unifi Protocol,hx80a3bb927f9edc899f98eb46bd7a7c601da12980,1521723.1504519293,0.0,0.0,sub
59.0,ICONPLUS,hxd6f20327d135cb0227230ab98792173a5c97b03e,1310852.6348994523,0.0,0.0,sub
60.0,weBloc asia,hxf75bfd0df8d96ee0963965135af2485cee6d5000,1304638.4746437785,0.0,0.0,sub
61.0,Alice,hx48b3ed0161c639a4b9ec8f2277cc5ab338af7c9a,941252.8431347217,0.0,0.0,sub
62.0,TNTXT,hx863e16bd18ceaa7d498b4b275e36cd58818b1f25,717030.151818563,0.0,0.0,sub
63.0,Studio Mirai,hx5da9e862b4e26e5ac486c1d70d9d63927ce35e1c,603615.5522120988,0.0,0.0,sub
64.0,block42,hx168d2cfe6d73acb8cb690d3abda54d3af266addf,590397.2190325519,0.0,0.0,sub
65.0,XGO,hxfac9169f5ee9d3c85c190cfa1208ca45540dcf38,575865.1132840547,0.0,0.0,sub
66.0,DEMOS,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,537948.4892262093,0.0,0.0,sub
67.0,StakingTeam,hx19ccfc00b5af79ac75aaae9676b1f9ed5c9b5ca3,508214.4424942315,0.0,0.0,sub
68.0,ICONologist,hx30af89a52479d8ce8ac6682651203750d639a20f,459392.1964165767,0.0,0.0,sub
69.0,RHYTHM (Australia),hx18a807c44b0efdc2e02ea503d7bc011cc4242318,440158.5091230156,0.0,0.0,sub
70.0,Catena,hx9cdb5bd98a1d757ce195a99c6273833b80b51c28,377914.83827591426,0.0,0.0,sub
71.0,Blockchain at Berkeley,hx2cf560d42b3b505314c526336dad5d1f624bdb1f,367861.52349982585,0.0,0.0,sub
72.0,ICX Australia,hx040b667627bbd02619e89439fab48b053e71c666,328771.2556099762,0.0,0.0,sub
73.0,HOLA ICON,hxa615b432cb84c3f2ed22194b32df317b474ec2c9,305445.50283686613,0.0,0.0,sub
74.0,Symmetry SLC,hxab751d4e83b6fda412a38cb5f7f96860396b1327,295392.4875189181,0.0,0.0,sub
75.0,ICON Labs,hx50040d39a04b7bc9197e9784779f07f9a6887811,282972.01776451804,0.0,0.0,sub
76.0,ICON4Education,hxd00b8fe10deb49aa291a9b2cb460779fc622fa12,262153.35987821623,0.0,0.0,sub
77.0,ICXburners  (We burn our node rewards!),hx60ad5da1c0eb80f52ef7be5b07e590108078a96e,255230.04779216688,0.0,0.0,sub
78.0,Deblock with STAYGE,hx4adc5a79b2fb3631790f6dca22d7b6e4912e6e85,228231.28910339018,0.0,0.0,sub
79.0,ICONLEO (TOP 5 Voters receive bonus 80% of prep daily rewards),hx02645148d0887cd1daf345e3eabf8871780398e5,205330.18156886564,0.0,0.0,sub
80.0,Transform Group,hxec5e4136ddbf8e9aa119694b95d1baeecf947ee9,190877.55524059592,0.0,0.0,sub
81.0,Newroad,hx9571df0bd727ce18adc177e8fd6bc45f885b3382,187300.97342929643,0.0,0.0,sub
82.0,ICON USA,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,182928.4459725517,0.0,0.0,sub
83.0,icon-node-NL,hx11434d1fce3edecf0e84a9c992a712f0cebf6992,180752.03705690097,0.0,0.0,sub
84.0,Oasis,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,177866.57821604316,0.0,0.0,sub
85.0,Staked,hxdcff7a1ab76ba34a9e3c85b0f1e7b2bf436ac024,174490.42369295057,0.0,0.0,sub
86.0,POCKET / FIGMENT,hxe886f81684bbecddd69a608093fb88624c94d20a,166379.18774471933,0.0,0.0,sub
87.0,DELIGHT,hx004783f10b0bd56764535cf931650dfe6d42cd9e,159720.07255726808,0.0,0.0,sub
88.0,ICX Malta,hx05493cc93caf332f46715411e12c927750d210b6,155516.26495734663,0.0,0.0,sub
89.0,ICON London,hx475e37c2decf56f5bf678060e3937c944921ccba,153700.8252135325,0.0,0.0,sub
90.0,Iconserve,hxd243919468353a59250114d3ea891de8486f37c0,149307.02623154703,0.0,0.0,sub
91.0,ICON Slovenia,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,139886.73342329534,0.0,0.0,sub
92.0,ICX_Stratos,hx3ec5c0c906e857de231a7ae16e49ab92c5708699,127300.99902873483,0.0,0.0,sub
93.0,Chainode Tech,hxd2de5d155251ff62bf2f6c2aa616da6472886165,122876.24599517492,0.0,0.0,sub
94.0,Icon Panda,hx8e882ac085ca90e5ef19364ffda6646acceed3b8,116381.0138870706,0.0,0.0,sub
95.0,ICONoscope,hxaf6f61827901d7c4674cf5d2ddbbca2bdae72faf,113981.2330861995,0.0,0.0,sub
96.0,ICON Spark,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,108627.02625583213,0.0,0.0,sub
97.0,Signal9,hxc93a0be07e8a74d9a86d8b12e569b91154681bc8,108591.693800255,0.0,0.0,sub
,,hx800853ad662997466bd41653329ba97a2ed1f838,,,,candidate
,,hx77b13a82be3a1bd2a71dd389bdfa624a59e8ff2b,,,,candidate
,,hx1f6da7d57810e812d030fbbd3144690e481e24fc,,,,candidate
,,hxf0e7b39f0d43591c9a5c823eb19b90462fa51c30,,,,candidate
,,hxecf2a15a708dde0cf35aedb22344bd0fe0f88f98,,,,candidate
,,hxfe9a226b2910584cebd9596e4effd8a8c0e3e039,,,,candidate
,,hx352a4b557e9035f89b237fe85d6bb92f517fdbd7,,,,candidate
,,hxfbddc0f1c0ab85e59578de4b883cdcf94ab33694,,,,candidate
,,hx34f817bad3d0554da6c6642b06056bda32b06396,,,,candidate
,,hx8f0eca05fa5f8e0d3f8f440693b9a718ec31fae8,,,,candidate
,,hx554ea6c0c56e6f30682dcaa79a326da3a364899f,,,,candidate
,,hx1be230522449d87274fa8f326fed22e3cacfe4c0,,,,candidate
,,hx958eb3e5e9e41e53d000f684af78fd7384f2fe12,,,,candidate
,,hx2571420b7d3977611cea1d1646579aeef2fb6dfa,,,,candidate
,,hx9d068caab70c41f7ddf3ab3d9bcce8a8dbffa089,,,,candidate
,,hxbb5355790905d790dff2aa04de5ff786a5211958,,,,candidate
,,hxa1c5965588ea0615e64313a770c20b069033db7b,,,,candidate
,,hxa83c659bcebca1c6cbf9a94477a7005d09461569,,,,candidate
,,hxa224bb59e9ba930f3919b57feef7656f1139d24b,,,,candidate
,,hx5ccbcb12e2248acfd420b9adb79ceb8f324107d6,,,,candidate
,,hx704cf476389a2e3ab13ca33eeea9480ee172cf60,,,,candidate
,,hx6deee24065b8fa75298b0a22c5a221e2587ba09d,,,,candidate
,,hxd5ff5a97308534af8234bfe78fd979e74d9f2920,,,,candidate
,,hxb58637355ffd78ac0a66bb3be8c038712fc5912b,,,,candidate
,,hxd4f3fc3fbdc475874285abf9459119f8dede31dd,,,,candidate
,,hx29fbc9cfb184d75d74cab33c70820a696998b596,,,,candidate
,,hx5f4e22b12f50da1927660eaafb87aa8a1bc91610,,,,candidate
,,hx3499cbe7a9c81b412243cac8c4e163d2e4ccb20c,,,,candidate
,,hxf6672e670d2b5816061da22231f3a90f0b5955b5,,,,candidate
,,hx468a3871c1e8d7e61581fae29258fcacf13e5150,,,,candidate
,,hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,,,,candidate
,,hx2f8b9e265975bd6d99c6ea45219105174e8674d8,,,,candidate
,,hx5b7cef0d8d9208a53df4cb5ca84ee3a9a530d5b7,,,,candidate
,,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,,,,candidate
,,hxf85e4d956f1dfad8d713421ab58b24863c28b28a,,,,candidate
,,hx87d5c36add6d96c2c0dcc349223c528a99fb26f6,,,,candidate
,,hxb027c59078f71f0d6c06d5becad464d488fd20bb,,,,candidate
,,hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,,,,candidate
,,hx3571351614f64721081996247e53f6436ed05e55,,,,candidate
,,hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,,,,candidate
,,hx55d5b995fca77274cab59c850803f9ec3e00421f,,,,candidate
,,hxdb0266079cb558e14b41ad7125b729c2c96b2d36,,,,candidate
,,hxadad43bd60785979ed2ecea55df1eb8049162b04,,,,candidate
,,hx6f09a1d35ea1f22467df4f0d04a78b4422dcd30e,,,,candidate
,,hx4d345781b9701df7b5e884a3653327fc63ffb69e,,,,candidate
,,hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,,,,candidate
,,hxa5772c57dd9c67ed09578270847de6fc2bf73b53,,,,candidate
,,hx0d0882a489794eeb9d176bcc80b664ff9d54e616,,,,candidate
,,hx4109ae2bda803171fac8b75e713b3a3f033e969b,,,,candidate
,,hx8d7f98f88560fc957d410afb53c5b269bebc8799,,,,candidate
,,hx38c8507ed599b3d51a825d6a37e165bc5303daa1,,,,candidate
,,hx6f89b2c25c15f6294c79810221753131067ed3f8,,,,candidate
,,hxc7a057d0cbb75606352ec8cc698267b7247cc100,,,,candidate
,,hxa30a0e0f59956381a02f8010eab27491026c5c33,,,,candidate
,,hx5c6713beb2ff74c9b9d64e0216f33a79929ab4b6,,,,candidate
,,hxd17cc393d0b0a59f0a03e4fb4ac1ab196743162f,,,,candidate
,,hxa0d49a837bea86b737350577762d7af85a25c31d,,,,candidate
