rank,name,address,delegation,bond,power,prep_type
1.0,ICON Foundation,hx0b047c751658f7ce1b2595da34d57a0e7dad357d,38291122.21630958,2000000.0,40000000.0,main
2.0,Lydia Labs,hxfba37e91ccc13ec1dab115811f73e429cde44d48,24854016.091639742,1156415.4028,23128308.056,main
3.0,GangstaBet,hx3c58970034d5a923aa95058365450feed28979a2,19681535.89537852,1134020.1914,20815556.086778518,main
4.0,GROW,hxf680ae11372c48afebbce77c9d8de455e1acc18a,20103688.25684521,1009034.3607,20180687.214,main
5.0,Binance Node,hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,19897507.250038717,1000000.01,20000000.2,main
6.0,Everstake,hx8e6dcffdf06f850af5d372ac96389135e17d56d3,17101389.25726912,1070691.713,18172080.97026912,main
7.0,ICONLOOP,hxe44c986d1c6013c8cafc35edcbd6937985641fce,14408241.084071575,1000000.0,15408241.084071575,main
8.0,PARROT9,hx28c08b299995a88756af64374e13db2240bc3142,15127396.773522194,710000.0,14200000.0,main
9.0,ICON DAO,hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,15646901.878091112,646321.0809,12926421.618,main
10.0,FRĀMD,hxca60d4371ad90d624dc7119f81009d799c168aa1,11966378.165856523,595085.3958,11901707.916,main
11.0,ICONOsphere,hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,16541505.382337907,585929.2394,11718584.788,main
12.0,ICON Asset Management,hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,12908250.566637617,529911.7985,10598235.97,main
13.0,ReliantNode,hxe4c008b838e8a9a7c065f20f393974de4c86f917,7212509.339957473,421706.8438,7634216.183757473,main
14.0,Protokol7,hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,6359479.44101665,401886.7592,6761366.200216649,main
15.0,sudoblock,hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,8635537.46208566,320000.0,6400000.0,main
16.0,ICONation,hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,5911804.287906523,359086.405,6270890.692906523,main
17.0,Plan-P,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,7509172.431184793,286018.3214,5720366.428,main
