validator,validator_name,cum_votes_update
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,37248994.17518393
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,24490864.0627065
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,ICONOsphere,18799585.56131769
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,17100795.83142565
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON Asset Management,16345080.6625034
hxf680ae11372c48afebbce77c9d8de455e1acc18a,ICONFi,15690809.16487886
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Spartan Node,11831313.57105389
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,11282549.31065357
hx3c58970034d5a923aa95058365450feed28979a2,GangstaBet,9002108.80944207
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,Everstake,7971038.20430336
hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,Protokol7,7962335.19145515
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,7839624.42505744
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,6883850.53478449
hx6f89b2c25c15f6294c79810221753131067ed3f8,Staky.io (ex Sharpn),6710522.19841449
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,6685091.23809667
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,Geometry Labs,6651817.98052598
hxb11448743cbb63fcf29609401cdc5782793be211,ICONbet Community,6651342.03259774
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi.io,6596741.19358101
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,6268472.52689034
hx3499cbe7a9c81b412243cac8c4e163d2e4ccb20c,Trustseers,6240332.88677696
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,5763419.13834063
hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,Stakin,5611567.17366261
hx5cb1e6d96eb1db986cee37a0a23a796de802a4bc,Atomic Wallet,4152360.13686896
hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,Ubik Capital,4113424.22906772
hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,Mineable,4007936.21504087
hx0a72c03881451a6270d4895f756085470fc311e4,ICON Pinas,3811793.01577367
hx8d7f98f88560fc957d410afb53c5b269bebc8799,Arcade Node,3739002.57347428
hx099b1e6b271bc6cd67d930a1c62ee5f3ed0e2c7d,NEOPLY,3248265.35664695
hx31c429608c74501de13df5fea30bf1674460be50,HugoByte,3026496.79721999
hxf5a52d659df00ef0517921647516daaf7502a728,binance node,3001053.91178163
hxd5059fec8665bc7b769f4893aef65cf00049377a,ICON Hyperconnect,2846558.58838853
hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,2809414.47264549
hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,2584574.43454731
hxe8767c80a009c7bb8344d81c430144463cbb325e,ICONTROL,2473325.07669275
hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,InterBlock,2383888.79938837
hx3911d68483684abee3bf0be488aaac7bbaf8d4d2,Band Protocol,2356818.12397749
hxa69031aef1bbb11ea0ee3647b278c158ecdab767,Danal,2311775.35459798
hx3aa778e1f00c77d3490e9e625f1f83ed26f90133,Citadel.one,2184293.14714198
hxaf6f61827901d7c4674cf5d2ddbbca2bdae72faf,ICONoscope,2036634.66623226
hx80a3bb927f9edc899f98eb46bd7a7c601da12980,Unifi Protocol,1960242.75980852
hxd6f20327d135cb0227230ab98792173a5c97b03e,ICONPLUS,1873455.52102404
hx9fa9d224306b0722099d30471b3c2306421aead7,Espanicon,1808116.05544027
hxf75bfd0df8d96ee0963965135af2485cee6d5000,weBloc asia,1658571.88275204
hx1cb5883939f2fd478e92da1260438aa1f03440ca,ICON Sweden,1222108.82507727
hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,1214654.65295364
hx48b3ed0161c639a4b9ec8f2277cc5ab338af7c9a,Alice,1076661.94253684
hx863e16bd18ceaa7d498b4b275e36cd58818b1f25,TNTXT,1003307.63609244
hx3ec5c0c906e857de231a7ae16e49ab92c5708699,ICX_Stratos,1002027.25222722
hxfac9169f5ee9d3c85c190cfa1208ca45540dcf38,MinerGate,909766.3448286
hxc97bc2b6863b5f0094de7f0e5bcf82a404c4199b,Silicon Valley ICON,837970.50301287
hx19ccfc00b5af79ac75aaae9676b1f9ed5c9b5ca3,StakingTeam,831796.61201985
hxf6672e670d2b5816061da22231f3a90f0b5955b5,ICON Chicago,822602.79685873
