validator,validator_name,rank,delegation,bond,power
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,1,36623015.57393892,2000000.0,38623015.57393892
hx3c58970034d5a923aa95058365450feed28979a2,GangstaBet,2,19404807.76620881,1133900.1914,20538707.95760881
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,3,23647226.862305604,1108000.2696,22160005.392
hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,Binance Node,4,14291911.058728222,1000000.01,15291911.068728222
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON Asset Management,5,14328157.296699097,939049.6874,15267206.984099098
hxf680ae11372c48afebbce77c9d8de455e1acc18a,ICONFi,6,17369781.200160194,909034.3644,18180687.288
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,ICONOsphere,7,18981522.5053191,595822.7382,11916454.764
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,8,11815708.501894213,579865.5848,11597311.696
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,9,15232049.156750048,553600.4238,11072008.476
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,10,7280949.916157082,421706.8438,7702656.759957082
hxb11448743cbb63fcf29609401cdc5782793be211,ICONbet Community,11,5161232.045095592,375000.0,5536232.045095592
hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,Protokol7,12,6415438.844347378,369000.3969,6784439.241247378
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi.io,13,6632473.973812879,364082.1361,6996556.109912879
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,14,6799124.687786656,359086.405,7158211.092786657
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Spartan Node,15,9552304.092396362,353776.7439,7075534.878
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,Geometry Labs,16,7105926.416828811,325000.0,6500000.0
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,17,5391917.397612524,319997.9963,5711915.393912525
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,18,5997245.027045774,310205.7649,6204115.298
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,19,6854685.701542398,288350.0,5767000.0
hx0a72c03881451a6270d4895f756085470fc311e4,ICON Pinas,20,5585463.62745708,280643.0,5612860.0
hx6f89b2c25c15f6294c79810221753131067ed3f8,Staky.io (ex Sharpn),21,5481616.900686457,268544.6114,5370892.228
