validator,validator_name,rank,delegation,bond,power
hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,134,18325.9563515,0.0,0.0
hxdb0266079cb558e14b41ad7125b729c2c96b2d36,Midos / EPICX,135,18132.38354754,0.0,0.0
hx9d068caab70c41f7ddf3ab3d9bcce8a8dbffa089,Noris [New Node],136,17475.9493,0.0,0.0
hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,137,17157.89644704,0.0,0.0
hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,138,16159.17079193,0.0,0.0
hxa5772c57dd9c67ed09578270847de6fc2bf73b53,Wiz node,139,15025.0166923,0.0,0.0
hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,140,14654.4961,0.0,0.0
hx468a3871c1e8d7e61581fae29258fcacf13e5150,ICX FREEZER,141,14591.4234642,0.0,0.0
hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,142,14172.10802178,0.0,0.0
hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,143,13351.27999164,0.0,0.0
hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,144,12343.20575904,0.0,0.0
hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,145,11116.8965706,0.0,0.0
hxd17cc393d0b0a59f0a03e4fb4ac1ab196743162f,Hermes Greece,146,10488.17611557,0.0,0.0
hx8f0eca05fa5f8e0d3f8f440693b9a718ec31fae8,HASHRATE PLUS,147,9574.56053203,0.0,0.0
hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,148,9378.93212241,0.0,0.0
hx5ccbcb12e2248acfd420b9adb79ceb8f324107d6,Frontlines Media,149,8548.84263423,0.0,0.0
hx87d5c36add6d96c2c0dcc349223c528a99fb26f6,DFG Crypto,150,7374.48810334,0.0,0.0
hx5c6713beb2ff74c9b9d64e0216f33a79929ab4b6,StakeBowl,151,6541.2825,0.0,0.0
hx4109ae2bda803171fac8b75e713b3a3f033e969b,MW node,152,6092.32682505,0.0,0.0
hx364b02bc9ec8a8823e44330874539b419e0bc889,Cypher Core,153,5599.9744,0.0,0.0
hx38c8507ed599b3d51a825d6a37e165bc5303daa1,Red Hot ICE ,154,4841.1652,0.0,0.0
hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,155,4743.93875164,0.0,0.0
hx1f6da7d57810e812d030fbbd3144690e481e24fc,Common Computer Online,156,4166.03168832,0.0,0.0
hx5b7cef0d8d9208a53df4cb5ca84ee3a9a530d5b7,iccc node,157,3396.2357,0.0,0.0
hx5796d7fb3442759bee4aaeaa4e6618a034f630b1,Gilga Capital,158,2826.5819,0.0,0.0
hxf49551380a26055a26f4dffd3aa837e66877571b,Wetez,159,1319.61895838,0.0,0.0
hx49aff6baa1d2a69730d935068ce8f64eb8d508ef,ParaState,160,0.0,0.0,0.0
hx9abc22e349dbd659f7c36ad443b1553220bb649e,Common Computer,161,0.0,0.0,0.0
