validator,validator_name,rank,delegation,bond,power
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,1,38229109.097855866,2000000.0,40000000.0
hxfba37e91ccc13ec1dab115811f73e429cde44d48,Lydia Labs,2,21732446.303562995,1156415.4028,22888861.706362993
hx3c58970034d5a923aa95058365450feed28979a2,GangstaBet,3,17896099.817718204,1134020.1914,19030120.009118203
hxf680ae11372c48afebbce77c9d8de455e1acc18a,ICONFi,4,19240165.511291992,1009034.3607,20180687.214
hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,Binance Node,5,19827065.349646818,1000000.01,20000000.2
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,Everstake,6,19491280.820222657,986691.713,19733834.26
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,ICONOsphere,7,15601622.088176271,685406.8057,13708136.114
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,8,13885319.11175278,624383.2596,12487665.192
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON Asset Management,9,10990270.402210196,615105.513,11605375.915210197
hxca60d4371ad90d624dc7119f81009d799c168aa1,FRĀMD,10,10928456.729117002,479996.7336,9599934.672
hx6f89b2c25c15f6294c79810221753131067ed3f8,Staky.io (ex Sharpn),11,4931681.760428247,468444.6114,5400126.371828247
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,12,14670836.416203521,430000.0,8600000.0
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,13,6019749.682914843,421706.8438,6441456.526714843
hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,Protokol7,14,7428462.826831057,399053.176,7827516.002831057
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi.io,15,6497878.078593805,364082.1361,6861960.214693805
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,16,6116185.559859801,359086.405,6475271.964859801
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,sudoblock,17,6995605.882432778,320000.0,6400000.0
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,18,5203107.757578945,319997.9963,5523105.7538789455
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,19,5312717.95554872,287388.3997,5600106.35524872
hx0a72c03881451a6270d4895f756085470fc311e4,ICON Pinas,20,5719991.237005358,280882.0,5617640.0
hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,21,4117313.350392606,264589.2962,4381902.646592606
hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,Stakin,22,12253742.809269032,234000.0,4680000.0
hx31c429608c74501de13df5fea30bf1674460be50,Hugobyte,23,4224507.9864472905,213583.4887,4271669.774
hxb11448743cbb63fcf29609401cdc5782793be211,GPS Gaming,24,2954988.482981516,206391.4363,3161379.919281516
hx15686bf1f501115a2b5de381a20edc1963cb2ec3,ICONbet,25,1955533.4602655598,200000.0,2155533.4602655596
hx099b1e6b271bc6cd67d930a1c62ee5f3ed0e2c7d,NEOPLY,26,3077607.7359636514,162080.0,3239687.7359636514
hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,InterBlock,27,1384757.2858295352,154704.4052,1539461.6910295354
hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,Ubik Capital,28,2860773.8168508164,148917.5869,2978351.738
hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,Mineable,29,2785269.72737097,139100.0,2782000.0
hxe8767c80a009c7bb8344d81c430144463cbb325e,ICONTROL,30,2442740.559138826,130426.4458,2573167.004938826
hx80a3bb927f9edc899f98eb46bd7a7c601da12980,Unifi Protocol,31,1544590.6242614645,130000.0,1674590.6242614645
hx437e3ce53016ffc71be609a4d1194e41a5d89678,FOMOmental,32,1898149.4975436125,95126.8253,1902536.506
hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,33,1204739.4442922687,65000.0,1269739.4442922687
hx1cb5883939f2fd478e92da1260438aa1f03440ca,ICON Sweden,34,1070719.3667547724,63377.1084,1134096.4751547724
hxc97bc2b6863b5f0094de7f0e5bcf82a404c4199b,Silicon Valley ICON,35,594461.4424133968,50000.0,644461.4424133968
hxf6672e670d2b5816061da22231f3a90f0b5955b5,ICON Chicago,36,808737.7464282574,47129.0022,855866.7486282574
hx5b97bbec2e555289351806103833a465b7fbbd47,Blockmove,37,464702.8739342964,30100.0,494802.8739342964
hx55f2cc3244350085734f4e405f761ecf3d2095b3,Staked Tech,38,143625.63721220742,30000.0,173625.63721220742
hx5dff0f5953e8cb0d50aaabff041a524e27718bd2,DSNC,39,438160.21185330837,26150.3715,464310.5833533084
