validator,validator_name,cum_votes_update
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,36333416.74358943
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,23457972.79155198
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,ICONOsphere,19403800.91354384
hx3c58970034d5a923aa95058365450feed28979a2,GangstaBet,19088472.57011643
hxf680ae11372c48afebbce77c9d8de455e1acc18a,ICONFi,17306176.84322719
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,15503510.22764636
hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,Binance Node,14125240.89328791
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON Asset Management,13842580.84745887
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,11774598.04681784
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,Everstake,9984560.27612468
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Spartan Node,9408034.20218008
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,Geometry Labs,7237856.44915776
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,7159975.23989244
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,6836917.1634687
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi.io,6768268.48765757
hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,Protokol7,6729835.07706391
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,6621389.19032314
hx3499cbe7a9c81b412243cac8c4e163d2e4ccb20c,Trustseers,6435603.884408
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,5927495.24420256
hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,Stakin,5564654.73899183
hx6f89b2c25c15f6294c79810221753131067ed3f8,Staky.io (ex Sharpn),5516160.36751584
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,5497850.99079311
hxb11448743cbb63fcf29609401cdc5782793be211,ICONbet Community,5248939.25493974
hx5cb1e6d96eb1db986cee37a0a23a796de802a4bc,Atomic Wallet,4383397.4474234
hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,Ubik Capital,3823638.6000582
hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,Mineable,3607459.56709072
hx099b1e6b271bc6cd67d930a1c62ee5f3ed0e2c7d,NEOPLY,3239585.46848033
hx0a72c03881451a6270d4895f756085470fc311e4,ICON Pinas,2708478.89540566
hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,2625609.3987765
hx8d7f98f88560fc957d410afb53c5b269bebc8799,Arcade Node,2534187.75722179
hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,2531862.73091861
hxe8767c80a009c7bb8344d81c430144463cbb325e,ICONTROL,2431495.04181286
hx3911d68483684abee3bf0be488aaac7bbaf8d4d2,Band Protocol,2315167.78044567
hxa69031aef1bbb11ea0ee3647b278c158ecdab767,Danal,2310978.20767921
hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,InterBlock,2279727.1122241
hxd5059fec8665bc7b769f4893aef65cf00049377a,ICON Hyperconnect,2212529.03353061
hx3aa778e1f00c77d3490e9e625f1f83ed26f90133,Citadel.one,2114556.91935112
hxaf6f61827901d7c4674cf5d2ddbbca2bdae72faf,ICONoscope,2031869.66223465
hx31c429608c74501de13df5fea30bf1674460be50,Hugobyte,2028926.92925919
hx80a3bb927f9edc899f98eb46bd7a7c601da12980,Unifi Protocol,1745942.40024049
hxd6f20327d135cb0227230ab98792173a5c97b03e,ICONPLUS,1716730.11729762
hxf75bfd0df8d96ee0963965135af2485cee6d5000,weBloc asia,1502344.18961047
hx1cb5883939f2fd478e92da1260438aa1f03440ca,ICON Sweden,1255401.75449294
hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,1183506.00455194
hx48b3ed0161c639a4b9ec8f2277cc5ab338af7c9a,Alice,1056509.55391399
hx863e16bd18ceaa7d498b4b275e36cd58818b1f25,TNTXT,957678.06023985
hxfac9169f5ee9d3c85c190cfa1208ca45540dcf38,MinerGate,910204.55672555
hxf5a52d659df00ef0517921647516daaf7502a728,binance node,882695.94753836
hxc97bc2b6863b5f0094de7f0e5bcf82a404c4199b,Silicon Valley ICON,847878.01569847
hx3ec5c0c906e857de231a7ae16e49ab92c5708699,ICX_Stratos,845221.46124549
hx9fa9d224306b0722099d30471b3c2306421aead7,Espanicon,841534.30461603
hxf6672e670d2b5816061da22231f3a90f0b5955b5,ICON Chicago,802835.2047941
hx18a807c44b0efdc2e02ea503d7bc011cc4242318,RHYTHM (Australia),763317.07511454
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,block42,744839.27995982
hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICONOASIS,737947.66523416
hx9cdb5bd98a1d757ce195a99c6273833b80b51c28,Catena,724232.07311238
hx19ccfc00b5af79ac75aaae9676b1f9ed5c9b5ca3,StakingTeam,717165.17018281
hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,671841.52147142
hx040b667627bbd02619e89439fab48b053e71c666,ICX Australia,671299.92985196
hxab751d4e83b6fda412a38cb5f7f96860396b1327,Symmetry SLC,636009.56795883
hxc5e0b88cb9092bbd8b004a517996139334752f62,Foundry Box Media,616754.04661292
hx30af89a52479d8ce8ac6682651203750d639a20f,ICONologist,606715.35545199
hxca60d4371ad90d624dc7119f81009d799c168aa1,devshack,576744.26800892
hx2cf560d42b3b505314c526336dad5d1f624bdb1f,Blockchain at Berkeley,530652.95886733
hx5b97bbec2e555289351806103833a465b7fbbd47,Blockmove,507661.8702333
hx5dff0f5953e8cb0d50aaabff041a524e27718bd2,DSNC,494629.45738697
hx4adc5a79b2fb3631790f6dca22d7b6e4912e6e85,Deblock with STAYGE,470434.31056129
hx60ad5da1c0eb80f52ef7be5b07e590108078a96e,ICXburners  (We burn our node rewards!),457849.31740873
hxa615b432cb84c3f2ed22194b32df317b474ec2c9,HOLA ICON,447940.31536726
hx0315df35eef97e1e73f1a72b1e78ff7f28ba3176,Blockheads Development,446200.20888289
hx50040d39a04b7bc9197e9784779f07f9a6887811,ICON Labs,438659.89511181
hx9571df0bd727ce18adc177e8fd6bc45f885b3382,Newroad,430612.35763294
hx6fefe6d0174357ba1c8f086a54ab1b277064e65f,Coda Labs,409332.99159365
hx55f2cc3244350085734f4e405f761ecf3d2095b3,Staked Tech,390403.40596647
hx475e37c2decf56f5bf678060e3937c944921ccba,ICON London,373921.34241939
hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,369876.83815528
hxfa6714e4ec784ae2176c416c46dc2c98b6ec9074,PiconbelloDAO,366939.0590788
hx35a0a985a9abd8cbbc71bec1aba74ca204369c8a,RemICX,356635.77791508
hx69d49e8365659d7771f7e721d7f9b04367212557,ICON 4 ALL,347723.88597574
hxec5e4136ddbf8e9aa119694b95d1baeecf947ee9,Transform Group,343223.87539565
hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,337680.36272825
hx11434d1fce3edecf0e84a9c992a712f0cebf6992,icon-node-NL,334064.89635729
hxf0e7b39f0d43591c9a5c823eb19b90462fa51c30,ICON France,331764.70295125
hxe886f81684bbecddd69a608093fb88624c94d20a,POCKET / FIGMENT,327214.84258324
hxdcff7a1ab76ba34a9e3c85b0f1e7b2bf436ac024,Staked,326761.39219897
hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,ICON Slovenia,318247.73496233
hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,313838.38990572
hxc93a0be07e8a74d9a86d8b12e569b91154681bc8,Signal9,310157.28719072
hx05493cc93caf332f46715411e12c927750d210b6,ICX Malta,304244.35962264
hx004783f10b0bd56764535cf931650dfe6d42cd9e,DELIGHT,302288.2252803
hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,293836.03201773
hxd2de5d155251ff62bf2f6c2aa616da6472886165,Chainode Tech,291194.37802468
hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,276359.48377887
hx02645148d0887cd1daf345e3eabf8871780398e5,ICONLEO (TOP 5 Voters receive bonus 80% of prep daily rewards),273394.20808424
hx554ea6c0c56e6f30682dcaa79a326da3a364899f,UNBLOCK {ICX GROWTH INCUBATOR},273285.020367
